Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
Assam Power Distribution Company Ltd||CGM(PP and D) - APDCL,APDCL/CGM (PPD)/NRE_50/2014_15/196,2019_APDCL_11553_1,Yes,Open Tender,Turn-key,Works,2.0,No,No,Offline,No,No,No,1.0,Extension Notice,Date,,"3,75,000",Yes,fixed,,"CGM(PPD), APDCL",Guwahati,CGM(PPD),"O/o the CGM(PPD), APDCL Bijulee Bhawan","Supply, installation and maintanence of LED based solar street lighting system","Supply, Installation, Testing and commissioning including 5 years Operation, Comprehensive Warranty and Maintenance of LED based Solar Street Lighting Systems at different locations in the State of Assam",Please refer Tender documents. ,NA ,0.0,Electrical Works,NA ,Tender,180.0,120.0,Different locations of Assam,781001.0,"Bijulee Bhawan, Guwahati ","O/o the GM(NRE), APDCL, Bijulee Bhawan,Guwahati ",07-Feb-2019 02:00 PM ,"O/o the GM(NRE),A PDCL",No ,No,1.0,DD - Demand Draft,31-Jan-2019 04:00 PM,27-Feb-2019 03:00 PM,31-Jan-2019 04:00 PM,27-Feb-2019 02:00 PM,NA ,NA ,08-Feb-2019 02:00 PM,27-Feb-2019 02:00 PM,17-Jun-2019 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Tender Cost,"6,000","CGM(PPD), APDCL",Guwahati,No,AOC,01-Feb-2020,INR 18067098,120.0,Prakash Bezbaruah,01-Feb-2020 05:40 PM,AOC.pdf (27308.00 KB),"As per TPC meeting, Ms Sunshell Power is awarded 75percent of the Total Tender Quantity while Ms Shakti Trans Infra will be awarded 20percent of the Tender Quantity at L1 rate",GM NRE,Internal,,Prakash Bezbaruah,13-Jun-2019 01:23 PM,17-Jun-2019 11:00 AM,techsummary_18287.pdf (4827.40 KB),1,56452,ACE ENGINEERS BUREAU,25-Feb-2019 04:42 PM,Rejected-Technical,Rejected,13-Jun-2019 01:23 PM,CGM PPD,Internal,,Prakash Bezbaruah,01-Feb-2020 05:18 PM,finsummary_18287.pdf (2328.87 KB),Technical,Technical Evaluation,Prakash Bezbaruah,13-Jun-2019 01:19 PM,technical_18287.pdf,1.0,55658.0,SHAKTI TRANS INFRA,INR,4488720.0,Finance,Financial Evaluation Report,Prakash Bezbaruah,01-Feb-2020 04:50 PM,finance_18287.pdf,BOQ Comparative Chart,Assam Power Distribution Company Ltd||CGM(PP and D) - APDCL,2019_APDCL_11553_1,APDCL/CGM (PPD)/NRE_50/2014_15/196,"Supply, installation and maintanence of LED based solar street lighting system",AOC
,,,,,,,,,,,,,,2.0,Technical_corrigendum,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,.pdf,EMD,,,,,AOC,,,,,,,,,,,,,,,2,56747,Assam Industrise Co,27-Feb-2019 01:58 PM,Rejected-Technical,Rejected,13-Jun-2019 01:23 PM,,,,,,,,,,,,2.0,56316.0,SUNSHELL POWER,INR,13578378.0,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,,.rar,Technical Documents,,,,,AOC,,,,,,,,,,,,,,,3,56046,M/S Assam Electric Store,20-Feb-2019 09:29 PM,Rejected-Technical,Rejected,13-Jun-2019 01:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Price Schedule,,,,,AOC,,,,,,,,,,,,,,,4,55184,Nikita Electronics,21-Feb-2019 11:40 AM,Rejected-Finance,L3 Rs per unit,01-Feb-2020 05:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,5,56661,North East Agency,27-Feb-2019 11:46 AM,Rejected-Finance,Non Responsive Rs per unit,01-Feb-2020 05:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,6,56082,North Eastern Engineers,21-Feb-2019 12:11 PM,Rejected-Technical,Rejected,13-Jun-2019 01:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,7,56719,PAE RENEWABLES PRIVATE LIMITED,27-Feb-2019 07:23 AM,Rejected-Technical,Rejected,13-Jun-2019 01:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,8,56292,Sehra Engineering,23-Feb-2019 04:26 PM,Rejected-Finance,Non Responsive Rs per unit,01-Feb-2020 05:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,9,55658,SHAKTI TRANS INFRA,26-Feb-2019 02:25 PM,Accepted-AOC,L1 MSE,01-Feb-2020 05:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,10,56316,SUNSHELL POWER,27-Feb-2019 11:14 AM,Accepted-AOC,L1,01-Feb-2020 05:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
