Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
17-Feb-2020,"INR 3,481,486",60.0,Maan Singh,17-Feb-2020 03:33 PM,SUREE.PDF (303.00 KB),MAAN SINGH,Internal,all,Maan Singh,22-Apr-2019 12:09 PM,finsummary_40733.pdf (413.11 KB),MANN SINGH,Internal,,Maan Singh,16-Apr-2019 02:59 PM,16-Apr-2019 03:00 PM,techsummary_40733.pdf (250.22 KB),PWD,2019_PWD_28380_1,PW-KSG-E-TENDER18-19 14309-14,"Periodical maintenance on Kheel Bhagelu Road Vr-52 (Sub Head Providing and laying 25mm bituminous concrete, V-shaped drain in Km. 6/000 to 9/00)",1.0,118829.0,SURESH SHARMA GOVT CONTRACTOR,INR,"2,128,117",Finance,A,Maan Singh,16-Apr-2019 04:20 PM,None,BOQ Comparative Chart,Technical,,Maan Singh,16-Apr-2019 02:39 PM,technical_40733.pdf,1.0,118838.0,PUNEET GOVT CONT,17-Mar-2019 02:28 PM,Rejected-AOC,HIGHEST BID,17-Feb-2020 03:33 PM,AOC,"46,000",No,fixed,,EE KARSOG,KARSOG,"2,000",EE HPPWD KARSOG,KARSOG,No,11-Mar-2019 09:00 AM,19-Mar-2019 10:00 AM,11-Mar-2019 09:00 AM,18-Mar-2019 10:00 AM,NA ,NA ,11-Mar-2019 09:00 AM,18-Mar-2019 10:00 AM,16-Apr-2019 03:00 PM,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,"Periodical maintenance on Kheel Bhagelu Road Vr-52 (Sub Head Providing and laying 25mm bituminous concrete, V-shaped drain in Km. 6/000 to 9/00)","Periodical maintenance on Kheel Bhagelu Road Vr-52 (Sub Head Providing and laying 25mm bituminous concrete, V-shaped drain in Km. 6/000 to 9/00)",Please refer Tender documents. ,NA ,"25,57,557",Civil Works - Roads,NA ,Rate Contract,60.0,60.0,KARSOG,175011.0,NA ,NA ,NA ,KARSSOG,No ,No,PWD,PW-KSG-E-TENDER18-19 14309-14,2019_PWD_28380_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,EE KARSOG,EE KARSOG,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,118829.0,SURESH SHARMA GOVT CONTRACTOR,17-Mar-2019 01:54 PM,Accepted-AOC,AWARD,17-Feb-2020 03:33 PM,AOC,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,.pdf,EMD Indicated In Schedule F.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,3.0,SS - Small Savings Instrument,,,.pdf,PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,4.0,BG - Bank Guarantee,,,.pdf,Affidavit Regarding No Relative Working in PWD Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,5.0,FDR - Fixed Deposit,,,.pdf,Affidavit Detail Litigation Cases.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done as per Genral Rule 19 and 28.2b similar nature of Work and Working In Hand Certificate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery Performa of Schedules Sr No 6.19 Refere Clause No 18 with ownership proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration Copy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
