Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
Finance,Bid opening summary,Pradeep Kumar Bhardwaj,28-Dec-2019 02:32 PM,finance_47674.pdf,BOQ Comparative Chart,1.0,141261.0,Kailash Chand,INR,"1,555,814",Technical,Bid opening summary,Rajeev Shaunak,21-Dec-2019 03:02 PM,technical_47674.pdf,1.0,141706.0,Arvind Kumar,20-Dec-2019 12:28 PM,Rejected-Finance,7th Lowest,20-Feb-2020 12:07 PM,ErPardeepKumarBhardwaj,Internal,ShAmarSinghVermaHDMShsatyapalsharmasupdtrajeshChauhanSrDAO,Pradeep Kumar Bhardwaj,20-Feb-2020 12:07 PM,finsummary_47674.pdf (668.64 KB),20-Feb-2020,"INR 1,491,284",60.0,Pradeep Kumar Bhardwaj,20-Feb-2020 12:08 PM,AOC33008_4.pdf (813.00 KB),AOC,PWD,2019_PWD_33008_4,SD-I-CTR-19-20 16640 dt 15-11-2019,C/O Bhatt kufer koti road km. 0/00 to 6/885 (SH P/L erecting of Crush Barrier WBM at RD 2/640 to 2/880 and 5/550 to 5/590,ErPardeepKumarBhardwaj,Internal,ShAmarSinghVermaHDMShManojkumarsupdtGRthakurSrDAO,Pradeep Kumar Bhardwaj,27-Dec-2019 12:36 PM,28-Dec-2019 11:00 AM,techsummary_47674.pdf (726.98 KB),AOC,500.0,Executive Engineer Division No-I HPPWD Shimla-3,Executive Engineer Division No-I HPPWD Shimla-3,No,1.0,ErPardeepKumarBhardwaj,Date,,04-Dec-2019 06:00 PM,21-Dec-2019 11:00 AM,04-Dec-2019 06:00 PM,20-Dec-2019 04:00 PM,NA ,NA ,04-Dec-2019 06:00 PM,20-Dec-2019 04:00 PM,28-Dec-2019 11:00 AM,C/O Bhatt kufer koti road km. 0/00 to 6/885 (SH P/L erecting of Crush Barrier WBM at RD 2/640 to 2/880 and 5/550 to 5/590,C/O Bhatt kufer koti road km. 0/00 to 6/885 (SH P/L erecting of Crush Barrier WBM at RD 2/640 to 2/880 and 5/550 to 5/590,As per SBD ,NA ,"14,91,284",Civil Works,NA ,Tender,120.0,60.0,Shimla,171003.0,NA ,NA ,NA ,Executive Engineer Division No-I HPPWD Shimla-3,No ,No,"29,900",No,fixed,,Executive Engineer Division No-I HPPWD Shimla-3,Executive Engineer Division No-I HPPWD Shimla-3,1.0,DD - Demand Draft,PWD,SD-I-CTR-19-20 16640 dt 15-11-2019,2019_PWD_33008_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F 6.3),Executive Engineer Division No-I HPPWD Shimla-3,Executive Engineer Division No-I HPPWD Shimla-3,AOC
,,,,,,,,,,,,,,,,2.0,141401.0,GAYATRI TEGTA,20-Dec-2019 03:38 PM,Rejected-Finance,2nd Lowest,20-Feb-2020 12:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2.0,ErPardeepKumarBhardwaj,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (As per schedule F 6.5),,,AOC
,,,,,,,,,,,,,,,,3.0,141261.0,Kailash Chand,19-Dec-2019 02:20 PM,Accepted-AOC,Awarded,20-Feb-2020 12:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (Refer General rule No.21),,,AOC
,,,,,,,,,,,,,,,,4.0,140966.0,LAIQ RAM,18-Dec-2019 05:27 PM,Rejected-Finance,3rd Lowest,20-Feb-2020 12:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate (As per Performa given in General rule No.19 ).,,,AOC
,,,,,,,,,,,,,,,,5.0,141279.0,MANOJ KUMAR,19-Dec-2019 02:46 PM,Rejected-Finance,4th Lowest,20-Feb-2020 12:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18),,,AOC
,,,,,,,,,,,,,,,,6.0,139933.0,Ramesh Chand Verma,13-Dec-2019 06:26 PM,Rejected-Finance,5th Lowest,20-Feb-2020 12:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 duly signed (Refer General rule No 26.7).,,,AOC
,,,,,,,,,,,,,,,,7.0,140326.0,Sanjeev Kumar Aggarwal,16-Dec-2019 02:06 PM,Rejected-Finance,6th Lowest,20-Feb-2020 12:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under Employee Provident Funds and Miscellaneous provision Act. 1952,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any additional information,,,AOC
