Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Stage
Himachal Pradesh School Education Society,2019_HPSES_31557_1,HPSES-(ISSE)-HO-CREATION OF POSTS,MANPOWER SERVICE ON OUTSOURCE BASIS,1.0,133479.0,Rainbow Enterprises,INR,"4,584,639.18",Ravinder Sharma,Internal,JC F and A AC F and A Supdt cum Law Officer MIS Incharge Asstt Programmer,SEEMA RANI,03-Jan-2020 10:44 AM,finsummary_45429.pdf (387.20 KB),Finance,Financial Summary,SEEMA RANI,03-Jan-2020 10:21 AM,finance_45429.pdf,BOQ Comparative Chart,Technical,Bid opening summary,SEEMA RANI,31-Dec-2019 12:42 PM,technical_45429.pdf,01-Feb-2020,"INR 4,584,639.18",30.0,SEEMA RANI,26-Feb-2020 12:52 PM,AOC.pdf (127.00 KB),Award of Contract,Ravinder Sharma,Internal,JC F and A AC F and A Supdt cum Law Officer MIS Incharge Asstt Programmer,SEEMA RANI,31-Dec-2019 12:55 PM,01-Jan-2020 11:30 AM,techsummary_45429.pdf (3206.71 KB),1,133420,AVANI PARIDHI ENERGY AND COMMUNICATIONS PRIVATE LIMITED,07-Oct-2019 08:27 PM,Rejected-Technical,Proper proof of office in himachal is not enclosed.,31-Dec-2019 12:55 PM,AOC,18-Sep-2019 01:00 PM,10-Oct-2019 11:30 AM,19-Sep-2019 11:30 AM,09-Oct-2019 05:00 PM,NA ,NA ,19-Sep-2019 11:30 AM,09-Oct-2019 05:00 PM,01-Jan-2020 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,Scanned copy of Technical documents as mentioned in Annexure-A,State Project Director,State Project Director HPSES Shimla-1,Himachal Pradesh School Education Society,HPSES-(ISSE)-HO-CREATION OF POSTS,2019_HPSES_31557_1,Yes,Open Tender,Percentage,Services,2.0,No,No,Offline,No,No,No,MANPOWER SERVICE ON OUTSOURCE BASIS,MANPOWER SERVICE ON OUTSOURCE BASIS,Please refer Tender documents. ,NA ,"5,00,00,000",Manpower Supply,NA ,Tender,90.0,15.0,SPD HPSES SHIMLA-1 H.P.,171001.0,NA ,NA ,NA ,SPD HPSES SHIMLA-1 H.P.,No ,No,"2,000",SPD HPSES H.P.,SPD HPSES SHIMLA H.P.,No,"2,00,000",No,fixed,,SPD HPSES H.P.,SPD HPSES SHIMLA H.P.,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,133265,Corporate Care,09-Oct-2019 02:06 PM,Rejected-Finance,due to Lower score,03-Jan-2020 10:44 AM,AOC,,,,,,,,,,,,.pdf,"Scanned copy of Tender Fee , EMD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,133521,Him Productive Institute of Education,09-Oct-2019 03:55 PM,Rejected-Finance,due to Lower score,03-Jan-2020 10:44 AM,AOC,,,,,,,,,,2.0,Finance,.xls,BOQ as mentioned in Annexure-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,133548,J K ENTERPRISES,09-Oct-2019 03:19 PM,Rejected-Finance,due to Lower score,03-Jan-2020 10:44 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,131788,lynx securityservices pvt ltd,23-Sep-2019 05:35 PM,Rejected-Finance,due to Lower score,03-Jan-2020 10:44 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,133429,M. S. SERVICES PRIVATE LIMITED,07-Oct-2019 09:36 PM,Rejected-Finance,due to Lower score,03-Jan-2020 10:44 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,132952,NIELIT Shimla Centre,01-Oct-2019 04:55 PM,Rejected-Technical,Due to non submission of ESI registration and ITR document,31-Dec-2019 12:55 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,133479,Rainbow Enterprises,08-Oct-2019 05:35 PM,Accepted-AOC,Lowest rate (L1),26-Feb-2020 12:52 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,133554,Saraswati Dot Com Private Limited,09-Oct-2019 03:06 PM,Rejected-Finance,due to Lower score,03-Jan-2020 10:44 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,133526,Shimla Cleanways,09-Oct-2019 03:37 PM,Rejected-Finance,due to Lower score,03-Jan-2020 10:44 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
