Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Support Activity under NRDWP,Supplying of refill pack for FTK and H2S Vials,Please refer Tender documents. ,NA ,"3,03,050",Supply of Materials,FTK H2S vials ,Tender,120.0,30.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,Executive Engineer IPH Division Nahan,Executive Engineer IPH Division Nahan,20-Dec-2019 04:00 PM,10-Jan-2020 11:30 AM,20-Dec-2019 04:00 PM,10-Jan-2020 11:00 AM,NA ,NA ,20-Dec-2019 04:00 PM,10-Jan-2020 11:00 AM,16-Jan-2020 04:00 PM,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",IPH-DN-Nahan-TA-Tender/19-20- 10915-95 dt 18-12-19,2019_HPIPH_33509_1,Yes,Open Tender,Item Rate,Goods,2.0,No,No,Both(Online/Offline),No,No,No,250.0,Executive Engineer IPH Division Nahan,Nahan,No,1.0,ICICI BANK,"6,100",Yes,fixed,,Executive Engineer IPH Division Nahan,Nahan,1.0,Corrigendum,Other,,1.0,Fee/PreQual/Technical,.pdf,Earnest Money in shape of FDR as per NIT,AOC,Mandeep Gupta EE,Internal,DA Supdt Gr II HDM DAO,Mandeep Gupta,16-Jan-2020 03:23 PM,16-Jan-2020 04:00 PM,techsummary_48323.pdf (102.63 KB),1.0,143759.0,Jyoti Trading Company,04-Jan-2020 02:48 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-Jan-2020 03:20 PM,Finance,Financial bid summary,Mandeep Gupta,16-Jan-2020 05:09 PM,finance_48323.pdf,BOQ Comparative Chart,Technical,Technical bid summary,Mandeep Gupta,16-Jan-2020 03:20 PM,technical_48323.pdf,27-Feb-2020,"INR 303,050",30.0,Mandeep Gupta,27-Feb-2020 03:59 PM,AOC.pdf (695.00 KB),Award,Dr. Mandeep Gupta EE,Internal,EE HDM DAO Supdt,Mandeep Gupta,27-Feb-2020 03:55 PM,finsummary_48323.pdf (695.31 KB),"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2019_HPIPH_33509_1,IPH-DN-Nahan-TA-Tender/19-20- 10915-95 dt 18-12-19,Support Activity under NRDWP,1.0,144387.0,M/S MEERAN UDYOG,INR,"307,632",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,.pdf,Cost of Tender Forn in shape of Demand draft only as per NIT,AOC,,,,,,,,2.0,144387.0,M/S MEERAN UDYOG,10-Jan-2020 10:44 AM,Accepted-AOC,AOC,27-Feb-2020 03:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Rgistration in HPIPH Deptt in valid class as per NIT,AOC,,,,,,,,3.0,144381.0,shiv iron general engineers,09-Jan-2020 07:18 PM,Rejected-Finance,Rejected,27-Feb-2020 03:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration as per NIT,AOC,,,,,,,,4.0,144466.0,Virender Thakur,10-Jan-2020 10:22 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-Jan-2020 03:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertakng Joint Venture is not allowed as per NIT,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN and GST registration as per NIT,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,UNdertaking carefully study all terms and condition as per NIT,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit specifying that the benefit availed under earnest money exemption has not been exhausted s,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking that the he will comply with the provision of contract Labour (Regulation of Abolition),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Authorization of offered make of FTK refill pack and a scan copy be uploaded as per NIT,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
