Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,1. Cost of Tender Form1. Cost of Tender Form,"5,000",Nil,Nil,No,"1,70,300",No,fixed,,Nil,Nil,1.0,ICICI BANK,16-Mar-2022 10:30 AM,23-Mar-2022 11:30 AM,16-Mar-2022 10:30 AM,23-Mar-2022 10:30 AM,NA ,NA ,16-Mar-2022 10:30 AM,23-Mar-2022 10:30 AM,28-Mar-2022 03:00 PM,PWD,"ANNUAL MAINTENANCE PLAN ON CHOWKI TO DHABIRI, CHOW",2022_PWD_57948_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"ANNUAL MAINTENANCE PLAN ON CHOWKI TO DHABIRI, CHOWKI TO GHORI, TIKKAR TO KANOH NARA TO CHAPROH, BIJHARI TO UKHLI, SAMTANA KHURD TO THANA (PORTION BAROTI TO BHEL","PROVIDING AND LAYING BITUMINOUS CONCRETE 30MM THICK IN KM. 0/0 TO 1/230, 0/0 TO 1/450, 0/0 TO 2/320, 0/0 TO 1/500, 0/0 TO 5/0 and 2/0 TO 2/510, RESPECTIVELY) (UNDER PMGSY WITH PAVER FINISHER) DRRP NO. HP-03-05 VR0132, VR0133, VR0127, VR0002, VR00003",Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,60.0,60.0,Barsar,174305.0,NA ,NA ,NA ,EE Barsar,No ,No,Executive Engineer,Executive Engineer Barsar Division HPPWD Barsar,AOC,PWD,2022_PWD_57948_1,"ANNUAL MAINTENANCE PLAN ON CHOWKI TO DHABIRI, CHOW","ANNUAL MAINTENANCE PLAN ON CHOWKI TO DHABIRI, CHOWKI TO GHORI, TIKKAR TO KANOH NARA TO CHAPROH, BIJHARI TO UKHLI, SAMTANA KHURD TO THANA (PORTION BAROTI TO BHEL",Executive Engineer,Internal,"Tender Assistant, Supdt, DAO, HDM",Dev Raj,26-Mar-2022 04:34 PM,28-Mar-2022 03:00 PM,techsummary_87495.pdf (1396.83 KB),Executive Engineer,Internal,"TenderAssistant,Supdt,HDM,DAO",Dev Raj,06-Apr-2022 10:45 AM,finsummary_87495.pdf (329.63 KB),09-Jan-2023,"INR 14,480,424",60.0,Vinod Kanwar,09-Jan-2023 02:41 PM,A.O.C..pdf (1860.00 KB),A.O.C.,1.0,271411.0,Gian Chand Contactor,21-Mar-2022 05:21 PM,Rejected-Finance,L1L2L3,06-Apr-2022 10:45 AM,Technical,Attached,Dev Raj,26-Mar-2022 04:32 PM,technical_87495.pdf,1.0,271448.0,S.S.Chauhans Construction Private Limted,INR,"14,480,424",Finance,Attached,Dev Raj,06-Apr-2022 10:41 AM,finance_87495.pdf,BOQ Comparative Chart,AOC
,,.pdf,2. EMD,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,271415.0,KASMIR SINGH CONTACTOR,21-Mar-2022 05:28 PM,Rejected-Finance,L1L2L3,06-Apr-2022 10:45 AM,,,,,,,,,,,,,,,,,AOC
,,.pdf,3. Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,271448.0,S.S.Chauhans Construction Private Limted,23-Mar-2022 09:57 AM,Accepted-AOC,L1,09-Jan-2023 02:42 PM,,,,,,,,,,,,,,,,,AOC
,,.pdf,4. Similar Work Done certificate (Only Completed Work),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,"5. GST No. with latest clearance return, EPF No. with latest clearance return, Labour License, PAN C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,6. List of Machinery as per SBD with proof tools and plant with ownership documents/ Affidavit Magis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,7. Affidavit that information submitted by bidder is true and correct attested by Magistrate/ Notary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,8. Work in hand certificate countersigned by the Engineer in Charge not below the rank of Executive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,9. Last Five Years Financial Turn Over duly signed by the C.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,10. Affidavit regarding seen the site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
