Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Name,Address,Tender Stage
02-Jan-2023,"INR 591,097",90.0,Kalyan Bhatt,02-Jan-2023 03:47 PM,CCF_000181.pdf (1014.00 KB),Work Awarded,Finance,financial bid opening summary,Kalyan Bhatt,22-Jun-2022 11:20 AM,finance_92019.pdf,BOQ Comparative Chart,Technical,bid opening summary,Kalyan Bhatt,20-Jun-2022 11:17 AM,technical_92019.pdf,Commissioner,Internal,"JC,AE,JE",Kalyan Bhatt,20-Jun-2022 02:44 PM,21-Jun-2022 11:30 AM,techsummary_92019.pdf (405.58 KB),1.0,286304.0,Ashish Chauhan,11-Jun-2022 11:08 AM,Rejected-Finance,Being L4,02-Jan-2023 03:46 PM,Directorate of Urban Development||Urban Development - UDDHP||Municipal Corporation Palampur,2022_UDDHP_60953_1,1MC-Palam(1)2022-30,P/L CC Paver to Road from Satish Palhania house to Dharam chand house at Rodi in W.No. 08.,1.0,286484.0,Sunita Thakur,INR,"591,097",Commissioner,Internal,"Jt. Commissioner, Assistant Engineer , Junior Engineer",Kalyan Bhatt,02-Jan-2023 03:46 PM,finsummary_92019.pdf (687.41 KB),AOC,500.0,Commissioner,MC Palampur,No,"15,000",No,fixed,,Commissioner,MC Palampur,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,Directorate of Urban Development||Urban Development - UDDHP||Municipal Corporation Palampur,1MC-Palam(1)2022-30,2022_UDDHP_60953_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,P/L CC Paver to Road from Satish Palhania house to Dharam chand house at Rodi in W.No. 08.,P/L CC Paver to Road from Satish Palhania house to Dharam chand house at Rodi in W.No. 08.,Please refer Tender documents. ,NA ,"7,55,800",Civil Works,NA ,Tender,90.0,90.0,Palampur,176061.0,NA ,NA ,NA ,MC Palampur,No ,No,25-May-2022 05:00 PM,13-Jun-2022 03:00 PM,25-May-2022 05:00 PM,13-Jun-2022 10:30 AM,NA ,NA ,25-May-2022 05:00 PM,13-Jun-2022 10:30 AM,21-Jun-2022 11:30 AM,1.0,DD - Demand Draft,Commissioner,Commissioner MC Palampur,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,286436.0,Kapil Chand,12-Jun-2022 04:51 PM,Rejected-Finance,Being L5,02-Jan-2023 03:46 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,3.0,286336.0,Manoj Kumar,13-Jun-2022 09:57 AM,Rejected-Finance,Being L2,02-Jan-2023 03:46 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,4.0,286243.0,SANJAY KUMAR JASWAL GOVT.CONTRACTOR,10-Jun-2022 06:16 PM,Rejected-Finance,Being L3,02-Jan-2023 03:46 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,5.0,286484.0,Sunita Thakur,13-Jun-2022 07:53 AM,Accepted-AOC,Being L1,02-Jan-2023 03:47 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19 c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted M C Employees related to him General Rule No. 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,Other important documents as specified by the State in proforma of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
