Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
PWD,No.PW.RGH.Tender-2022-23-390 dt. 11.4.22,2022_PWD_59493_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,EXECUTIVE ENGINEER,RAJGARH DIVISION HPPWD RAJGARH,1.0,ICICI BANK,500.0,Nil,Nil,No,13-Apr-2022 09:00 AM,21-Apr-2022 11:00 AM,13-Apr-2022 09:00 AM,21-Apr-2022 10:30 AM,NA ,NA ,13-Apr-2022 09:00 AM,21-Apr-2022 10:30 AM,22-Apr-2022 12:30 PM,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER RECEIPT,"21,700",No,fixed,,Nil,Nil,A/R and M/O on Dhamander Deothi Majhgaon Tharu road Km 0/0 to 14/0 and Neripul Tali Bhujjal road Km 0/0 to 14/0 (SH Providing and laying patch work i/c WBM G-III for rectifying corrugated surface on Dhamander Deothi Majhgaon Tharu road in Km. 3/0,A/R and M/O on Dhamander Deothi Majhgaon Tharu road Km 0/0 to 14/0 and Neripul Tali Bhujjal road Km 0/0 to 14/0 (SH Providing and laying patch work i/c WBM G-III for rectifying corrugated surface on Dhamander Deothi Majhgaon Tharu road in Km. 3/0,Please refer Tender documents. ,NA ,"10,82,876",Civil Works - Roads,NA ,Tender,75.0,30.0,RAJGARH DIVISION HPPWD RAJGARH,173101.0,NA ,NA ,NA ,RAJGARH DIVISION HPPWD RAJGARH,No ,No,AOC,PWD,2022_PWD_59493_1,No.PW.RGH.Tender-2022-23-390 dt. 11.4.22,A/R and M/O on Dhamander Deothi Majhgaon Tharu road Km 0/0 to 14/0 and Neripul Tali Bhujjal road Km 0/0 to 14/0 (SH Providing and laying patch work i/c WBM G-III for rectifying corrugated surface on Dhamander Deothi Majhgaon Tharu road in Km. 3/0,Er. Narender Kumar Verma EE,Internal,"Er. D.S Kaundal AE Smt. Pushpa Devi Supdt. G-II, Smt. Asha Devi DHD, Sh. Rajender Kumar Supdt. Gr.-II . Sh. Ghan Shyam Sr.Asstt.",Narender verma,22-Apr-2022 12:26 PM,22-Apr-2022 12:30 PM,techsummary_90035.pdf (1239.53 KB),Er. Narender Kumar Verma EE,Internal,"Er. D.S Kaundal AE Smt. Pushpa Devi Supdt. G-II, Smt. Asha Devi DHD, Sh. Rajender Kumar Supdt. G.-II. Sh. Ghan ShyamSr.Asstt",Narender verma,29-Apr-2022 05:43 PM,finsummary_90035.pdf (527.10 KB),31-Jan-2023,"INR 1,134,939",30.0,Daleep Singh Kaundal,31-Jan-2023 12:50 PM,AOC.pdf (1945.00 KB),work awarded to Sh. Sachin Chauhan,1.0,278619.0,sachin chauhan,21-Apr-2022 09:50 AM,Accepted-AOC,L1,31-Jan-2023 12:50 PM,Technical,SUMMARY,Narender verma,22-Apr-2022 12:21 PM,technical_90035.pdf,Finance,SUMMARY,Narender verma,29-Apr-2022 05:40 PM,finance_90035.pdf,BOQ Comparative Chart,1.0,278619.0,sachin chauhan,INR,"1,134,939",AOC
,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY RECEIPT,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,278621.0,Vikram Thakur,21-Apr-2022 10:19 AM,Rejected-Finance,L2,29-Apr-2022 05:43 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION- Refer General Rule,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST REGISTRATION-Refer General Rule,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"CONTRACTOR IS REQUIRED TO STUDY GENERAL RULES DIRECTIONS,CONDITIONS, CONTRACT CLAUSES and Form-8",,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both Gazatted and non gazatted officer HPPWD employees related to him Gen.,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
