S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,ICICI BANK,PWD,NO.PWC-WA-II 6024-123 dated 11.8.2021,2021_PWD_51443_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer Chamba Division HPPWD Chamba,Executive Engineer Chamba Division HPPWD Chamba,Construction of 2 rooms and toilet block at Sach Construction of one room and toilet block,Construction of 2 rooms and toilet block at Sach Construction of one room and toilet block,Please refer Tender documents. ,NA ,"8,44,345",Civil Works,NA ,Tender,75.0,180.0,chamba,176310.0,NA ,NA ,NA ,Executive Engineer Chamba Division HPPWD Chamba,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender from in shape of Demand draft,19-Aug-2021 05:00 PM,26-Aug-2021 11:30 AM,19-Aug-2021 05:00 PM,25-Aug-2021 05:00 PM,NA ,NA ,19-Aug-2021 05:00 PM,25-Aug-2021 05:00 PM,01-Sep-2021 11:30 AM,350.0,Nil,Nil,No,"17,000",No,fixed,,Nil,Nil,AOC,1.0,232117.0,Darshan Kumar,25-Aug-2021 10:19 AM,Rejected-Finance,3rd lowest,27-Sep-2021 05:20 PM,Technical,BOS,Jeet Singh Thakur,28-Aug-2021 07:31 PM,technical_76896.pdf,Finance,BOS,Jeet Singh Thakur,27-Sep-2021 05:10 PM,finance_76896.pdf,BOQ Comparative Chart,1.0,232168.0,NARENDER KUMAR,INR,"1,407,790",PWD,2021_PWD_51443_2,NO.PWC-WA-II 6024-123 dated 11.8.2021,Construction of 2 rooms and toilet block at Sach Construction of one room and toilet block,EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,28-Aug-2021 07:33 PM,01-Sep-2021 11:30 AM,techsummary_76896.pdf (225.15 KB),EE,Internal,Assistant Engineer Superintendent and senior assistant,Jeet Singh Thakur,27-Sep-2021 05:20 PM,finsummary_76896.pdf (404.69 KB),16-Jan-2023,"INR 844,345",180.0,Jeet Singh Thakur,16-Jan-2023 04:31 PM,8858.pdf (1128.00 KB),Construction of 2 rooms and toilet block at Sach Construction of one room and toilet block,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money in shape of FDR,,,,,,,,,,,,,,,,,,,,AOC,2.0,232168.0,NARENDER KUMAR,25-Aug-2021 03:37 PM,Accepted-AOC,Work awarded,16-Jan-2023 04:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.24.3 and as per invitation of bid ),,,,,,,,,,,,,,,,,,,,AOC,3.0,232116.0,RAJNI DEVI,25-Aug-2021 10:15 AM,Rejected-Finance,2nd lowest,27-Sep-2021 05:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of G.S.T. No.,,,,,,,,,,,,,,,,,,,,AOC,4.0,232209.0,Rakesh Kumar,25-Aug-2021 04:21 PM,Rejected-Finance,4th lowest,27-Sep-2021 05:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN No.,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form HPPWD 7/8 ,duly signed by the contractor",,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/undertaking that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Work in hand /ongoing work,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of machinery,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
