Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"5,900",Nil,Nil,No,Executive Engineer,HPSIDC Shimla,1.0,ICICI BANK,21-Sep-2022 11:00 AM,28-Sep-2022 11:00 AM,21-Sep-2022 11:00 AM,27-Sep-2022 05:00 PM,NA ,NA ,21-Sep-2022 11:00 AM,27-Sep-2022 05:00 PM,10-Oct-2022 04:30 PM,"Construction of link road from Amehra road towards Abadi Dharampal Harijana, Gram Panchayat Dhamandri, Distt. Una (HP).","Construction of link road from Amehra road towards Abadi Dharampal Harijana, Gram Panchayat Dhamandri, Distt. Una (HP).",Please refer Tender documents. ,NA ,"66,48,521",Civil Works - Roads,NA ,Tender,120.0,90.0,una,177219.0,NA ,NA ,NA ,HPSIDC Shimla,No ,No,"99,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Appropriate Contractor registration (as per tender condition),HP SIDC Limited,Job No. 8,2022_SIDC_65255_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC,15-Oct-2022,"INR 7,203,507",90.0,Sushant Singh Negi,09-Jan-2023 02:51 PM,dharampal.pdf (1381.00 KB),Award letter,1.0,304200.0,RAM PARSHAD VERMA GOVT CONTRACTOR,INR,"7,203,507",SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",Sushant Singh Negi,15-Oct-2022 11:36 AM,finsummary_98228.pdf (32.53 KB),HP SIDC Limited,2022_SIDC_65255_1,Job No. 8,"Construction of link road from Amehra road towards Abadi Dharampal Harijana, Gram Panchayat Dhamandri, Distt. Una (HP).",Finance,Financial summary,Sushant Singh Negi,15-Oct-2022 11:30 AM,finance_98228.pdf,BOQ Comparative Chart,SE,Internal,"DM, Manager(F), AE(HQ)",Sushant Singh Negi,10-Oct-2022 03:58 PM,10-Oct-2022 04:30 PM,techsummary_98228.pdf (459.15 KB),Technical,Tender summary,Sushant Singh Negi,10-Oct-2022 03:55 PM,None,1.0,303962.0,Harmeet Singh,27-Sep-2022 03:30 PM,Rejected-Finance,Second lowest bidder,15-Oct-2022 11:36 AM,AOC
,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Signed copy of agreement form and approved make for materials,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,304059.0,M/s. Beetan Enterprisez,27-Sep-2022 04:44 PM,Rejected-Technical,The Details of Financial Turnover has not uploaded by bidder,10-Oct-2022 03:58 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct.,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,304003.0,Nitish Thakur,26-Sep-2022 07:54 PM,Rejected-Finance,Fourth lowest bidder,15-Oct-2022 11:36 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,304200.0,RAM PARSHAD VERMA GOVT CONTRACTOR,27-Sep-2022 10:44 AM,Accepted-AOC,AOC,09-Jan-2023 02:53 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,303940.0,SANJIV KUMAR,27-Sep-2022 04:52 PM,Rejected-Finance,Fifth lowest bidder,15-Oct-2022 11:36 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,303474.0,Vikas puri,27-Sep-2022 02:17 PM,Rejected-Finance,Third lowest bidder,15-Oct-2022 11:36 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of successfully completed work done certificate (as per tender conditions),,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of existing commitments / ongoing work in hand,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial Turnover (last five years with breakup),,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
