S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,ICICI BANK,"2,000",Nil,Nil,No,PWD,ANNUAL MAINTENANCE PLAN ON PAPLOHAL HARZU PAPLOHAL,2022_PWD_57949_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,1. Cost of Tender Form,"ANNUAL MAINTENANCE PLAN ON PAPLOHAL HARZU PAPLOHAL BHARMANA, SOHARI TO KACHWIN ROAD, BUMBLOO BRIDGE TO KATHIANA","PROVIDING AND LAYING BITUMINOUS CONCRETE 30MM THICK IN KM 0/0 TO 4/00, 0/0 TO 1/0 and 2/0 TO 5/0 RESECTIVELY WITH PAVER FINISHER) DRRP. NO. HP-03-05 VR0036, VR0048, VR0073",Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,60.0,60.0,Barsar,174305.0,NA ,NA ,NA ,EE Barsar,No ,No,"1,24,300",No,fixed,,Nil,Nil,Executive Engineer,Executive Engineer Barsar Division HPPWD Barsar,16-Mar-2022 10:30 AM,23-Mar-2022 11:30 AM,16-Mar-2022 10:30 AM,23-Mar-2022 10:30 AM,NA ,NA ,16-Mar-2022 10:30 AM,23-Mar-2022 10:30 AM,28-Mar-2022 03:00 PM,AOC,Executive Engineer,Internal,"Tender Assistant, Supdt, DAO, HDM",Dev Raj,26-Mar-2022 04:40 PM,28-Mar-2022 03:00 PM,techsummary_87496.pdf (780.34 KB),PWD,2022_PWD_57949_1,ANNUAL MAINTENANCE PLAN ON PAPLOHAL HARZU PAPLOHAL,"ANNUAL MAINTENANCE PLAN ON PAPLOHAL HARZU PAPLOHAL BHARMANA, SOHARI TO KACHWIN ROAD, BUMBLOO BRIDGE TO KATHIANA",09-Jan-2023,"INR 9,653,616",60.0,Vinod Kanwar,09-Jan-2023 02:35 PM,A.O.C..pdf (1521.00 KB),A.O.C,Executive Engineer,Internal,"TenderAssistant,Supdt,HDM,DAO",Dev Raj,06-Apr-2022 10:39 AM,finsummary_87496.pdf (316.39 KB),1.0,271457.0,S.S.Chauhans Construction Private Limted,INR,"9,653,616",Finance,Attached,Dev Raj,06-Apr-2022 10:36 AM,finance_87496.pdf,BOQ Comparative Chart,1.0,271769.0,Anil Thakur,22-Mar-2022 06:30 PM,Rejected-Finance,L1L2L3,06-Apr-2022 10:39 AM,Technical,Attached,Dev Raj,26-Mar-2022 04:39 PM,technical_87496.pdf,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,2. EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,271457.0,S.S.Chauhans Construction Private Limted,23-Mar-2022 10:09 AM,Accepted-AOC,L1,09-Jan-2023 02:36 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,3. Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,271788.0,VIJAY KUMAR,22-Mar-2022 03:31 PM,Rejected-Finance,L1L2L3,06-Apr-2022 10:39 AM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,4. Similar Work Done certificate (Only Completed Work),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,"5. GST No. with latest clearance return, EPF No. with latest clearance return, Labour License, PAN C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,6. List of Machinery as per SBD with proof tools and plant with ownership documents/ Affidavit Magis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,7. Affidavit that information submitted by bidder is true and correct attested by Magistrate/ Notary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,8. Work in hand certificate countersigned by the Engineer in Charge not below the rank of Executive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,9. Last Five Years Financial Turn Over duly signed by the C.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,10. Affidavit regarding seen the site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
