Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,06-Apr-2022 06:47 PM,finsummary_86275.pdf (144.07 KB),13-Jan-2023,"INR 2,936,521",90.0,Jeet Singh Thakur,13-Jan-2023 05:20 PM,212-18drabed.pdf (807.00 KB),Providing protection work on Paliur to Drabber road km 0/0 to 1/500 (SH Construction of R/wall at Rd 0/740 to 0/762,PWD,2022_PWD_57168_4,No.PWC- 15129-228 dated 14.02.2022,Providing protection work on Paliur to Drabber road km 0/0 to 1/500 (SH Construction of R/wall at Rd 0/740 to 0/762,EE,Internal,Assistant Engineer Superintendent and senior Assistant,Jeet Singh Thakur,17-Mar-2022 05:32 PM,22-Mar-2022 11:30 AM,techsummary_86275.pdf (411.23 KB),Technical,BOS,Jeet Singh Thakur,17-Mar-2022 05:16 PM,technical_86275.pdf,1.0,268149.0,Construction,06-Mar-2022 10:01 PM,Rejected-Finance,6th Lowest,06-Apr-2022 06:47 PM,1.0,268225.0,PAVINDER THAKUR,INR,"2,265,182",Finance,BOS,Jeet Singh Thakur,26-Mar-2022 06:46 PM,finance_86275.pdf,BOQ Comparative Chart,AOC,"1,500",Nil,Nil,No,"58,750",No,fixed,,Nil,Nil,24-Feb-2022 03:00 PM,08-Mar-2022 11:30 AM,24-Feb-2022 03:00 PM,07-Mar-2022 05:00 PM,NA ,NA ,24-Feb-2022 03:00 PM,07-Mar-2022 05:00 PM,22-Mar-2022 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form only online mode through e-payment,PWD,No.PWC- 15129-228 dated 14.02.2022,2022_PWD_57168_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer Chamba Division HPPWD Chamba,Executive Engineer Chamba Division HPPWD Chamba,1.0,ICICI BANK,Providing protection work on Paliur to Drabber road km 0/0 to 1/500 (SH Construction of R/wall at Rd 0/740 to 0/762,Providing protection work on Paliur to Drabber road km 0/0 to 1/500 (SH Construction of R/wall at Rd 0/740 to 0/762,Please refer Tender documents. ,NA ,"29,36,521",Civil Works,NA ,Tender,75.0,90.0,chamba,176310.0,NA ,NA ,NA ,Executive Engineer Chamba Division HPPWD Chamba,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,268084.0,DINESH KUMAR WORK CONTRACTOR,05-Mar-2022 02:30 PM,Rejected-Finance,7th Lowest,06-Apr-2022 06:47 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money only online mode through e-payment,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,268197.0,MANESHWAR SINGH,06-Mar-2022 07:22 PM,Rejected-Finance,4th Lowest,06-Apr-2022 06:47 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.24.3 and as per invitation of bid ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,268225.0,PAVINDER THAKUR,06-Mar-2022 08:38 PM,Accepted-AOC,Work completed,13-Jan-2023 05:20 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of G.S.T. No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,267988.0,Shamu Govt Contractor,07-Mar-2022 01:17 PM,Rejected-Finance,2nd Lowest,06-Apr-2022 06:47 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,268284.0,SOHAL LAL,07-Mar-2022 11:37 AM,Rejected-Finance,5th Lowest,06-Apr-2022 06:47 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form HPPWD 7/8,duly signed by the contractor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,268081.0,ubed ali shah,07-Mar-2022 04:34 PM,Rejected-Finance,3rd Lowest,06-Apr-2022 06:47 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/undertaking that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Work in hand /ongoing work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
