Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
Technical,Summary,Vijay Kumar Verma,12-Nov-2021 10:50 AM,technical_79141.pdf,1.0,240895.0,NAVNEET SHARMA,20-Oct-2021 04:12 PM,Accepted-AOC,Award,12-Jan-2023 01:06 PM,1.0,240895.0,NAVNEET SHARMA,INR,"1,695,312",Finance,Summary,Vijay Kumar Verma,15-Nov-2021 03:02 PM,finance_79141.pdf,BOQ Comparative Chart,Er. Vijay Kumar Verma,Internal,"Sh. Bheem Ram (DHD), Kangra Divn., Sh. Jiwan Singh, (Supdt. Gr-II), D.A.O. (Gr-I), HPPWD, Kangra",Vijay Kumar Verma,15-Nov-2021 03:04 PM,finsummary_79141.pdf (527.87 KB),12-Jan-2023,"INR 1,108,255",30.0,Sushil Kumar Dhadwal,12-Jan-2023 01:05 PM,AOC.pdf (3587.00 KB),AOC,PWD,2021_PWD_52921_2,8319-68 dt.27.9.2021,Annual Maintenance Plan (AMP) RR Rulehar to Lam (HP0413VR084) km.1/0 to 3/880,Er. Vijay Kumar Verma,Internal,"Sh. Bheem Ram (DHD), Kangra Divn., Sh. Jiwan Singh, (Supdt. Gr-II), D.A.O. (Gr-I), HPPWD, Kangra",Vijay Kumar Verma,12-Nov-2021 10:52 AM,15-Nov-2021 11:00 AM,techsummary_79141.pdf (965.20 KB),AOC,Annual Maintenance Plan (AMP) RR Rulehar to Lam (HP0413VR084) km.1/0 to 3/880,(SH P/L 30mm Bituminous concrete in km. 2/440 to 3/880).,Please refer Tender documents. ,NA ,"11,08,255",Civil Works - Roads,NA ,Tender,120.0,30.0,Kangra,176001.0,NA ,NA ,NA ,Kangra,No ,No,"16,500",No,fixed,,Nil,Nil,PWD,8319-68 dt.27.9.2021,2021_PWD_52921_2,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,13-Oct-2021 09:00 AM,21-Oct-2021 11:00 AM,13-Oct-2021 09:00 AM,21-Oct-2021 10:30 AM,NA ,NA ,13-Oct-2021 10:00 AM,21-Oct-2021 10:30 AM,15-Nov-2021 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form indicated in schedule-F (Required only National Bank),500.0,Nil,Nil,No,"Executive Engineer, HPPWD, Division, Kangra","Executive Engineer, HPPWD, Division, Kangra",AOC
,,,,,2.0,240844.0,Navneet Thakur,20-Oct-2021 11:52 AM,Rejected-Finance,Rated quoted as higher side,15-Nov-2021 03:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,.pdf,Earnest Money indicated in schedule-F,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit it regarding no relative working in department,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of technical staff required as per Clause 36(1(2) and 36(A),,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Litigation case,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate (General Rule No-19) and 28.2b and Sr. No-4 Schedule-D,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool plant shown in schedule-F (Sr. No-6.19) (Refer clause No-18),,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration (Refer General Rule No-23),,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN Number and EPF Number, GST Registration (Refer General Rule No-21)",,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the contractor has not more than two work in hand in 5th Circle,,,,,,,AOC
