EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
"12,800",No,fixed,,Nil,Nil,03-Jun-2022 11:00 AM,10-Jun-2022 11:30 AM,03-Jun-2022 11:00 AM,10-Jun-2022 10:00 AM,NA ,NA ,03-Jun-2022 11:00 AM,10-Jun-2022 10:00 AM,15-Jun-2022 11:00 AM,PWD,PW-MDI(P)Tender-NIT- 1943-78 dated 20.05.2022,2022_PWD_61334_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Executive Engineer Mandi Divn.No.I HPPWD at Padhar,Executive Engineer Mandi Divn.No.I HPPWD at Padhar,350.0,Nil,Nil,No,Construction of Thaltukhod Graman Panjound road Km. 0/0 to 4/0,Construction of R.C.C. Hume Pipe culvert at R.D. 2/150 and 2/450,As per bid documents ,NA ,"6,37,944",Civil Works - Roads,NA ,Tender,90.0,183.0,Thaltukhod,175013.0,NA ,NA ,NA ,Executive Engineer Mandi Divn.No.I HPPWD at Padhar,No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule E),AOC,1.0,286180.0,Desh Raj,INR,"529,493.63",Finance,fbosummary,Jitender Kumar,18-Jun-2022 11:43 AM,finance_92586.pdf,BOQ Comparative Chart,1.0,286180.0,Desh Raj,10-Jun-2022 07:53 AM,Accepted-AOC,AOC,12-Jan-2023 03:06 PM,Technical,summary,Jitender Kumar,13-Jun-2022 11:01 AM,technical_92586.pdf,Er. J.K. Gupta,Internal,Supdt. HDM Divn. Accountant(P),Jitender Kumar,13-Jun-2022 01:45 PM,15-Jun-2022 11:00 AM,techsummary_92586.pdf (401.02 KB),PWD,2022_PWD_61334_1,PW-MDI(P)Tender-NIT- 1943-78 dated 20.05.2022,Construction of Thaltukhod Graman Panjound road Km. 0/0 to 4/0,07-Sep-2022,"INR 637,944",183.0,Jitender Kumar,12-Jan-2023 03:05 PM,AOCthaltukhadculvert.PDF (323.00 KB),AOC No. 10865-75 dated 07.09.2022,Er. Sanjeev Sood,Internal,AE Jhatingri Supdt. HDM Divn. Accountant(P),Jitender Kumar,18-Jun-2022 11:58 AM,finsummary_92586.pdf (492.85 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Earnest money (Indicated in Schedule E),AOC,,,,,,,,,,,,2.0,285735.0,LABH SINGH CONTRACTOR,07-Jun-2022 06:21 PM,Rejected-Finance,L-2,18-Jun-2022 11:58 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (General Rule No.20),AOC,,,,,,,,,,,,3.0,285724.0,RAJU RAM,07-Jun-2022 05:42 PM,Rejected-Finance,L-3,18-Jun-2022 11:58 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration Document Refer HPPWD-6 16(3),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certi.(Gen.Rule No.16 and 26.2.b)Mini amount of workdone as per Sched-F,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of machineries Indicated in Sch.F contractor must upload the proofof ownershipof machinery,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"HPPWD Form No.7/8 duly signed (General Rule and directions, Schedules A to F)",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished is correct,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to provide,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
