Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
02-Jan-2023,"INR 857,826.97",90.0,Daleep Singh Kaundal,02-Jan-2023 03:17 PM,AOC.pdf (1238.00 KB),work awarded to sh. Narender Kumar,Er. Narender Kumar Verma EE,Internal,"Er. D.S Kaundal AE, Sh.Ghanshyam Dass Supdt. G-II, Sh.Krishan Singh Supdt. G-II, Smt.Asha Kamal DHD, Sh. Ghan Shyam Jr. Asstt.",Narender verma,02-Sep-2021 10:54 AM,finsummary_75839.pdf (1505.77 KB),Er. Narender Kumar Verma EE,Internal,"Er. D.S Kaundal AE, Sh.Ghanshyam Dass Supdt. G-II, Sh.Krishan Singh Supdt. G-II, Smt.Asha Kamal DHD, Sh. Ghan Shyam Jr. Asstt.",Narender verma,10-Aug-2021 04:25 PM,10-Aug-2021 04:30 PM,techsummary_75839.pdf (1951.71 KB),PWD,2021_PWD_50713_1,No.PW.RGH-Tender-21-3687-3786 dt.31.7.21,Construction of Rajgarh Yashwant Nagar via Badgla road km 0/0 to 13/0 (SH C/O 900 mm dia RCC Hume pipe culvert D/S Toe wall height 5.60 along with both side wing walls at Rd 0/550 and Retaining wall at RD 0/535 to 0/547),Technical,SUMMARY,Narender verma,10-Aug-2021 03:42 PM,technical_75839.pdf,1.0,228354.0,Narender singh,08-Aug-2021 01:10 PM,Accepted-AOC,L1,02-Jan-2023 03:18 PM,Finance,SUMMARY,Narender verma,26-Aug-2021 11:26 AM,finance_75839.pdf,BOQ Comparative Chart,1.0,228354.0,Narender singh,INR,"857,826.97",AOC,EXECUTIVE ENGINEER,RAJGARH DIVISION HPPWD RAJGARH,PWD,No.PW.RGH-Tender-21-3687-3786 dt.31.7.21,2021_PWD_50713_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,350.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER Receipt uploaded,Construction of Rajgarh Yashwant Nagar via Badgla road km 0/0 to 13/0 (SH C/O 900 mm dia RCC Hume pipe culvert D/S Toe wall height 5.60 along with both side wing walls at Rd 0/550 and Retaining wall at RD 0/535 to 0/547),Construction of Rajgarh Yashwant Nagar via Badgla road km 0/0 to 13/0 (SH C/O 900 mm dia RCC Hume pipe culvert D/S Toe wall height 5.60 along with both side wing walls at Rd 0/550 and Retaining wall at RD 0/535 to 0/547),Please refer Tender documents. ,NA ,"9,53,141",Civil Works - Roads,NA ,Tender,75.0,90.0,RAJGARH DIVISION HPPWD RAJGARH,173101.0,NA ,NA ,NA ,EXECUTIVE ENGINEER RAJGARH DIVISION HPPWD RAJGARH,No ,No,"19,500",No,fixed,,Nil,Nil,02-Aug-2021 06:00 PM,09-Aug-2021 11:00 AM,02-Aug-2021 06:00 PM,09-Aug-2021 10:30 AM,NA ,NA ,02-Aug-2021 06:00 PM,09-Aug-2021 10:30 AM,10-Aug-2021 04:30 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,227534.0,RAJESH KUMAR BHANDARI,06-Aug-2021 11:29 AM,Rejected-Finance,L3,02-Sep-2021 10:54 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,EARNEST MONEY Receipt uploaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,227561.0,Sachin Chauhan,04-Aug-2021 04:31 PM,Rejected-Finance,L2,02-Sep-2021 10:54 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION- Refer General Rule Sr. No 24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST REGISTRATION-Refer General Rule Sr. No 24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"THE CONTRACTOR IS REQUIRED TO STUDY GENERAL RULES DIRECTIONS, General Rule Sr. No 24.8 Form No 8 du",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both Gazatted and non gazatted officer HPPWD employees related to him Gen. Rule Sr.No.14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
