Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
PWD,MDII,2022_PWD_64864_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"1,500",Nil,Nil,Yes,"52,150",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"Cost of tender Form (Indicated in Schedule F), Earnest money",12-Sep-2022 05:00 PM,20-Sep-2022 11:30 AM,12-Sep-2022 05:00 PM,19-Sep-2022 05:00 PM,NA ,NA ,12-Sep-2022 05:00 PM,19-Sep-2022 05:00 PM,23-Sep-2022 03:10 PM,EE MANDI DIVISION NO-II HPPWD MANDI,EE MANDI DIVISION NO-II HPPWD MANDI,C/O Additional room for S.E. 1st circle Mandi HPPWD Mandi office building Mandi HP,Providing and fixing acoustic ceiling and paneling for S.E. office and Meeting hall),Please refer Tender documents. ,NA ,"26,06,857",Civil Works,NA ,Tender,75.0,61.0,EE MANDI DIVISION NO-II HPPWD MANDI,175001.0,NA ,NA ,NA ,EE MANDI DIVISION NO-II HPPWD MANDI,No ,No,1.0,ICICI BANK,AOC,1.0,301130.0,Chirag Rana,19-Sep-2022 11:10 AM,Rejected-Finance,2,24-Sep-2022 05:51 PM,Technical,Summary,Suresh Kumar Dhiman,23-Sep-2022 03:07 PM,technical_97588.pdf,1.0,300733.0,yogesh,INR,"2,650,130.83",Finance,Summary,Suresh Kumar Dhiman,24-Sep-2022 05:42 PM,None,BOQ Comparative Chart,PWD,2022_PWD_64864_1,MDII,C/O Additional room for S.E. 1st circle Mandi HPPWD Mandi office building Mandi HP,ER S K DHIMAN,Internal,,Suresh Kumar Dhiman,23-Sep-2022 03:08 PM,23-Sep-2022 03:10 PM,techsummary_97588.pdf (243.58 KB),ER S K DHIMAN,Internal,,Suresh Kumar Dhiman,24-Sep-2022 05:51 PM,finsummary_97588.pdf (198.71 KB),31-Jan-2023,"INR 2,650,130.83",61.0,Suresh Kumar Dhiman,31-Jan-2023 02:43 PM,Document19.pdf (407.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Contractor Registration(General Rule No.23,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,2.0,301925.0,DEVI CHAND THAKUR,18-Sep-2022 05:59 PM,Rejected-Technical,NON Responsive,23-Sep-2022 03:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Copy of PAN Card ,GST(General Rule No.21)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,300749.0,Dinesh kumar,15-Sep-2022 07:41 PM,Rejected-Finance,3,24-Sep-2022 05:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate for the works completed in last five years (General Rule No.19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4.0,300733.0,yogesh,16-Sep-2022 08:44 PM,Accepted-AOC,L1,31-Jan-2023 02:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form No. 6/8 duly signed (General Rule No.26.7),",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plants and equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit regarding all the Information furnished with the bid are correct,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit showing the detail of near relatives who are working in HPPWD as Gazetted non Gazetted off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
