Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Executive Engineer,Internal,SUPERINTENDENT G-II HDM DAO,Rattan Kumar Sharma,19-Jun-2021 12:56 PM,finsummary_72047.pdf (227.63 KB),16-Aug-2021,"INR 13,826,395",545.0,Rattan Kumar Sharma,09-Jan-2023 03:26 PM,46.pdf (1153.00 KB),AOC,PWD,2021_PWD_48077_1,SANGRAH 1134-84 DATED 27.05.2021,Development of Churdhar under,Executive Engineer,Internal,SUPERINTENDENT G-II HDM DAO,Rattan Kumar Sharma,14-Jun-2021 03:04 PM,14-Jun-2021 03:15 PM,techsummary_72047.pdf (478.13 KB),Technical,SUMMARY,Rattan Kumar Sharma,14-Jun-2021 12:41 PM,technical_72047.pdf,1.0,215366.0,Babu Ram,11-Jun-2021 03:03 PM,Rejected-Finance,L2,19-Jun-2021 12:56 PM,1.0,216076.0,VIKRAM SINGH GOVT. CONTRACTOR,INR,"13,826,395",Finance,summary,Rattan Kumar Sharma,19-Jun-2021 12:53 PM,finance_72047.pdf,BOQ Comparative Chart,AOC,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,RECEIPT / SCREEN SHOT OF COST OF TENDER AND EARNEST MONEY PAYMENT (INDICATED IN SCHEDULE F),PWD,SANGRAH 1134-84 DATED 27.05.2021,2021_PWD_48077_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,"Executive Engineer, HPPWD Division Sangrah","Executive Engineer, HPPWD Division Sangrah",04-Jun-2021 05:00 PM,14-Jun-2021 10:30 AM,04-Jun-2021 05:00 PM,11-Jun-2021 05:00 PM,NA ,NA ,04-Jun-2021 05:00 PM,11-Jun-2021 05:00 PM,14-Jun-2021 03:15 PM,"1,82,000",No,fixed,,Nil,Nil,Development of Churdhar under,"Formation cutting and stone paving of Track, Construction of Rain Shelters, Hand railing and Trackers Hut from km 0/0 to 13/200)",Please refer Tender documents. ,NA ,"1,48,64,935",Civil Works,NA ,Tender,75.0,545.0,Sangrah,173023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Sangrah",No ,No,"5,000",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,215764.0,Jai Parkash,09-Jun-2021 02:03 PM,Rejected-Finance,L3,19-Jun-2021 12:56 PM,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,.pdf,LATEST CONTRACTORS REGISTRATION FULL COPY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,216076.0,VIKRAM SINGH GOVT. CONTRACTOR,11-Jun-2021 11:11 AM,Accepted-AOC,AOC,09-Jan-2023 03:26 PM,,,,,,,,,,,,AOC,,,,,.pdf,GST REGISTRATION NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,WORK DONE CERTIFICATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,WORK IN HAND CERTIFICATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,"LIST OF MACHINERY, TOOL, PLANT AS PER GCC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,FORM NO 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,BIDDING CAPACITY/C.A. ANNUAL REPORT AS PER GENERAL RULES 26.2 A AND 26.2 A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,ANY ADDITIONAL INFORMATION MENTIONED IN SCHEDULE D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,PROOF TO REGISTRATION UNDER EMPLOYEES PROVIDENT FUNDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
