S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,ICICI BANK,PWD,Job 7 Restoration and rain damage Chandpur Thakr,2022_PWD_61123_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,03-Jun-2022 10:00 AM,09-Jun-2022 11:00 AM,03-Jun-2022 10:30 AM,09-Jun-2022 09:00 AM,NA ,NA ,03-Jun-2022 10:30 AM,09-Jun-2022 09:00 AM,16-Jun-2022 10:00 AM,"11,900",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender through online,500.0,Nil,Nil,No,"Executive Engineer, Una Division, HPPWD, Una","Executive Engineer, Una Division, HPPWD, Una",Job 7 Restoration and rain damage Chandpur Thakran road RD 0-0 to 4-320 Sub Head Providing and Laying 100 mm thick interlocking paver block at RD 0-00 to 0-150,Job 7 Restoration and rain damage Chandpur Thakran road RD 0-0 to 4-320 Sub Head Providing and Laying 100 mm thick interlocking paver block at RD 0-00 to 0-150,Please refer to Bidding Documents ,NA ,"5,94,375",Civil Works - Roads,NA ,Tender,75.0,30.0,Una,174303.0,NA ,NA ,NA ,"Executive Engineer, Una Division, HPPWD, Una",No ,No,AOC,"Er. Rajesh Kumar, EE",Internal,"Er. Kuldeep Singh AE to EE , Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II, Jagdeep Singh, Draughtsman",Rajesh Kumar,13-Jun-2022 07:39 PM,16-Jun-2022 10:00 AM,techsummary_92259.pdf (1142.96 KB),PWD,2022_PWD_61123_1,Job 7 Restoration and rain damage Chandpur Thakr,Job 7 Restoration and rain damage Chandpur Thakran road RD 0-0 to 4-320 Sub Head Providing and Laying 100 mm thick interlocking paver block at RD 0-00 to 0-150,22-Jul-2023,"INR 594,375",30.0,Rajesh Kumar,05-Jan-2023 03:14 PM,Awardletter.pdf (954.00 KB),Awarded vide letter No 6822-31 dated 22.07.2022,"Er. Rajesh Kumar, EE",Internal,"Er. Kuldeep Singh AE to EE Harish Chander Sharma Head Draughtsman, Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II",Rajesh Kumar,27-Jun-2022 01:23 PM,finsummary_92259.pdf (532.96 KB),Finance,Proceedingregardingopeningoffinancialbids,Rajesh Kumar,27-Jun-2022 11:30 AM,finance_92259.pdf,BOQ Comparative Chart,1.0,285418.0,SUMIT SEHGAL,INR,"416,063",1.0,285984.0,aman kumar,08-Jun-2022 08:16 PM,Rejected-Finance,Not L-1,27-Jun-2022 01:23 PM,Technical,TechnicalBidOpeningSummary,Rajesh Kumar,13-Jun-2022 07:14 PM,technical_92259.pdf,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money through online,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,285971.0,Arun Kumar,09-Jun-2022 03:37 AM,Rejected-Finance,Not L-1,27-Jun-2022 01:23 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration with validity,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,285811.0,Nitish Thakur,08-Jun-2022 07:48 PM,Rejected-Finance,Not L-1,27-Jun-2022 01:23 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T. No. and NOC from concerned department,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,285718.0,SATBIR SINGH GOVT CONT,08-Jun-2022 12:03 PM,Rejected-Finance,Not L-1,27-Jun-2022 01:23 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E.P.F. No. and NOC from concerned department,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,285965.0,SATWINDER SINGH,09-Jun-2022 03:56 AM,Rejected-Finance,Not L-1,27-Jun-2022 01:23 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work Done Certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equival",,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,285937.0,SUMIT KUMAR,08-Jun-2022 05:06 PM,Rejected-Finance,Not L-1,27-Jun-2022 01:23 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work in hand certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equi",,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,285418.0,SUMIT SEHGAL,07-Jun-2022 08:07 PM,Accepted-AOC,ok,05-Jan-2023 03:15 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Machinery Tool Plant as per bid documents along with documentary proof.,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Both Gazetted and non-Gazetted officer HPPWD employees related to him (General Rule,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
