Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage
Finance,Financial bid opening summary,Arvind Kumar,08-Apr-2022 02:09 PM,finance_88794.pdf,BOQ Comparative Chart,1.0,275497.0,BHUPENDER SINGH THAKUR,INR,"4,680,202",Technical,Technical bid opening summary,Arvind Kumar,07-Apr-2022 12:21 PM,technical_88794.pdf,1.0,275497.0,BHUPENDER SINGH THAKUR,05-Apr-2022 05:45 PM,Accepted-AOC,L-1,09-Jan-2023 04:29 PM,Er Arvind sharma EE B and R Solan,Internal,Shri Deepak Anand Senior Divisional Accounts Officer Shri Om Prakash Supdt Grade II PMGSY Shri Hemender Sharma HDM and Shri Rajkumar Tender Assistant,Arvind Kumar,08-Apr-2022 02:24 PM,finsummary_88794.pdf (22.11 KB),07-May-2022,"INR 4,680,202",60.0,Arvind Kumar,09-Jan-2023 04:28 PM,02.pdf (2107.00 KB),AOC,PWD,2022_PWD_58719_1,18633-42 dated 17.03.2022 AMP Tikkari Tannjai road,AMP for the Year 2022-23 for Tikkari Tannji Lakhoti road Km0/0 to 11/580 VR,"Er, Arvind Sharma EE B and R Solan",Internal,Shri Deepak Anand Senior Divisional Accounts Officer Shri Om Prakash Supdt Grade II PMGSY Shri Hemender Sharma HDM and Shri Rajkumar Tender Assistant,Arvind Kumar,07-Apr-2022 03:04 PM,07-Apr-2022 03:10 PM,techsummary_88794.pdf (22.11 KB),AOC,Executive Engineer B and R Division HPPWD Solan,Near New Bus Stand Bye pass road Solan,PWD,18633-42 dated 17.03.2022 AMP Tikkari Tannjai road,2022_PWD_58719_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AMP for the Year 2022-23 for Tikkari Tannji Lakhoti road Km0/0 to 11/580 VR,SH Providing and laying renewal coat by providing 30mm BC in Km0/760 to 4/0,Please refer Tender documents. ,NA ,"53,42,153",Civil Works,NA ,Tender,90.0,60.0,Solan,173212.0,NA ,NA ,NA ,Solan,No ,No,"2,000",Nil,Nil,No,"87,700",No,fixed,,Nil,Nil,30-Mar-2022 10:00 AM,06-Apr-2022 11:00 AM,30-Mar-2022 10:00 AM,06-Apr-2022 10:30 AM,NA ,NA ,30-Mar-2022 10:00 AM,06-Apr-2022 10:30 AM,07-Apr-2022 03:10 PM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of tender and earnest money indicate in Schedule F General Rule NO24.1,AOC
,,,,,,,,,,,,,,,,2.0,274923.0,naresh vij govt contractor,05-Apr-2022 08:20 PM,Rejected-Finance,L2,08-Apr-2022 02:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Contractors registration refer general rules and directions No 24.3 of SBD,AOC
,,,,,,,,,,,,,,,,3.0,275246.0,Neeraj Kumar Choudhary,05-Apr-2022 09:50 PM,Rejected-Finance,L3,08-Apr-2022 02:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration refer general rules and Directions no 24.4 of SBD,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,work done certifidcate and work in hand certificate refer in general rules No 24.5 schedule F Note w,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machenery, tool plant shown in schedule F with reference to clause 24.6 of SBD affidavit fur",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,affidavits of correctness of all the documents are submitted is true by the Contractor,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor should have to submit the proof of EPF as mentioned in SBD Clause 22 A,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done condition one similar nature of work not less than 40 percent of the estimated cost as pe,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Fill Form NO 8 of SBD as per Directions and Rules No 24.8 and upload pdf documents,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual financial turn over form CA to Calculate the bidding capacity as per condition NO 26.2.a of S,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantity,AOC
