EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
"30,000",No,fixed,,Nil,Nil,1.0,ICICI BANK,Periodical Maintenance on Bhalei Matta Temple to village Saphan (VR0059) under AMP for the year 2022-2023,Providing and laying 30mm thick bituminous concrete and hot applied thermoplastic reflective paint strip in K.M. 10/0 to 10/830,Please refer Tender documents. ,NA ,"14,97,113",Civil Works,NA ,Tender,75.0,90.0,Salooni,176320.0,NA ,NA ,NA ,Executive Engineer Salooni Division HPPWD Salooni,No ,No,10-Mar-2022 10:00 AM,17-Mar-2022 11:30 AM,10-Mar-2022 10:00 AM,17-Mar-2022 11:00 AM,NA ,NA ,10-Mar-2022 10:00 AM,17-Mar-2022 11:00 AM,22-Mar-2022 11:30 AM,PWD,EE Salooni Letter No. 10966-11016 dated 24-02-2022,2022_PWD_57733_12,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Executive Engineer,Executive Engineer Salooni Division HPPWD Salooni,500.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender from only online mode through E-payment,AOC,Finance,Bid Opening Summary,Deepak Mahajan,29-Apr-2022 01:12 PM,finance_87221.pdf,BOQ Comparative Chart,1.0,269904.0,Kamal Thakur,17-Mar-2022 10:33 AM,Accepted-AOC,Work in progredd,16-Jan-2023 04:30 PM,Executive Engineer,Internal,Senior Assistant Superintendent HDM AE,Deepak Mahajan,19-Mar-2022 06:38 PM,22-Mar-2022 11:30 AM,techsummary_87221.pdf (477.26 KB),Technical,Bid opening summary,Deepak Mahajan,19-Mar-2022 06:37 PM,technical_87221.pdf,1.0,269904.0,Kamal Thakur,INR,"1,497,113",01-May-2022,"INR 1,497,113",90.0,Deepak Mahajan,16-Jan-2023 04:30 PM,AL.pdf (1189.00 KB),Award letter,PWD,2022_PWD_57733_12,EE Salooni Letter No. 10966-11016 dated 24-02-2022,Periodical Maintenance on Bhalei Matta Temple to village Saphan (VR0059) under AMP for the year 2022-2023,Executive Engineer,Internal,Senior Assistant Superintendent HDM AE,Deepak Mahajan,29-Apr-2022 01:15 PM,finsummary_87221.pdf (18.18 KB),AOC
,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money from only online mode through E-payment,AOC,,,,,,,2.0,270068.0,sahab singh thakur,15-Mar-2022 06:40 PM,Rejected-Finance,Other than lowest,29-Apr-2022 01:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No. 24.3 and as per invitation of bid),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of G.S.T. Number,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Number,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form No. 8, duly signed by the contractor",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/Undertaking that information furnished with the bid (Name of works is correct),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of technical Staff,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done at least one similar work of forty percent of the estimated value of work (without L.D.),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Own Mini Hot Mix Plant, Paver Finisher and road Roller documentary proof",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
