Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Instrument Type,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Technical,Bid Opening Summary,Munish Sahni,18-Aug-2020 04:19 PM,technical_57045.pdf,Finance,financial bid of all qualified bidder has been opened,Gita Ram,22-Sep-2020 03:55 PM,finance_57045.pdf,BOQ Comparative Chart,14-Mar-2022,"INR 88,822,048",365.0,Gita Ram,23-Jan-2023 05:17 PM,Lakkarbaza.pdf (897.00 KB),Lowest bidder,1.0,172279.0,CHOPRA ELECTRIC WORKS,17-Aug-2020 04:00 PM,Rejected-AOC,Rejected bidder,23-Jan-2023 05:18 PM,Sh. Rohit Thakur,Internal,"Munish Sahni DGM, Gita Ram Manager Civil",Gita Ram,09-Sep-2020 11:01 AM,09-Sep-2020 03:00 PM,techsummary_57045.pdf (1450.40 KB),Ropeway and Rapid Transport System Development Corporation,2020_RTDCH_38619_1,RTDC/SHIMLA SMART CITY/ 2019 -1652-56 DT 9.4.2020,"Engineering, Manufacturing / Procurement, Installation, Testing and Commissioning of Lifts and Travelators from Lakkar Bazar Bus stand to Ridge in Shimla",1.0,171186.0,SKY INTERNATIONAL,INR,"88,822,048","General Manager, RTDC",Internal,"DGM, RTDC and Manager (Civil) RTDC",Gita Ram,14-Mar-2022 12:58 PM,finsummary_57045.pdf (950.77 KB),AOC,1.0,Fee,.pdf,TENDER FEE,06-Jul-2020 05:00 PM,18-Aug-2020 03:00 PM,06-Jul-2020 05:00 PM,18-Aug-2020 12:00 PM,NA ,NA ,06-Jul-2020 05:00 PM,18-Aug-2020 12:00 PM,09-Sep-2020 03:00 PM,Cheif General Manager,RTDC US Club Shimla,1.0,DD - Demand Draft,1.0,Extension of bid due date,Date,,"11,800",GM RTDC Shimla,Shimla,No,"21,00,000",Yes,fixed,,GM RTDC Shimla,Shimla,"Engineering, Manufacturing / Procurement, Installation, Testing and Commissioning of Lifts and Travelators from Lakkar Bazar Bus stand to Ridge in Shimla",Please Refer Tender Document,Please refer Tender documents. ,NA ,"10,37,00,000",Civil Works,NA ,Tender,120.0,365.0,Shimla,171001.0,NA ,NA ,NA ,US Club Shimla,No ,No,Ropeway and Rapid Transport System Development Corporation,RTDC/SHIMLA SMART CITY/ 2019 -1652-56 DT 9.4.2020,2020_RTDCH_38619_1,Yes,Open Tender,Lump-sum,Works,3.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,,,2.0,171186.0,SKY INTERNATIONAL,11-Aug-2020 08:06 AM,Accepted-AOC,Lowest bidder,23-Jan-2023 05:18 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,EARNEST MONEY,,,,,,,,,,,,2.0,BG - Bank Guarantee,2.0,Clarification regarding Commissioning of Lift,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"GST registration number, EPF registration, PAN No",,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,PreQual/Technical,.pdf,Eligibility Criteria for Bidder Documents as per RFP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Letter of Acceptance of tender condition unconditional as per format enclosed in RFP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Certificate of Financial Turnover duly certified by CA as indicated above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,All pages of the entire Corrigendum (if any) duly signed by the authorized person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit as per Appendix-O of RFP document Acceptance letter and Affidavit forBlacklisting/ Debar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Any other documents as asked in RFP document.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"Should submit the list of tools, plant and machinery AND MANPOWER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
