Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
"1,500",Nil,Nil,No,PWD,SD-III-Y-19300-315dt.27-9-22,2022_PWD_65888_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,01-Oct-2022 06:00 PM,11-Oct-2022 11:00 AM,03-Oct-2022 10:00 AM,10-Oct-2022 06:00 PM,NA ,NA ,03-Oct-2022 10:00 AM,10-Oct-2022 06:00 PM,11-Oct-2022 05:35 PM,"Renovation-Rehabilition to Kamla Nehru Hospital Shimla. (SH- Civil Work and WS and SI work for extension of OPD Block at Second floor , Construction of waiting hall and Public toilet","Renovation-Rehabilition to Kamla Nehru Hospital Shimla. (SH- Civil Work and WS and SI work for extension of OPD Block at Second floor , Construction of waiting hall and Public toilet",As per SBD ,NA ,"33,47,476",Civil Works - Buildings,NA ,Tender,75.0,30.0,KNH,171001.0,NA ,NA ,NA ,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",No ,No,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",1.0,Fee/PreQual/Technical,.pdf,Cost of tender document as per schedule F (6.3) Earnest Money as per schedule F (6.5) on line mode o,"66,950",No,fixed,,Nil,Nil,PWD,2022_PWD_65888_1,SD-III-Y-19300-315dt.27-9-22,"Renovation-Rehabilition to Kamla Nehru Hospital Shimla. (SH- Civil Work and WS and SI work for extension of OPD Block at Second floor , Construction of waiting hall and Public toilet",P.K. Verma E.E.,Internal,"Padam Sharma HDM,R.S. Thakur Supdt, Deepak Sharma Sr. DAO",Parveen Kumar Verma,11-Oct-2022 05:32 PM,11-Oct-2022 05:35 PM,techsummary_99136.pdf (373.82 KB),P.K. Verma,Internal,"Padam SharmaHDMR.S.ThakurSupdt,Deepak SharmaSr. DAO",Bhupender Singh,27-Oct-2022 01:03 PM,finsummary_99136.pdf (234.14 KB),10-Jan-2023,"INR 28,600,746",30.0,Bhupender Singh,07-Jul-2023 12:30 PM,VIJAOC.pdf (564.00 KB),AOC,Finance,Bid Opening Summary,Bhupender Singh,11-Oct-2022 05:46 PM,finance_99136.pdf,BOQ Comparative Chart,1.0,306927.0,ASHWANI VIJ,INR,"2,860,746",1.0,306927.0,ASHWANI VIJ,10-Oct-2022 05:39 PM,Accepted-AOC,L1,07-Jul-2023,Technical,Bid Opening Summary,Parveen Kumar Verma,11-Oct-2022 05:27 PM,technical_99136.pdf
,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration as per general Rule 23 and as per invitation of bid.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,307598.0,M Pandit,10-Oct-2022 01:57 PM,Rejected-Finance,L2,27-Oct-2022,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration as per General Rule No 21. Copy of GST No./ Copy of Tin No. and Copy of PAN Card.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under Employees Provident Funds and Miscellaneous Provision Act. 1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HP.PWD Form No-8 with full address and Mobile No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Gazetted and non-Gazetted HPPWD employees related to him (General Rule No 16).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit of no relative working in PWD, Information furnished in the bid is correct in all respect.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Machinery Tools plant and ownership as per sr. No. 6.19 of schedule F Clause 18.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contact number and Address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
