Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No.2,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1.1,Corrigendum Title,Corrigendum Type,View
"P.K,Verma",Internal,"Padam Sharma HDM,R.S. Thakur, Supdt, Deepak SharmaSr. DAO",Bhupender Singh,20-Oct-2022 11:14 AM,finsummary_98835.pdf (350.85 KB),10-Jan-2023,"INR 4,889,952",30.0,Bhupender Singh,07-Jul-2023 12:24 PM,AOCJagdish.pdf (456.00 KB),AOC,PWD,2022_PWD_65662_1,SD-III-(T)19300-15dt.27-9-2022,"Construction of (balance work Multi-story parking and office accommodation) (Armsdale building Phase-III) at H.P. Secretariat, Shimla. (SH- Providing and fixing sensor taps, hand rail, kota stone in stairs etc.",P.K. verma E.E.,Internal,"Padam Sharma HDM, R.S. Thakur Supdt Deepak Sharma Sr. DAO",Parveen Kumar Verma,12-Oct-2022 03:39 PM,12-Oct-2022 04:00 PM,techsummary_98835.pdf (465.41 KB),Technical,Bid Opening Summary,Parveen Kumar Verma,12-Oct-2022 03:37 PM,technical_98835.pdf,1.0,305542.0,FURKAN AHEMED,03-Oct-2022 08:25 AM,Rejected-Finance,L3,20-Oct-2022,Finance,Bid Opening Summary,Bhupender Singh,12-Oct-2022 04:14 PM,,BOQ Comparative Chart,1.0,304959.0,Jagdish Verma,INR,"4,889,952",28-Sep-2022 02:00 PM,06-Oct-2022 11:00 AM,28-Sep-2022 02:00 PM,04-Oct-2022 06:00 PM,NA ,NA ,28-Sep-2022 02:00 PM,04-Oct-2022 06:00 PM,12-Oct-2022 04:00 PM,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",1.0,ICICI BANK,"96,600",No,fixed,,Nil,Nil,PWD,SD-III-(T)19300-15dt.27-9-2022,2022_PWD_65662_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender document as per schedule F (6.3) Earnest Money as per schedule F (6.5) on line mode o,"2,000",Nil,Nil,No,"Construction of (balance work Multi-story parking and office accommodation) (Armsdale building Phase-III) at H.P. Secretariat, Shimla. (SH- Providing and fixing sensor taps, hand rail, kota stone in stairs etc.","Construction of (balance work Multi-story parking and office accommodation) (Armsdale building Phase-III) at H.P. Secretariat, Shimla. (SH- Providing and fixing sensor taps, hand rail, kota stone in stairs etc.",As per SBD ,NA ,"48,28,578",Civil Works - Buildings,NA ,Tender,75.0,30.0,Chotta Shimlaa,171002.0,NA ,NA ,NA ,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",No ,No,1.0,Corrigendum-1,Other,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,304959.0,Jagdish Verma,01-Oct-2022 10:30 PM,Accepted-AOC,L1,07-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration as per general Rule 23 and as per invitation of bid.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,305109.0,Mohmad Kamran,03-Oct-2022 08:16 AM,Rejected-Finance,L2,20-Oct-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration as per General Rule No 21. Copy of GST No./ Copy of Tin No. and Copy of PAN Card.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under Employees Provident Funds and Miscellaneous Provision Act. 1952.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HP.PWD Form No-8 with full address and Mobile No.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Gazetted and non-Gazetted HPPWD employees related to him (General Rule No 16).,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit of no relative working in PWD, Information furnished in the bid is correct in all respect.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Machinery Tools plant and ownership as per sr. No. 6.19 of schedule F Clause 18.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contact number and Address,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,
