Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Cost of tender- indicated in schedule E at Sr. No. (ii),03-Sep-2022 04:30 PM,09-Sep-2022 11:00 AM,03-Sep-2022 05:00 PM,09-Sep-2022 10:30 AM,NA ,NA ,03-Sep-2022 05:00 PM,09-Sep-2022 10:30 AM,14-Sep-2022 10:30 AM,"5,000",Nil,Nil,No,"13,51,850",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,Construction of alternate road to Gujjar Colony Naurangabad due to acquisition of land for IIM Sirmour km. 0/0 to 2/210 ( Actually Km. 0/0 to 2/230 ) alongwith 63.00 metres RCC box cell bridge,"( SH- Construction of embankment with approved materials, construction of retaining walls in wire crates,providing cross drainage works, U-Shape road side drain, Bituminous concrete, essential parapets and P/L white strips and63.00 metres R.C.C.",Please refer tender document ,NA ,"6,75,91,691",Civil Works - Roads,NA ,Tender,75.0,365.0,Paonta Sahib,173025.0,NA ,NA ,NA ,Paonta Sahib,No ,No,Executive Engineer,Executive Engineer HPPWD Division Paonta Sahib District Sirmour (HP),PWD,Tender/2022-23-3220-70 dated 20.06.2022,2022_PWD_64457_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC,1.0,299657.0,H. C. Bansal Engg. & Contt.,09-Sep-2022 08:24 AM,Rejected-Finance,Second in toss,11-Oct-2022 11:19 AM,Technical,Bid Opening Summary,Kishan Lal Chaudhary,13-Sep-2022 04:59 PM,technical_97012.pdf,Finance,Fin Opening Summary,Kishan Lal Chaudhary,11-Oct-2022 11:05 AM,finance_97012.pdf,BOQ Comparative Chart,1.0,299779.0,S.S. Associates,INR,"47,314,183.7",PWD,2022_PWD_64457_1,Tender/2022-23-3220-70 dated 20.06.2022,Construction of alternate road to Gujjar Colony Naurangabad due to acquisition of land for IIM Sirmour km. 0/0 to 2/210 ( Actually Km. 0/0 to 2/230 ) alongwith 63.00 metres RCC box cell bridge,Er. K. L. Chaudhary,Internal,"Sh. Vishal Upadhyay DAO, Sh. B.S. Rawat Supdt. Gr.II, Smt. Usha Aggarwal HDM",Kishan Lal Chaudhary,13-Sep-2022 05:00 PM,14-Sep-2022 10:30 AM,techsummary_97012.pdf (896.79 KB),Er. K.L. Chaudhary,Internal,"Sh. Vishal Upadhyay DAO, Sh. B.S. Rawat Supdt. Gr.II, Smt. Usha Aggarwal HDM",Kishan Lal Chaudhary,11-Oct-2022 11:19 AM,finsummary_97012.pdf (282.70 KB),13-Jan-2023,"INR 67,591,691",365.0,Kishan Lal Chaudhary,13-Jan-2023 04:18 PM,aoc.pdf (1685.00 KB),AOC,AOC
,,.pdf,Earnest money-indicated in schedule f at sr. No. (I),,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,299395.0,Rashid Ali Civil Contractor,09-Sep-2022 07:22 AM,Rejected-Finance,L3,11-Oct-2022 11:19 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Contractor registration- refer general rule sr. No 24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,299779.0,S.S. Associates,08-Sep-2022 04:43 PM,Accepted-AOC,Work Awarded,13-Jan-2023 04:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Copy of GST Registration(Refer General Rule No.24.4)and Permanent account number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4.0,299716.0,SUMESH KUMAR,09-Sep-2022 09:20 AM,Rejected-Finance,L2,11-Oct-2022 11:19 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,List of incomplete works in hand general rule sr. No 24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Bidding Capacity/C.A. annual report.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,"Machinery as per schedule F Sr.No.24.6Ref.Cl- No.18 ( i.e. R.C,purchase bills,ownership/Affidavit et",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Scanned copy of EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Form No. HPPWD-7/8 duly signed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,List of both gazetted and non gazetted officer hppwd employees related to him(General Rule Sr.No.14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Scanned copy of 40 percent work done certificate for similar nature of work (Read rule 26.2.b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
