Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Construction of Medical Device Park (MDP) at Nalagarh Distt. Solan (HP) (SH- Providing 62.5 KVA DG Set).,Providing 62.5 KVA DG Set).,Please refer Tender documents. ,NA ,"11,01,423",Electrical Works,NA ,Tender,120.0,60.0,MDP Nalagarh,174101.0,NA ,NA ,NA ,HPSIDC Shimla,No ,No,27-Aug-2022 11:00 AM,05-Sep-2022 11:00 AM,27-Aug-2022 11:00 AM,03-Sep-2022 05:00 PM,NA ,NA ,27-Aug-2022 11:00 AM,03-Sep-2022 05:00 PM,09-Sep-2022 01:00 PM,1.0,Fee/PreQual/Technical,.pdf,Appropriate Electrical Contractor registration (as per tender condition),HP SIDC Limited,Job No. 1,2022_SIDC_64049_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"1,300",Nil,Nil,No,1.0,ICICI BANK,"22,000",No,fixed,,Nil,Nil,Executive Engineer,HPSIDC Shimla,AOC,04-Oct-2022,"INR 984,900",60.0,Sushant Singh Negi,09-Jan-2023 04:14 PM,aruneimdp.pdf (983.00 KB),Award letter,1.0,298854.0,ARUN KUMAR SHARMA,INR,"984,900",SE,Internal,"DM, Manager(F), AE(Elect), AE(HQ)",BHUP SINGH,14-Sep-2022 12:45 PM,finsummary_96493.pdf (29.69 KB),HP SIDC Limited,2022_SIDC_64049_1,Job No. 1,Construction of Medical Device Park (MDP) at Nalagarh Distt. Solan (HP) (SH- Providing 62.5 KVA DG Set).,Finance,Financial summary,BHUP SINGH,14-Sep-2022 12:43 PM,finance_96493.pdf,BOQ Comparative Chart,SE,Internal,"DM, Manager(F), AE(Elect), AE(HQ)",Sushant Singh Negi,09-Sep-2022 12:12 PM,09-Sep-2022 01:00 PM,techsummary_96493.pdf (507.72 KB),Technical,Financial summary,Sushant Singh Negi,09-Sep-2022 12:10 PM,technical_96493.pdf,1.0,298854.0,ARUN KUMAR SHARMA,03-Sep-2022 11:02 AM,Accepted-AOC,AOC,09-Jan-2023 04:15 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Signed copy of agreement form and approved make for materials,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,298335.0,Kalra Hardware and Electric Store,31-Aug-2022 02:50 PM,Rejected-Finance,Second lowest bidder,14-Sep-2022 12:45 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,299100.0,Kumar Enterprises,03-Sep-2022 03:04 PM,Rejected-Finance,Third lowest bidder,14-Sep-2022 12:45 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that you have not more than 2 works in hand each of Rs.100 lakh or above in any department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of successfully completed work done certificate (as per tender conditions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
