S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
1.0,170718.0,Omega Elevators,INR,"6,751,134",Ropeway and Rapid Transport System Development Corporation,2020_RTDCH_38616_1,RTDC/SHIMLA SMART CITY/2019/1441-46 DT 29.2.2020,"Designing, Manufacturing / Procurement, Installation, Testing and Commissioning of Lift at Metropol parking building","Chief General Manager, RTDC",Internal,"General Manager, RTDC and Manager (Civil), RTDC",Gita Ram,14-Mar-2022 01:47 PM,finsummary_57039.pdf (933.92 KB),14-Mar-2022,"INR 6,751,134",120.0,Gita Ram,23-Jan-2023 04:57 PM,AwardMetropole.pdf (2282.00 KB),Lowest bidder,Finance,financial bids of all qualified bidders has been opened,Gita Ram,22-Sep-2020 04:06 PM,finance_57039.pdf,BOQ Comparative Chart,Technical,Bid Opening Summary,Rohit Thakur,13-Aug-2020 12:43 PM,technical_57039.pdf,Er Ajay Sharma,Internal,"General Manager, Manager",Gita Ram,04-Sep-2020 03:25 PM,04-Sep-2020 03:45 PM,techsummary_57039.pdf (1512.09 KB),1.0,169836.0,DISHA ELECTRONICS,11-Aug-2020 10:19 AM,Rejected-AOC,Rejected bidder,23-Jan-2023 04:58 PM,AOC,Ropeway and Rapid Transport System Development Corporation,RTDC/SHIMLA SMART CITY/2019/1441-46 DT 29.2.2020,2020_RTDCH_38616_1,Yes,Open Tender,Lump-sum,Works,3.0,No,No,Offline,No,No,No,1.0,Fee,.pdf,TENDER FEE,06-Jul-2020 05:00 PM,11-Aug-2020 03:00 PM,06-Jul-2020 05:00 PM,11-Aug-2020 12:00 PM,NA ,NA ,06-Jul-2020 05:00 PM,11-Aug-2020 12:00 PM,04-Sep-2020 03:45 PM,"11,800",GM RTDC,Shimla,No,1.0,DD - Demand Draft,Cheif General Manager,RTDC us Club Shimla,"1,72,000",No,fixed,,GM RTDC,Shimla,"Designing, Manufacturing / Procurement, Installation, Testing and Commissioning of Lift at Metropol parking building",Please Refer Tender Document,Please refer Tender documents. ,NA ,"86,00,000",Civil Works,NA ,Tender,120.0,120.0,SHIMLA,171001.0,NA ,NA ,NA ,US CLIUB SHIMLA,No ,No,1.0,Extension of bid due date,Date,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,172169.0,D.S Ranta Electrical Contractor,11-Aug-2020 10:47 AM,Rejected-AOC,Rejected bidder,23-Jan-2023 04:58 PM,AOC,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY,,,,,,,,,,,,,,2.0,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,170718.0,Omega Elevators,30-Jul-2020 12:13 PM,Accepted-AOC,Lowest bidder,23-Jan-2023 04:58 PM,AOC,,,,,,,,,,,,,,,,,.pdf,"GST registration number, EPF registration, PAN No",,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,171191.0,SKY INTERNATIONAL,11-Aug-2020 09:18 AM,Rejected-AOC,Rejected bidder,23-Jan-2023 04:58 PM,AOC,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,Eligibility Criteria for Bidder Documents as per RFP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Letter of Acceptance of tender condition unconditional as per format enclosed in RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Certificate of Financial Turnover duly certified by CA as indicated above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,All pages of the entire Corrigendum (if any) duly signed by the authorized person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Any other documents as asked in RFP document.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Affidavit as per Appendix-O of RFP document Acceptance letter and Affidavit forBlacklisting/ Debar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,"Should submit the list of tools, plant and machinery AND MANPOWER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
