Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
Er. M.L.Sharma,Internal,Sh Dharam Singh HDM Sh Deepak Waila Supdt Gr-II. Sh Vikas Sharma Sr.DAO,Manohar Lal Sharma,13-Jun-2022 01:25 PM,finsummary_91116.pdf (692.04 KB),10-Oct-2022,"INR 8,559,826",365.0,Manohar Lal Sharma,21-Jan-2023 10:31 AM,AOC1.pdf (2787.00 KB),AOC,PWD,2022_PWD_60284_1,1295-1305 dated 30.04.2022,C O of Type IIIQtrs 2Nos for staff of Police Station at Dharampur Tehsil KasauliDisttSolan,Er M.L.Sharma,Internal,Sh Dharam Singh HDM Sh Deepak Waila Supdt Gr-II. Sh Vikas Sharma Sr.DAO,Manohar Lal Sharma,07-Jun-2022 11:28 AM,07-Jun-2022 11:30 AM,techsummary_91116.pdf (1269.66 KB),Technical,technical summary,Manohar Lal Sharma,07-Jun-2022 11:25 AM,technical_91116.pdf,1.0,282336.0,Vicky Kumar,17-May-2022 02:51 PM,Accepted-AOC,work in progress,21-Jan-2023 10:31 AM,1.0,282336.0,Vicky Kumar,INR,"8,394,250",Finance,financial summary,Manohar Lal Sharma,13-Jun-2022 01:19 PM,finance_91116.pdf,BOQ Comparative Chart,AOC,Executive Engineer Kasauli,Executive Engineer Division HPPWD Kasauli,"1,19,000",No,fixed,,Nil,Nil,1.0,ICICI BANK,04-May-2022 01:00 PM,18-May-2022 11:00 AM,04-May-2022 01:00 PM,17-May-2022 04:00 PM,NA ,NA ,04-May-2022 01:10 PM,17-May-2022 04:00 PM,07-Jun-2022 11:30 AM,1,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,PWD,1295-1305 dated 30.04.2022,2022_PWD_60284_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"2,000",Nil,Nil,No,C O of Type IIIQtrs 2Nos for staff of Police Station at Dharampur Tehsil KasauliDisttSolan,C O of Type IIIQtrs 2Nos for staff of Police Station at Dharampur Tehsil KasauliDisttSolan SH C O of building portion WS and SI site development septic Tank and Rain water harvesting tank etc IIIrd Call,As per tender document ,NA ,"85,59,826",Civil Works,NA ,Tender,90.0,NA ,Kasauli,173204.0,NA ,NA ,NA ,Kasauli,No ,No,1.0,Fee/PreQual/Technical,.pdf,IFB,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,2,Certificate Details ,Registration Certificate ,Registration Certificate Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SBD,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,3,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,4,Certificate Details ,Income Tax Certificate ,Income Tax Certificate Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,5,Certificate Details ,Labour License ,Labour License ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,6,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,7,Certificate Details ,Affidavit regarding No Near Relative working in department ,Affidavit regarding No Near Relative working in department ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,8,Financial Details ,Annual Turn over certificates from CA ,Annual Turn over certificates from CA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,9,Financial Details ,Undertaking affidavit of bidder to invest minimum cash ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,10,Financial Details ,Payment Certificates ,"Certificates pertaining to only eligible year for bidcapacity, no tds certificates acceptable, those for which turnover uploaded for Civil Works only ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
