Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
commissioner,Internal,"JC,AE,JE",Kalyan Bhatt,26-Aug-2022 12:36 PM,26-Aug-2022 02:30 PM,techsummary_94914.pdf (443.81 KB),1.0,296012.0,M/s OM PARKASH,17-Aug-2022 12:08 AM,Rejected-Finance,Being L2,02-Jan-2023 03:56 PM,Finance,Finical Bid opening summary,Kalyan Bhatt,24-Sep-2022 03:12 PM,finance_94914.pdf,BOQ Comparative Chart,Technical,bid opening summary,Kalyan Bhatt,25-Aug-2022 03:56 PM,technical_94914.pdf,02-Jan-2023,"INR 616,090",90.0,Kalyan Bhatt,02-Jan-2023 03:58 PM,CCF_000183.pdf (862.00 KB),Work Awarded,1.0,296032.0,Sunita Thakur,INR,"616,090",Directorate of Urban Development||Urban Development - UDDHP||Municipal Corporation Palampur,2022_UDDHP_62938_1,1MC-Palam(1)2022-29,C/O CC Road from Pipal Thala to Baramchari temple at Rodi in W.No. 08. Palampur,Commissioner,Internal,"Jt. Commissioner, Assistant Engineer, Junior Engineer",Kalyan Bhatt,02-Jan-2023 03:56 PM,finsummary_94914.pdf (607.53 KB),AOC,Directorate of Urban Development||Urban Development - UDDHP||Municipal Corporation Palampur,1MC-Palam(1)2022-29,2022_UDDHP_62938_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,25-Jul-2022 05:00 PM,17-Aug-2022 03:00 PM,25-Jul-2022 05:00 PM,17-Aug-2022 10:30 AM,NA ,NA ,25-Jul-2022 05:00 PM,17-Aug-2022 10:30 AM,26-Aug-2022 02:30 PM,"16,000",No,fixed,,Commissioner,MC Palampur,C/O CC Road from Pipal Thala to Baramchari temple at Rodi in W.No. 08. Palampur,C/O CC Road from Pipal Thala to Baramchari temple at Rodi in W.No. 08. Palampur,Please refer Tender documents. ,NA ,"7,73,890",Civil Works,NA ,Tender,90.0,90.0,Palampur,176061.0,NA ,NA ,NA ,MC Palampur,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,500.0,Commissioner,MC Palampur,Yes,Commissioner,Commissioner MC Palampur,AOC
,,,,,,,2.0,295959.0,SANJAY KUMAR JASWAL GOVT.CONTRACTOR,16-Aug-2022 06:33 PM,Rejected-Finance,Being L3,02-Jan-2023 03:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule F,,,,,,,AOC
,,,,,,,3.0,296032.0,Sunita Thakur,17-Aug-2022 09:09 AM,Accepted-AOC,Being L1,02-Jan-2023 03:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19 c,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted M C Employees related to him General Rule No. 16,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other important documents as specified by the State in proforma of Schedule,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,,,,,AOC
