Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
350.0,Nil,Nil,No,1.0,ICICI BANK,C/O link road Markand Kathpur Jinanu manjhot road.,Metaling and tarring.,Please refer Tender documents. ,NA ,"9,03,229",Civil Works - Roads,Metaling and tarring. ,Tender,120.0,90.0,Bilaspur,174001.0,NA ,NA ,NA ,"Division No.1, HPPWD Bilaspur.",No ,No,1.0,Fee/PreQual/Technical,.pdf,Tender form cost and EMD indicated in schedule E.,08-Feb-2022 06:40 PM,14-Feb-2022 11:00 AM,08-Feb-2022 06:40 PM,14-Feb-2022 10:30 AM,NA ,NA ,08-Feb-2022 06:40 PM,14-Feb-2022 10:30 AM,18-Feb-2022 09:00 AM,"18,100",No,fixed,,Nil,Nil,PWD,PW-BLP1-CBeproc/21-14181-14220 dt 18.1.22,2022_PWD_56546_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,"Division No.1, HPPWD Bilaspur.",AOC,Executive Engineer,Internal,HDM DAO SUPDT,Rajinder Singh,17-Feb-2022 07:37 PM,18-Feb-2022 09:00 AM,techsummary_85155.pdf (582.88 KB),PWD,2022_PWD_56546_2,PW-BLP1-CBeproc/21-14181-14220 dt 18.1.22,C/O link road Markand Kathpur Jinanu manjhot road.,21-Jan-2023,"INR 903,229",90.0,Rajinder Singh,21-Jan-2023 12:11 PM,Markand.pdf (690.00 KB),Award letter dated 18.05.2022,Executive Engineer,Internal,HDM DAO SUPDT,Rajinder Singh,02-Mar-2022 06:15 PM,finsummary_85155.pdf (201.42 KB),1,263090,Ajay Thakur,12-Feb-2022 07:06 PM,Rejected-Finance,Due to L3,02-Mar-2022 06:15 PM,Technical,Technical bid opening summary,Rajinder Singh,17-Feb-2022 07:32 PM,technical_85155.pdf,Finance,Financial bid opening summary,Rajinder Singh,02-Mar-2022 06:07 PM,finance_85155.pdf,BOQ Comparative Chart,1.0,263250.0,Hiteshwar Singh,INR,"1,309,026",AOC
,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,263260,Budhi Singh,13-Feb-2022 07:24 PM,Rejected-Finance,Due to L7,02-Mar-2022 06:15 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST EPF and PAN Number.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,263250,Hiteshwar Singh,13-Feb-2022 06:57 PM,Accepted-AOC,Due to L1,21-Jan-2023 12:11 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate and work in hand certificate duly signed by the concerned EE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,262627,Jagdish Kumar,10-Feb-2022 04:14 PM,Rejected-Finance,Due to L6,02-Mar-2022 06:15 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of correctness.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5,263107,LAKHANPAL SHARMA,14-Feb-2022 12:28 AM,Rejected-Finance,Due to L13,02-Mar-2022 06:15 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit of machinery, tools and plants.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6,263246,Lalit Kumar,13-Feb-2022 06:49 PM,Rejected-Finance,Due to L2,02-Mar-2022 06:15 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 of SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,7,263126,Manoj Kumar,12-Feb-2022 03:24 PM,Rejected-Finance,Due to L10,02-Mar-2022 06:15 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,8,263179,Pradeep Kumar,12-Feb-2022 06:24 PM,Rejected-Finance,Due to L8,02-Mar-2022 06:15 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,9,263185,RAJENDER SINGH,12-Feb-2022 06:41 PM,Rejected-Finance,Due to L4,02-Mar-2022 06:15 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,10,263180,Rakesh Kumar,12-Feb-2022 06:30 PM,Rejected-Finance,Due to L9,02-Mar-2022 06:15 PM,,,,,,,,,,,,,,,,,AOC
