Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
D K Baruah,Internal,,Milan Kalita,11-Nov-2022 03:57 PM,finsummary_39977.pdf (7709.23 KB),06-Dec-2022,INR 1.0,365.0,Munmun Das,11-Jan-2023 02:48 PM,Empanelment_Order_CharteredAccountant_RFP_02_2022_23.pdf (1061.00 KB),Notice of Empanelment,Public Health Engineering Department||Chief Engineer PHE(P)-Assam-PHED||Lower Assam Zone-Guwahati-PHED||Guwahati Circle-Guwahati-PHED,2022_PHED_25901_1,JJMA_08_PROC_2022_11168_74,Empanelment of CA Firms for monthly Concurrent Audit for JJM Assam,Finance,Financial Opening Summary,Milan Kalita,11-Nov-2022 03:51 PM,finance_39977.pdf,BOQ Comparative Chart,1.0,151393.0,RAO AND EMMAR,INR,8150.0,D K Baruah,Internal,,Milan Kalita,01-Oct-2022 03:23 PM,11-Oct-2022 12:00 PM,techsummary_39977.pdf (694.53 KB),1,152654,Asija and Associates LLP,06-Jul-2022 03:55 PM,Rejected-Technical,Technically Non Responsive,01-Oct-2022 03:23 PM,Technical,Technical Opening Summary,Milan Kalita,09-Aug-2022 10:46 AM,technical_39977.pdf,AOC,CE PHE Water Assam,"Hengrabari, Guwahati-36",1.0,Fee/PreQual/Technical,.pdf,Technical Qualification Documents as per Bid Document and Bid Security if in the form of BG,"2,000",Nil,Nil,No,09-Jun-2022 10:00 AM,07-Jul-2022 03:00 PM,09-Jun-2022 10:00 AM,06-Jul-2022 04:00 PM,NA ,NA ,09-Jun-2022 11:00 AM,06-Jul-2022 04:00 PM,11-Oct-2022 12:00 PM,1.0,Corrigendum No. 1,Technical Bid,,1.0,SBI Bank,"1,00,000",Yes,fixed,,Nil,Nil,Empanelment of CA Firms for monthly Concurrent Audit for JJM Assam,Empanelment of Chartered Accountant Firms for carrying out monthly Concurrent Audit for Jal Jeevan Mission Assam,Please refer Tender documents. ,NA ,0.0,Miscellaneous Services,NA ,Empanelment,90.0,365.0,All Assam,781036.0,NA ,NA ,NA ,O O CE PHE Water Assam,No ,No,Public Health Engineering Department||Chief Engineer PHE(P)-Assam-PHED||Lower Assam Zone-Guwahati-PHED||Guwahati Circle-Guwahati-PHED,JJMA_08_PROC_2022_11168_74,2022_PHED_25901_1,Yes,Open Tender,Empanelment,Services,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,2.0,152568.0,Komandoor and Co LLP,INR,8150.0,,,,,,,,2,152570,Keshri and Associates,06-Jul-2022 01:14 PM,Accepted-AOC,Empanelled,11-Jan-2023 02:53 PM,,,,,,AOC,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,3.0,152570.0,Keshri and Associates,INR,8150.0,,,,,,,,3,152568,Komandoor and Co LLP,06-Jul-2022 12:54 PM,Accepted-AOC,Empanelled,11-Jan-2023 02:53 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,152895,RAMA K GUPTA & CO,06-Jul-2022 03:30 PM,Rejected-Technical,Technically Non Responsive,01-Oct-2022 03:23 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,152814,Ramen Chandra Dev Sarma,06-Jul-2022 12:10 PM,Rejected-Technical,Technically Non Responsive,01-Oct-2022 03:23 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,151393,RAO AND EMMAR,06-Jul-2022 01:36 PM,Accepted-AOC,Empanelled,11-Jan-2023 02:53 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,150791,R. N. GOYAL AND CO.,06-Jul-2022 12:18 PM,Rejected-AOC,Not Empanelled,11-Jan-2023 02:53 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,150801,RSM AND ASSOCIATES,05-Jul-2022 02:21 PM,Rejected-Technical,Technically Non Responsive,01-Oct-2022 03:23 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,152672,SPRKCO,06-Jul-2022 02:06 PM,Rejected-Technical,Technically Non Responsive,01-Oct-2022 03:23 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,151900,V V BHALLA & CO.,02-Jul-2022 05:58 PM,Rejected-AOC,Not Empanelled,11-Jan-2023 02:53 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
