Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Er Rohit Thakur,Internal,Munish Sahni DGM Gita Ram Manager,Gita Ram,28-Oct-2020 01:11 PM,28-Oct-2020 03:00 PM,techsummary_57054.pdf (1406.86 KB),1.0,172283.0,CHOPRA ELECTRIC WORKS,17-Aug-2020 03:57 PM,Rejected-AOC,Rejected due to quote highest amount,24-Jan-2023 11:42 AM,15-Mar-2022,"INR 37,819,920",270.0,Gita Ram,24-Jan-2023 11:41 AM,LOAauckland.pdf (2177.00 KB),Lowest amount quoted by the bidder,Finance,Bid opening summary,Rohit Thakur,28-Oct-2020 04:00 PM,finance_57054.pdf,BOQ Comparative Chart,Technical,Bid Opening Summary,Munish Sahni,18-Aug-2020 04:20 PM,technical_57054.pdf,1.0,171188.0,SKY INTERNATIONAL,INR,"37,819,920",Ropeway and Rapid Transport System Development Corporation,2020_RTDCH_38623_1,RTDC/SHIMLA SMART CITY/ 2019 -1686-92 DT 23.4.20,"Engineering, Manufacturing / Procurement, Installation, Testing and Commissioning of Lift from Auckland area to Police Chowki Lakkar Bazar in Shimla","General Manager, RTDC",Internal,"DGM, RTDC and Manager (Civil), RTDC",Gita Ram,15-Mar-2022 02:46 PM,finsummary_57054.pdf (745.30 KB),AOC,Cheif General Manger,RTDC US Club Shimla,"11,800",GM RTDC,Shimla,No,06-Jul-2020 05:00 PM,18-Aug-2020 03:00 PM,06-Jul-2020 05:00 PM,18-Aug-2020 12:00 PM,NA ,NA ,06-Jul-2020 05:00 PM,18-Aug-2020 12:00 PM,28-Oct-2020 03:00 PM,1.0,Fee,.pdf,TENDER FEE,1.0,DD - Demand Draft,"Engineering, Manufacturing / Procurement, Installation, Testing and Commissioning of Lift from Auckland area to Police Chowki Lakkar Bazar in Shimla",Please Refer tender document,Please refer Tender documents. ,NA ,"4,30,00,000",Civil Works,NA ,Tender,120.0,270.0,Shimla,171001.0,NA ,NA ,NA ,US Club Shimla,No ,No,1.0,Extension of bid due date,Date,,"8,60,000",Yes,fixed,,GM RTDC,Shimla,Ropeway and Rapid Transport System Development Corporation,RTDC/SHIMLA SMART CITY/ 2019 -1686-92 DT 23.4.20,2020_RTDCH_38623_1,Yes,Open Tender,Lump-sum,Works,3.0,No,No,Offline,No,No,No,AOC
,,,,,,,2.0,171188.0,SKY INTERNATIONAL,11-Aug-2020 11:32 AM,Accepted-AOC,Bidder quoted lowest amount hence awarded,24-Jan-2023 11:42 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY,2.0,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,"GST registration number, EPF registration, PAN No",3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,Eligibility Criteria for Bidder Documents as per this RFP.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Letter of Acceptance of tender condition unconditional as per format enclosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Certificate of Financial Turnover duly certified by CA as indicated above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,All pages of the entire Corrigendum (if any) duly signed by the authorized person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,"Should submit the list of tools, plant and machinery AND MANPOWER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Any other documents as asked in RFP document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Affidavit as per Appendix-O of RFP document Acceptance letter and Affidavit forBlacklisting/ Debar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
