S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No.3,Bank Name
1.0,298494.0,Pawan Thakur Govt. Contractor,INR,"11,757,357",Finance,Finance bid summary,Deepak Mahajan,17-Jan-2023 12:21 PM,finance_96399.pdf,BOQ Comparative Chart,Technical,Bid Opening Summary,Deepak Mahajan,06-Oct-2022 11:54 AM,technical_96399.pdf,1.0,Revocation of tender,Corrigendum,06-Oct-2022 11:30 AM,Order.pdf ,389.07,Technical Opening,1.0,299047.0,Kartik Thakur,03-Sep-2022 09:57 AM,Rejected-Finance,Other Than Lowest,17-Jan-2023,Executive Engineer,Internal,Senior Assistant Superintendent HDM AE,Deepak Mahajan,17-Jan-2023 12:27 PM,finsummary_96399.pdf (18.28 KB),31-Jan-2023,"INR 12,668,991",180.0,Kumud Kumar Upadhyay,29-Mar-2024 02:48 PM,AL.pdf (1084.00 KB),Award letter,PWD,2022_PWD_63979_1,EE Salooni letter No. 7124-7173 dated 08-08-2022,"Improvement, Mettalling and Tarring and Cross Drainage of Sundla to Salooni road on existing grade km 5/600 to 8/870 in Tehsil Salooni District Chamba H.P.",Executive Engineer,Internal,Senior Assistant Superintendent HDM AE,Deepak Mahajan,06-Oct-2022 11:57 AM,10-Oct-2022 03:30 PM,techsummary_96399.pdf (966.03 KB),1.0,Fee/PreQual/Technical,.pdf,Cost of tender from only online mode through E-payment,"5,000",Nil,Nil,No,"2,53,500",No,fixed,,Nil,Nil,24-Aug-2022 10:00 AM,03-Sep-2022 11:30 AM,24-Aug-2022 10:00 AM,03-Sep-2022 11:00 AM,NA ,NA ,24-Aug-2022 10:00 AM,03-Sep-2022 11:00 AM,10-Oct-2022 03:30 PM,PWD,EE Salooni letter No. 7124-7173 dated 08-08-2022,2022_PWD_63979_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"Improvement, Mettalling and Tarring and Cross Drainage of Sundla to Salooni road on existing grade km 5/600 to 8/870 in Tehsil Salooni District Chamba H.P.","Improvement of Deficiency, Construction of 900 mm dia hume pipe culverts along with wing walls and Metalling and Tarring in km 5/665 to 8/800",Please refer Tender documents. ,NA ,"1,26,68,991",Civil Works,NA ,Tender,75.0,180.0,Salooni,176320.0,NA ,NA ,NA ,Executive Engineer Salooni Division HPPWD Salooni,No ,No,Executive Engineer,Executive Engineer Salooni Division HPPWD Salooni,1.0,ICICI BANK
,,,,,,,,,,,,,,,,,,,,,,,2.0,298494.0,Pawan Thakur Govt. Contractor,02-Sep-2022 06:29 PM,Accepted-AOC,Work in progress,29-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money from only online mode through E-payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS
,,,,,,,,,,,,,,,,,,,,,,,3.0,298314.0,Vinod Thakur,02-Sep-2022 09:06 AM,Rejected-Technical,Due to bid capacity,06-Oct-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No. 24.3 and as per invitation of bid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GSTR-3B of last preceding month or quarter as the case may be attached,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form No. 8, duly signed by the contractor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/Undertaking that information furnished with the bid (Name of works is correct),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit/Undertaking regarding not having two works in hand at the time of bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of technical Staff/Machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in Hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
