Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
09-Feb-2022 10:00 AM,03-Mar-2022 03:00 PM,09-Feb-2022 10:00 AM,02-Mar-2022 04:00 PM,09-Feb-2022 10:00 AM ,18-Feb-2022 04:00 PM ,09-Feb-2022 10:00 AM,02-Mar-2022 04:00 PM,02-May-2022 03:00 PM,1.0,SBI Bank,"2,00,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Technical Qualification Documents as per Bid Document and Bid Security if in the form of BG,"2,000",Nil,Nil,No,CE PHE Water Assam,"Hengrabari, Guwahati-36",Empanelment of Outreach Activity and Event Management Agencies under JJM Assam,Empanelment of Outreach Activity and Event Management Agencies under Jal Jeevan Mission Assam,Please refer Tender documents. ,NA ,0.0,Miscellaneous Services,NA ,Empanelment,90.0,365.0,All Assam,781036.0,NA ,NA ,NA ,O O CE PHE Water Assam,No ,No,Public Health Engineering Department||Chief Engineer PHE(P)-Assam-PHED||Lower Assam Zone-Guwahati-PHED||Guwahati Circle-Guwahati-PHED,JJMA_03_PROC_2021_26781_86,2022_PHED_24262_1,Yes,Open Tender,Empanelment,Services,2.0,No,No,Online,No,No,No,AOC,Public Health Engineering Department||Chief Engineer PHE(P)-Assam-PHED||Lower Assam Zone-Guwahati-PHED||Guwahati Circle-Guwahati-PHED,2022_PHED_24262_1,JJMA_03_PROC_2021_26781_86,Empanelment of Outreach Activity and Event Management Agencies under JJM Assam,1.0,133663.0,BHAWANI MARKETING PVT.LTD,INR,1.0,Finance,Financial Opening Summary,Milan Kalita,17-Jun-2022 05:18 PM,finance_37275.pdf,BOQ Comparative Chart,D K Baruah,Internal,,Munmun Das,13-Jan-2023 04:57 PM,finsummary_37275.pdf (11116.72 KB),1,133646,APS Advertising Private Limited,02-Mar-2022 11:46 AM,Rejected-AOC,Not Empanelled,13-Jan-2023 05:22 PM,13-Jan-2023,INR 1.0,365.0,Munmun Das,13-Jan-2023 05:20 PM,RFP_34_2021_22_Empanelment_Outreach_and_Event.pdf (3815.00 KB),Notice of Empanelment. AOC awarded on 03.08.2022 but uploaded on 13.01.2023,B Das,Internal,,Milan Kalita,28-Apr-2022 03:40 PM,02-May-2022 03:00 PM,techsummary_37275.pdf (551.73 KB),Technical,Technical Opening Summary,Milan Kalita,28-Apr-2022 03:35 PM,,AOC
,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2.0,133776.0,Prodigy Communications And Marketing Pvt. Ltd.,INR,1.0,,,,,,,,,,,,,2,133872,A.R.T. ENTERTAINMENT & SERVICES PRIVATE LIMITED,02-Mar-2022 12:28 PM,Rejected-Technical,Technically Non Responsive,28-Apr-2022 03:40 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,3.0,133858.0,Insight Brandcom Pvt Ltd,INR,1.0,,,,,,,,,,,,,3,133663,BHAWANI MARKETING PVT.LTD,02-Mar-2022 11:14 AM,Accepted-AOC,Empanelled,13-Jan-2023 05:22 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,133674,Expression 360 Services India Pvt. Ltd.,02-Mar-2022 12:48 PM,Rejected-AOC,Not Empanelled,13-Jan-2023 05:22 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,133858,Insight Brandcom Pvt Ltd,02-Mar-2022 12:35 PM,Accepted-AOC,Empanelled,13-Jan-2023 05:22 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,133871,OUTREACH ADVERTISING PRIVATE LIMITED,02-Mar-2022 01:05 PM,Rejected-Technical,Technically Non Responsive,28-Apr-2022 03:40 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,133135,PRADIP ADVERTISING & CO.,02-Mar-2022 02:45 PM,Rejected-Technical,Technically Non Responsive,28-Apr-2022 03:40 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,133318,Priya Communication,02-Mar-2022 12:30 PM,Rejected-AOC,Not Empanelled,13-Jan-2023 05:22 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,133776,Prodigy Communications And Marketing Pvt. Ltd.,01-Mar-2022 07:19 PM,Accepted-AOC,Empanelled,13-Jan-2023 05:22 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,133501,Trend MMS,02-Mar-2022 03:15 PM,Rejected-AOC,Not Empanelled,13-Jan-2023 05:22 PM,,,,,,,,,,,,,,,,,,,,AOC
