Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
PWD,2022_PWD_65171_16,PW-RD-GA-(T)-9599-9698 Dt.31.08.2022,AR and MO Parsa Dhara Shekhal Road Km. 0.0 to 12.645,Er. Pawan,Internal,Er. C.L. Azad,Pawan Kumar Garg,21-Jan-2023 04:20 PM,finsummary_98090.pdf (462.79 KB),1.0,305089.0,KAPIL DEV,INR,"992,930",21-Jan-2023,"INR 984,703",60.0,Pawan Kumar Garg,21-Jan-2023 04:21 PM,KD.pdf (463.00 KB),AOC,1.0,305429.0,Babinder Singh,01-Oct-2022 11:43 AM,Rejected-Finance,2nd lowest,21-Jan-2023 04:20 PM,Technical,Summery,Chuni Lal Azad,11-Oct-2022 07:24 PM,technical_98090.pdf,Pawan,Internal,"Er. C.L.Azad,Naveen Raj , Sannjay Thakur",Chuni Lal Azad,11-Oct-2022 07:50 PM,12-Oct-2022 09:00 AM,techsummary_98090.pdf (183.06 KB),Finance,Summery,Pawan Kumar Garg,12-Oct-2022 10:37 AM,finance_98090.pdf,BOQ Comparative Chart,AOC,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER FORM,E E B and R Divn HPPWD ROHRUHP,E E B and R Divn HPPWD ROHRUHP,AR and MO Parsa Dhara Shekhal Road Km. 0.0 to 12.645,"SH Maintenance of drain , cutting of branches of trees shrubs , maintenance of earthen shoulder and clearing and grubbing road land including uprooting wild vegetation grass etc, Km 0.0 to 12.645",Please refer Tender documents. ,NA ,"9,84,703",Civil Works,NA ,Tender,45.0,60.0,ROHRU,171207.0,NA ,NA ,NA ,ROHRU,No ,No,500.0,Nil,Nil,No,1.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,26-Sep-2022 06:00 PM,03-Oct-2022 11:00 AM,26-Sep-2022 06:00 PM,01-Oct-2022 06:00 PM,NA ,NA ,26-Sep-2022 06:00 PM,01-Oct-2022 06:00 PM,12-Oct-2022 09:00 AM,PWD,PW-RD-GA-(T)-9599-9698 Dt.31.08.2022,2022_PWD_65171_16,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"19,700",No,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,305089.0,KAPIL DEV,01-Oct-2022 12:00 PM,Accepted-AOC,AOC,21-Jan-2023 04:22 PM,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,.pdf,EARNEST MONEY,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,CONTRACTOR REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,PAN NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,EPF NUMBER GST NUMBER AND IMCOME TAX CALEARANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,WORK DONE CERTIFICATES AS PER CLAUSE 19 OF GENERAL RULEs should be signed by the Executive Engineer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,WORK IN HAND DETAILS AS PER CLAUSE 19 OF GENERAL RULES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,MACHINARY AND TOOLS DETAILS AS GIVEN IN SCHEDULE F FOR CLAUSE 18 OF GENERAL RULE along wiht copy of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,AFFIDAVIT REGARDING GAZETTE NONGAZET CORRECTNESS OF INFORMATION SUBMITTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Form 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
