Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,fbosummary,Jitender Kumar,12-Jul-2022 05:28 PM,finance_93461.pdf,BOQ Comparative Chart,1.0,288386.0,PAWAN KUMAR,INR,"841,276.96",Technical,summary,Jitender Kumar,28-Jun-2022 12:29 PM,technical_93461.pdf,1.0,288487.0,ANIL KUMAR RANA,25-Jun-2022 07:21 PM,Rejected-Finance,L-4,12-Jul-2022 05:43 PM,26-Sep-2022,"INR 1,201,825",90.0,Jitender Kumar,12-Jan-2023 03:21 PM,AOCtikkarsarnisoling.PDF (359.00 KB),AOC No. 12466-76 dated 26.09.2022,Er. J.K. Gupta,Internal,AE Jhatingri Supdt. HDM Divn. Accountant(P),Jitender Kumar,12-Jul-2022 05:43 PM,finsummary_93461.pdf (380.36 KB),Er. J.K. Gupta,Internal,AE Jhatingri Supdt. HDM Divn. Accountant (P),Jitender Kumar,11-Jul-2022 04:08 PM,12-Jul-2022 11:00 AM,techsummary_93461.pdf (982.91 KB),PWD,2022_PWD_61931_1,PW-MDI(P)Tender-NIT- 3499-3533 dated 08.06.2022,Construction of Tikkar Sarni road,AOC,PWD,PW-MDI(P)Tender-NIT- 3499-3533 dated 08.06.2022,2022_PWD_61931_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule E),Executive Engineer Mandi Divn.No.I HPPWD at Padhar,Executive Engineer Mandi Divn.No.I HPPWD at Padhar,1.0,ICICI BANK,22-Jun-2022 10:00 AM,27-Jun-2022 11:30 AM,22-Jun-2022 10:00 AM,27-Jun-2022 10:00 AM,NA ,NA ,22-Jun-2022 10:00 AM,27-Jun-2022 10:00 AM,12-Jul-2022 11:00 AM,500.0,Nil,Nil,No,Construction of Tikkar Sarni road,Providing and laying soling WBM Grade-I in Km 1/500 to 2/500,As per bid documents ,NA ,"12,01,825",Civil Works - Roads,NA ,Tender,90.0,90.0,Tikkar,175012.0,NA ,NA ,NA ,Executive Engineer Mandi Divn.No.I HPPWD at Padhar,No ,No,"24,000",No,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,2.0,288477.0,LABH SINGH CONTRACTOR,26-Jun-2022 02:35 PM,Rejected-Finance,L-3,12-Jul-2022 05:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Earnest money (Indicated in Schedule E),,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,288545.0,LEKH RAJ,26-Jun-2022 12:59 PM,Rejected-Finance,L-2,12-Jul-2022 05:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (General Rule No.20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,288386.0,PAWAN KUMAR,24-Jun-2022 06:30 PM,Accepted-AOC,AOC,12-Jan-2023 03:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,GST Registration Document Refer HPPWD-6 16(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5.0,288538.0,RAJU RAM,26-Jun-2022 02:51 PM,Rejected-Finance,L-5,12-Jul-2022 05:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certi.(Gen.Rule No.16 and 26.2.b)Mini amount of workdone as per Sched-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Affidavit of machineries Indicated in Sch.F contractor must upload the proofof ownershipof machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,"HPPWD Form No.7/8 duly signed (General Rule and directions, Schedules A to F)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to provide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
