Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
ErSudhirGupta,Internal,ShAmarSinghVermaHDMShManojKumarSupdtShVaibhavJindalDAO,Sudhir Kumar Gupta,11-Sep-2021 01:19 PM,finsummary_73106.pdf (875.04 KB),23-Jan-2023,"INR 4,491,886",30.0,Sudhir Kumar Gupta,23-Jan-2023 04:25 PM,AOC48779_4.pdf (875.00 KB),AOC,PWD,2021_PWD_48779_4,SD-I-CTR-Tender-4016 dt 3-6-2021,C/O Link road from Mashobra to Seepur km. 0/00 to 2/735 (SH Providing and Laying G-III and Tarring in km. 0/00 to 2/735),ErSudhirGupta,Internal,ShAmarSinghVermaHDMShManojKumarSupdtShVaibhavJindalDAO,Parveen Kumar Verma,09-Jul-2021 05:12 PM,12-Jul-2021 11:00 AM,techsummary_73106.pdf (897.40 KB),Finance,Bid opening summary,Sudhir Kumar Gupta,11-Sep-2021 01:18 PM,finance_73106.pdf,BOQ Comparative Chart,1.0,220341.0,KHAJAN SINGH,INR,"4,761,555",Technical,Bid opening summary,Sudhir Kumar Gupta,02-Jul-2021 09:54 AM,technical_73106.pdf,1.0,220341.0,KHAJAN SINGH,29-Jun-2021 06:17 PM,Accepted-AOC,Awarded,23-Jan-2023 04:25 PM,AOC,1.0,ICICI BANK,Executive Engineer Division No-IHPPWD Shimla-3,Executive Engineer Division No-IHPPWD Shimla-3,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form with UTR No (as per Schedule F),21-Jun-2021 06:00 PM,01-Jul-2021 11:00 AM,21-Jun-2021 06:00 PM,30-Jun-2021 04:00 PM,NA ,NA ,21-Jun-2021 06:00 PM,30-Jun-2021 04:00 PM,12-Jul-2021 11:00 AM,"2,000",Nil,Nil,No,"96,000",No,fixed,,Nil,Nil,PWD,SD-I-CTR-Tender-4016 dt 3-6-2021,2021_PWD_48779_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,C/O Link road from Mashobra to Seepur km. 0/00 to 2/735 (SH Providing and Laying G-III and Tarring in km. 0/00 to 2/735),C/O Link road from Mashobra to Seepur km. 0/00 to 2/735 (SH Providing and Laying G-III and Tarring in km. 0/00 to 2/735),AS per SBD ,NA ,,Civil Works,NA ,Tender,75.0,30.0,Shimla,171003.0,NA ,NA ,NA ,Executive Engineer Division No-IHPPWD Shimla-3,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,220375.0,lov vij govt contractor,30-Jun-2021 03:31 PM,Rejected-Technical,No,09-Jul-2021 05:12 PM,AOC,2.0,ICICI NEFT/RTGS,,,,,.pdf,EMD with UTR No (As per schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,220495.0,Suresh Chand,30-Jun-2021 01:29 PM,Rejected-Technical,No,09-Jul-2021 05:12 PM,AOC,,,,,,,.pdf,Contractor registration (Refer General rule No.23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,GST registration (Refer General rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Work done certificate (As per Performa given in General rule No.19 counter signed by EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Work in hand certificate (As per Performa given in General rule No.19 countersigned by EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Report of charted Accountant showing total annual volume in last five years (Ref. gen. Rule No.28.2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Proof of registration under EPF and Miscellaneous provision Act. 1952 (latest copy of Return),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Form No. 7 8 (Refer General rule No 26.7). (submit the original as per schedule time and date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
