Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form,"53,250",No,fixed,,Nil,Nil,Executive Engineer,O/o EE HP PWD Division Tanda at Nagrota Bagwan,1.0,ICICI BANK,PWD,PWD-Civil-Nagrota Bagwan 12,2022_PWD_64841_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,A/R and M/O to 500 Bedded Hospital at Dr. R.P. Govt. Medical College Tanda in Tehsil Nagrota Bagwan Distt. Kangra (H.P.)(Repair of various works for the year 2022-23 w.e.f. 0 1.12.2022 to 31.05.2023. ),A/R and M/O to 500 Bedded Hospital at Dr. R.P. Govt. Medical College Tanda in Tehsil Nagrota Bagwan Distt. Kangra (H.P.)(Repair of various works for the year 2022-23 w.e.f. 0 1.12.2022 to 31.05.2023. ),Please refer Tender documents. ,NA ,"26,61,823",Civil Works,NA ,Tender,120.0,180.0,Nagrota,176047.0,NA ,NA ,NA ,O/o EE HP PWD Division Tanda at Nagrota Bagwan,No ,No,12-Sep-2022 04:00 PM,26-Sep-2022 11:30 AM,12-Sep-2022 04:00 PM,26-Sep-2022 09:00 AM,NA ,NA ,12-Sep-2022 04:00 PM,26-Sep-2022 09:00 AM,30-Sep-2022 11:00 AM,"1,500",Nil,Nil,No,AOC,Finance,sum,Ankit Kumar,01-Oct-2022 04:39 PM,None,BOQ Comparative Chart,1.0,303190.0,VIJAY KUMAR BATRA GOVT CONTRACTOR,INR,"2,614,791",1.0,303204.0,Abhishek,23-Sep-2022 06:14 PM,Rejected-Finance,Lowest 2,01-Oct-2022 04:41 PM,Technical,sum,Ankit Kumar,29-Sep-2022 11:13 AM,technical_97554.pdf,Dr Suresh kumar walia,Internal,AE SUpdt HDM DAO,Ankit Kumar,29-Sep-2022 11:15 AM,30-Sep-2022 11:00 AM,techsummary_97554.pdf (742.90 KB),PWD,2022_PWD_64841_1,PWD-Civil-Nagrota Bagwan 12,A/R and M/O to 500 Bedded Hospital at Dr. R.P. Govt. Medical College Tanda in Tehsil Nagrota Bagwan Distt. Kangra (H.P.)(Repair of various works for the year 2022-23 w.e.f. 0 1.12.2022 to 31.05.2023. ),13-Oct-2022,"INR 2,161,813",180.0,Suresh Kumar Walia,16-Jan-2023 03:33 PM,Award.pdf (383.00 KB),Award,Dr Suresh kumar walia,Internal,AE DAO HDM Supdt,Ankit Kumar,01-Oct-2022 04:41 PM,finsummary_97554.pdf (192.06 KB),AOC
,,.pdf,Contractor registration,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,303190.0,VIJAY KUMAR BATRA GOVT CONTRACTOR,23-Sep-2022 06:33 PM,Accepted-AOC,Award,16-Jan-2023 03:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,"GST Registration , Pan No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Employee Provident Fund( EPF) registration number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Detail of Machinery and Technical Staff as per SBD with proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
