Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
13-Jan-2023,"INR 2,530,902",180.0,Suresh Kumar Walia,16-Jan-2023 03:36 PM,Award.pdf (408.00 KB),Award,Dr Suresh kumar walia,Internal,AE SUpdt HDM DAO,Ankit Kumar,21-Sep-2022 12:15 PM,finsummary_96927.pdf (191.47 KB),Dr Suresh kumar walia,Internal,AE SUpdt HDM DAO,Suresh Kumar Walia,20-Sep-2022 04:54 PM,21-Sep-2022 10:00 AM,techsummary_96927.pdf (1048.29 KB),PWD,2022_PWD_64389_2,PWD-Civil-Nagrota Bagwan 02,"Special repair to Girls Hostel in Dr R.P. Govt. Medical College at Tanda in Distt Kangra (HP) (SH-Dismantling tile, repair of plaster providing and fixing floor tiles wall tile aluminium work, wooden work, WS and SI etc in toilet of block-A)",Finance,sum,Ankit Kumar,21-Sep-2022 12:14 PM,finance_96927.pdf,BOQ Comparative Chart,1.0,299370.0,parveen kumar,INR,"1,872,869",Technical,sum,Suresh Kumar Walia,20-Sep-2022 04:53 PM,technical_96927.pdf,1.0,299370.0,parveen kumar,13-Sep-2022 06:39 PM,Accepted-AOC,Award,16-Jan-2023 03:37 PM,AOC,Executive Engineer,O/o EE HP PWD Division Tanda at Nagrota Bagwan,"50,650",No,fixed,,Nil,Nil,"Special repair to Girls Hostel in Dr R.P. Govt. Medical College at Tanda in Distt Kangra (HP) (SH-Dismantling tile, repair of plaster providing and fixing floor tiles wall tile aluminium work, wooden work, WS and SI etc in toilet of block-A)","Special repair to Girls Hostel in Dr R.P. Govt. Medical College at Tanda in Distt Kangra (HP) (SH-Dismantling tile, repair of plaster providing and fixing floor tiles wall tile aluminium work, wooden work, WS and SI etc in toilet of block-A)",Please refer Tender documents. ,NA ,"25,30,902",Civil Works - Buildings,NA ,Tender,120.0,180.0,Nagrota,176047.0,NA ,NA ,NA ,O/o EE HP PWD Division Tanda at Nagrota Bagwan,No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form,"1,500",Nil,Nil,No,02-Sep-2022 12:25 PM,15-Sep-2022 11:30 AM,02-Sep-2022 12:25 PM,15-Sep-2022 09:00 AM,NA ,NA ,02-Sep-2022 12:25 PM,15-Sep-2022 09:00 AM,21-Sep-2022 10:00 AM,PWD,PWD-Civil-Nagrota Bagwan 02,2022_PWD_64389_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,300205.0,VENYA CONSTRUCTIONS AND SUPPLIER,12-Sep-2022 06:41 PM,Rejected-Finance,Lowest 2,21-Sep-2022 12:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Contractor registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST Registration , Pan No",,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund( EPF) registration number,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery and Technical Staff as per SBD with proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
