Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
250.0,Executive Engineer Jal Shakti Division Nahan,Nahan,No,"19,500",Yes,fixed,,Executive Engineer Jal Shakti Division Nahan,Nahan,1.0,ICICI BANK,02-May-2022 09:00 AM,07-May-2022 11:30 AM,02-May-2022 09:00 AM,07-May-2022 11:00 AM,NA ,NA ,02-May-2022 09:00 AM,07-May-2022 11:00 AM,11-May-2022 04:10 PM,1.0,Fee/PreQual/Technical,.pdf,Earnest Money as mentioned in NIT,Executive Engineer Jal Shakti Division Nahan,Executive Engineer Jal Shakti Division Nahan,Improvement and Augmentation of LWSS Kando Kansar in GP Kando Kansar Tehsil Dadahu,"L/J and testing of rising main of MSERW pipe 65mm dia (H/M), Providing and installation and commissioning of centrifugal pumping machinery with allied accessories) Job No. 2.",Please refer Tender documents. ,NA ,,Pumps/Motors,NA ,Tender,120.0,90.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",NHN-SMROO-722- 1028-1108 dated 30-04-2022,2022_HPIPH_60197_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,AOC,ER Ashish Rana EE,Internal,TA Supdt HDM DAO EE,Ashish Rana,11-May-2022 04:05 PM,11-May-2022 04:10 PM,techsummary_90988.pdf (317.77 KB),1.0,281033.0,SG Engineers and Consultants,06-May-2022 11:04 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,11-May-2022 04:03 PM,Finance,Financial Bid Opening Summary,Ashish Rana,11-May-2022 04:34 PM,finance_90988.pdf,BOQ Comparative Chart,Technical,Technical Bid Opening Summary,Ashish Rana,11-May-2022 04:03 PM,technical_90988.pdf,24-Jan-2023,"INR 969,990",90.0,Ashish Rana,31-Jan-2023 12:20 PM,AOC.pdf (742.00 KB),Award to Contractor,ER Ashish Rana EE,Internal,DM HDM EE,Ashish Rana,11-May-2022 04:47 PM,finsummary_90988.pdf (343.53 KB),1.0,281020.0,Thakur Traders,INR,"1,695,260","HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2022_HPIPH_60197_1,NHN-SMROO-722- 1028-1108 dated 30-04-2022,Improvement and Augmentation of LWSS Kando Kansar in GP Kando Kansar Tehsil Dadahu,AOC
,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,.pdf,cost of Tender Form as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2.0,281004.0,shiv iron general engineers,07-May-2022 09:01 AM,Rejected-Finance,Reject,11-May-2022 04:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration in HPJSV in valid class as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3.0,281020.0,Thakur Traders,06-May-2022 07:58 PM,Accepted-AOC,AOC,31-Jan-2023 12:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4.0,281025.0,Vijay Pal Singh,06-May-2022 11:21 PM,Rejected-Finance,Reject,11-May-2022 04:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN and GSt as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking Joint Venture is not allowed as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking carefully study all terms and conditions as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,.pdf,Dealership/subdealership of offered PM as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Undertaking with curve chart, selection of pump etc as mentioned in NIT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,.pdf,affidavit specifying that the benefit availed under earnest money exemption has not been exhausted s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
