S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,270408.0,EXPRESS HOUSEKEEPER PRIVATE LIMITED,16-Mar-2022 05:25 PM,Not Admitted-Finance,Others-Rejected as it was successful bidder in Sector2,28-Mar-2022 06:19 PM,commissioner,Internal,joint commissioner assistant engineer junior engineer,Trilok Bhatt,26-Mar-2022 02:03 PM,26-Mar-2022 04:00 PM,techsummary_86441.pdf (783.69 KB),06-Jan-2023,"INR 7,679,988",365.0,Kalyan Bhatt,06-Jan-2023 11:27 AM,CCF_000193.pdf (933.00 KB),Work Awarded,Technical,Bid Opening Summary,Trilok Bhatt,17-Mar-2022 06:39 PM,technical_86441.pdf,Finance,Financial Bid Opening,Lalit Katoch,28-Mar-2022 06:20 PM,finance_86441.pdf,BOQ Comparative Chart,1.0,269925.0,yash raaj all services,INR,"7,679,988",Directorate of Urban Development||Urban Development - UDDHP||Municipal Corporation Palampur,2022_UDDHP_57258_1,Door to Door Garbage collection and Cleaning/Sweep,"Door to Door Garbage collection and Cleaning/Sweeping of Municipal roads, streets, drains, Nallah and cutting of Grass and bushes in sector 3 Municipal Corporation Palampur",Commissioner,Internal,"Jt. Commissioner , Assistant Engineer , Junior Engineer",Kalyan Bhatt,06-Jan-2023 11:26 AM,finsummary_86441.pdf (765.24 KB),AOC,"2,00,000",No,fixed,,Commissioner,Palampur,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER,1.0,DD - Demand Draft,"1,000",Commissioner,Palampur,No,"Door to Door Garbage collection and Cleaning/Sweeping of Municipal roads, streets, drains, Nallah and cutting of Grass and bushes in sector 3 Municipal Corporation Palampur","Door to Door Garbage collection and Cleaning/Sweeping of Municipal roads, streets, drains, Nallah and cutting of Grass and bushes in sector 3 Municipal Corporation Palampur",Refer to Tender documents ,NA ,,Manpower Supply,Cleaning and Sweeping as per SWM rule ,Tender,90.0,365.0,Palampur,176061.0,OFFICE of MC PALAMPUR  ,OFFICE of MC PALAMPUR  ,07-Mar-2022 11:00 AM ,OFFICE of MC PALAMPUR,No ,No,Directorate of Urban Development||Urban Development - UDDHP||Municipal Corporation Palampur,Door to Door Garbage collection and Cleaning/Sweep,2022_UDDHP_57258_1,Yes,Open Tender,Item Rate,Services,2.0,No,No,Offline,No,No,No,Commissioner,Commissioner MC Palampur,28-Feb-2022 05:00 PM,17-Mar-2022 03:00 PM,28-Feb-2022 05:00 PM,17-Mar-2022 10:30 AM,NA ,NA ,28-Feb-2022 05:00 PM,17-Mar-2022 10:30 AM,26-Mar-2022 04:00 PM,AOC
2.0,270377.0,Mahalaxmi Enterprise,16-Mar-2022 05:41 PM,Rejected-Finance,Being L4,06-Jan-2023 11:26 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,EARNEST MONEY,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
3.0,270469.0,M/S HURRICANE SECURITY AGENCY PVT.LTD,17-Mar-2022 10:15 AM,Rejected-Finance,Being L3,06-Jan-2023 11:26 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,CONTRACTOR REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
4.0,270293.0,SANJEEV KUMAR,16-Mar-2022 11:53 AM,Rejected-Finance,Being L5,06-Jan-2023 11:26 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,GST REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
5.0,270506.0,SHIVAM JAN SWASTHYA EVEM SARVANGIN VIKASH KENDRA,16-Mar-2022 11:48 PM,Rejected-Finance,Being L2,06-Jan-2023 11:26 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,EPF REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
6.0,270508.0,TRIOTAP TECHNOLOGIES PVT LTD,17-Mar-2022 12:42 AM,Not Admitted-Fee/PreQual/Technical,Others-Original Document Not Received,17-Mar-2022 06:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,DONE CERTIFICATE WORK IN HAND CERTIFICATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
7.0,269925.0,yash raaj all services,16-Mar-2022 05:32 PM,Accepted-AOC,Being L1,06-Jan-2023 11:28 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Form No. 7/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,List of both gazetted and non-gazetted M C Employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Other important documents as specified by the State in proforma of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
