Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Er. K. L. Chaudhary,Internal,"Sh. Sanjeet Sinah DAO, Sh. Sanjeev Goel Supdt. Gr.II, Smt. Usha Aggarwal HDM",Kishan Lal Chaudhary,30-Jan-2021 10:51 AM,30-Jan-2021 11:30 AM,techsummary_64967.pdf (696.43 KB),PWD,2021_PWD_43662_2,CB/Tender/2020-21 7823-7872 dated 14.12.2020,"C/O fruit processing unit at Dhaulakuan in Tehsil Paonta Sahib, District Sirmour H.P. (SH- C/o Main building portion, boundary wall, water supply and sanitary installation, septic tank with soak pit and rain water harvesting tank)",Finance,Fin Bid Opening Summary,Kishan Lal Chaudhary,03-May-2021 04:07 PM,finance_64967.pdf,BOQ Comparative Chart,Technical,Bid opening summary,Kishan Lal Chaudhary,30-Jan-2021 10:49 AM,technical_64967.pdf,1.0,196025.0,H. C. Bansal Engg. & Contt.,27-Jan-2021 02:04 PM,Rejected-Finance,L3,03-May-2021 04:09 PM,AOC,"C/O fruit processing unit at Dhaulakuan in Tehsil Paonta Sahib, District Sirmour H.P. (SH- C/o Main building portion, boundary wall, water supply and sanitary installation, septic tank with soak pit and rain water harvesting tank)","C/O fruit processing unit at Dhaulakuan in Tehsil Paonta Sahib, District Sirmour H.P. (SH- C/o Main building portion, boundary wall, water supply and sanitary installation, septic tank with soak pit and rain water harvesting tank)",please refer tender document ,NA ,,Civil Works - Buildings,NA ,Tender,90.0,730.0,Paonta Sahib,173025.0,NA ,NA ,NA ,Paonta Sahib,No ,No,Executive Engineer,Executive Engineer HPPWD Division Paonta Sahib District Sirmour (HP),PWD,CB/Tender/2020-21 7823-7872 dated 14.12.2020,2021_PWD_43662_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"1,86,200",No,fixed,,Nil,Nil,14-Jan-2021 05:30 PM,28-Jan-2021 11:30 AM,14-Jan-2021 06:00 PM,27-Jan-2021 05:00 PM,NA ,NA ,14-Jan-2021 06:00 PM,27-Jan-2021 05:00 PM,30-Jan-2021 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender- indicated in schedule f at sr.no.6.3,"5,000",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,196011.0,LAL SINGH CHAUHAN,27-Jan-2021 12:11 PM,Rejected-Finance,L2,03-May-2021 04:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,.pdf,Earnest money-indicated in schedule f at sr. No.6.5,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3.0,196017.0,SUCHA SINGH,27-Jan-2021 12:57 PM,Accepted-AOC,Work Awarded,30-Jan-2023 01:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration- refer general rule sr. No 23,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration(Refer General Rule No.21)and Permanent account number,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of 40 percent work done certificate for similar nature of work,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of incomplete works in hand general rule sr. No 28.1,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity/C.A. annual report.,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machinery as per schedule F Sr.No.6.19Ref.Cl- No.18 i.e.R.C,purchase bills,ownership/Affidavit hire",,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of EPF,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form no 8 duly signed gen. Rule sr. No 26.7.,,,,,AOC
