Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
500.0,Nil,Nil,No,14-Sep-2022 10:00 AM,21-Sep-2022 11:30 AM,14-Sep-2022 10:00 AM,20-Sep-2022 06:00 PM,NA ,NA ,14-Sep-2022 10:00 AM,20-Sep-2022 06:00 PM,23-Sep-2022 03:00 PM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of form and earnest money,Executive Engineer,HPPWD Division Dehra,"45,000",No,fixed,,Nil,Nil,PWD,EE Dehra letter No. 6967-71 dt. 31.08.2022,2022_PWD_64807_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Construction of link road Gugga Mandir to Harizan Basti G.P Haripur in Km 0/000 to 1/500,"Construction of 3.00mtr Span RCC Slab Culvert (Skew) at RD 0/105, V-Shape Drain at RD 1/225 to 1/320 and Wire Crate wall Km 0/055 to 0/090 and 0/120 to 0/215",Please refer to tender documents ,NA ,"22,27,524",Civil Works,NA ,Tender,75.0,90.0,Dehra,177101.0,NA ,NA ,NA ,EE HPPWD Division Dehra,No ,No,AOC,1.0,302328.0,GOVT. CONTRACTOR,20-Sep-2022 01:27 PM,Accepted-AOC,L1,28-Jan-2023 12:34 PM,Technical,Summary,Gurvachan Singh,23-Sep-2022 02:12 PM,technical_97644.pdf,Finance,Summary,Dinesh Kumar Dhiman,11-Oct-2022 04:37 PM,finance_97644.pdf,BOQ Comparative Chart,1.0,302328.0,GOVT. CONTRACTOR,INR,"1,561,126",PWD,2022_PWD_64807_3,EE Dehra letter No. 6967-71 dt. 31.08.2022,Construction of link road Gugga Mandir to Harizan Basti G.P Haripur in Km 0/000 to 1/500,EE Dehra,Internal,"HDM.Supdt,DAO",Gurvachan Singh,23-Sep-2022 02:46 PM,23-Sep-2022 03:00 PM,techsummary_97644.pdf (634.96 KB),EE Dehra,Internal,"HDM,Supdt,DAO",Dinesh Kumar Dhiman,11-Oct-2022 04:41 PM,finsummary_97644.pdf (190.60 KB),28-Jan-2023,"INR 2,227,524",90.0,Dinesh Kumar Dhiman,28-Jan-2023 12:33 PM,64807_3Puneet.pdf (282.00 KB),Work award issued,AOC
,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Copy of enlistment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,302319.0,shyam sharma,20-Sep-2022 01:04 PM,Rejected-Finance,Highest Bidder,11-Oct-2022 04:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration with copy of Return of previous FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Form 8 duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Detail of existing commentments under Dehra Division.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of bid showing name of bid duly attested from competent authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding list of near relative works as officer/officials in HPPWD duly attested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Copy of PAN card with IT Return of previous FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Copy of registration under EPF with return of previous FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
