Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Bank Name,Name,Address
Technical,summary,Vijay Kumar Verma,16-Nov-2022 04:39 PM,technical_99867.pdf,1.0,309227.0,Gajraj Singh,19-Oct-2022 05:05 PM,Rejected-Finance,Other Then Lowest,17-Nov-2022,1.0,309132.0,Sarwar Shah,INR,"8,290,009",Finance,BOS,Vijay Kumar Verma,17-Nov-2022 01:58 PM,finance_99867.pdf,BOQ Comparative Chart,27-Jan-2023,"INR 8,290,009",365.0,Atul Kumar Sharma,04-Oct-2023 02:28 PM,aoc.pdf (727.00 KB),AOC,Executive Engineer,Internal,TA HDM Supdt GR-II DAO EE,Vijay Kumar Verma,17-Nov-2022 03:37 PM,finsummary_99867.pdf (16.56 KB),Executive Engineer,Internal,TA HDM Supdtt DAO EE,Vijay Kumar Verma,16-Nov-2022 04:45 PM,17-Nov-2022 11:00 AM,techsummary_99867.pdf (232.50 KB),PWD,2022_PWD_66419_1,No TA-tender22-23-10972-11012 dt6.10.2022,Construction of 15.00 meter span RCC Deck Slab Bridge over Kotha Nallah on Dalhousie Cantt to Bathri road at Km 4/780,"1,78,020",No,fixed,,Nil,Nil,Construction of 15.00 meter span RCC Deck Slab Bridge over Kotha Nallah on Dalhousie Cantt to Bathri road at Km 4/780,Construction of 15.00 meter span RCC Deck Slab Bridge over Kotha Nallah on Dalhousie Cantt to Bathri road at Km 4/780,Please refer Tender documents. ,NA ,"89,00,590",Civil Works,NA ,Tender,75.0,365.0,DALHOUSIE,176304.0,NA ,NA ,NA ,HPPWD DIVISION DALHOUSIE,No ,No,12-Oct-2022 03:00 PM,20-Oct-2022 11:30 AM,12-Oct-2022 03:00 PM,20-Oct-2022 11:00 AM,NA ,NA ,12-Oct-2022 03:00 PM,20-Oct-2022 11:00 AM,17-Nov-2022 11:00 AM,PWD,No TA-tender22-23-10972-11012 dt6.10.2022,2022_PWD_66419_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender from only online mode through E-payment,"2,000",Nil,Nil,No,1.0,ICICI BANK,EXECUTIVE ENGINEER,HPPWD DIVISION DALHOUSIE
,,,,,2.0,309132.0,Sarwar Shah,19-Oct-2022 07:47 PM,Accepted-AOC,working is progress,04-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money from only online mode through E-payment,,,,,2.0,ICICI NEFT/RTGS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No. 24.3 and as per invitation of bid),,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of G.S.T. Number,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Number,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form No. 8, duly signed by the contractor",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/Undertaking that information furnished with the bid (Name of works is correct),,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of technical Staff,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work experience as per clause 26.2 b of general and direction and as per schedule F,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery,,,,,,,,
