Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Tender Stage
Directorate of Urban Development||Urban Development - UDDHP||Municipal Corporation Palampur,2022_UDDHP_55574_1,UD-H(F)(10)-02/2005 HPIDB-V-Loose-24361-62,C/O Multi storey parking(1ST AND 2ND floor),1.0,257329.0,Ashwani Kumar Chhibber,INR,"8,158,686",Commissioner,Internal,"Jt. Commissioner , Assistant Engineer , junior Engineer",Kalyan Bhatt,03-Jan-2023 04:12 PM,finsummary_83360.pdf (699.68 KB),Technical,Bid Opening Summary,Anand Katoch,27-Jan-2022 04:49 PM,technical_83360.pdf,Finance,Bid opening,Anand Katoch,02-Feb-2022 04:46 PM,finance_83360.pdf,BOQ Comparative Chart,03-Jan-2023,"INR 8,158,686",270.0,Kalyan Bhatt,03-Jan-2023 04:13 PM,CCF_000187.pdf (983.00 KB),Work Awarded,1.0,257329.0,Ashwani Kumar Chhibber,20-Jan-2022 10:13 AM,Accepted-AOC,Being L1,03-Jan-2023 04:14 PM,J. Commissioner,Internal,"J.C., A.E., J.E.",Anand Katoch,01-Feb-2022 05:04 PM,02-Feb-2022 03:00 PM,techsummary_83360.pdf (414.92 KB),AOC,Commissioner MC Palampur,Municipal Corporation office Palampur,"1,000",Commissioner MC Palampur,MC Office Palampur,Yes,Directorate of Urban Development||Urban Development - UDDHP||Municipal Corporation Palampur,UD-H(F)(10)-02/2005 HPIDB-V-Loose-24361-62,2022_UDDHP_55574_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"1,63,000",Yes,fixed,,Commissioner MC Palampur,MC Office Palampur,11-Jan-2022 06:55 PM,20-Jan-2022 02:30 PM,11-Jan-2022 06:55 PM,20-Jan-2022 10:30 AM,11-Jan-2022 06:55 PM ,20-Jan-2022 10:00 AM ,11-Jan-2022 06:55 PM,20-Jan-2022 10:30 AM,02-Feb-2022 03:00 PM,C/O Multi storey parking(1ST AND 2ND floor),C/O Multi storey parking(1ST AND 2ND floor) Opposite ICICI Bank of Municipal Corporation Palampur Distt Kangra H.P.,Please refer Tender documents. ,NA ,"81,58,686",Civil Works - Buildings,NA ,Tender,90.0,270.0,Palampur,176061.0,NA ,NA ,NA ,MC Palampur,No ,No,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,257360.0,Hem Raj,19-Jan-2022 06:45 PM,Rejected-Finance,Being L3,03-Jan-2023 04:12 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,The earnest money indicated in schedule F,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,257384.0,SUNIL DUTT SHARMA,19-Jan-2022 09:24 PM,Rejected-Technical,Irresponsive,01-Feb-2022 05:04 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,257374.0,vikas parmar,19-Jan-2022 07:05 PM,Rejected-Finance,Being L2,03-Jan-2023 04:12 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19 c,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted M C Employees related to him General Rule No. 16,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other important documents as specified by the State in proforma of Schedule,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,AOC
