S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Name,Address,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,170714.0,Omega Elevators,INR,"13,868,009",Ropeway and Rapid Transport System Development Corporation,2020_RTDCH_38616_2,RTDC/SHIMLA SMART CITY/2019/1441-46 DT 29.2.2020,"Designing, Manufacturing / Procurement, Installation, Testing and Commissioning of 2 Nos. of rear side glass Lifts at Metropol parking building","Chief General Manager, RTDC",Internal,"General Manager, RTDC and Manager (Civil), RTDC",Gita Ram,15-Mar-2022 01:08 PM,finsummary_57041.pdf (1002.46 KB),15-Mar-2022,"INR 13,868,009",120.0,Gita Ram,23-Jan-2023 04:54 PM,Oldbakery.pdf (2463.00 KB),Lowest bidder,Technical,Bid Opening Summary,Rohit Thakur,13-Aug-2020 12:45 PM,technical_57041.pdf,Finance,bids of all qualified bidder has been opened,Gita Ram,22-Sep-2020 04:10 PM,finance_57041.pdf,BOQ Comparative Chart,1.0,170998.0,DISHA ELECTRONICS,11-Aug-2020 10:32 AM,Rejected-AOC,Rejected,23-Jan-2023 04:55 PM,Er Ajay Sharma,Internal,"General Manager, Manager",Gita Ram,04-Sep-2020 03:22 PM,04-Sep-2020 03:40 PM,techsummary_57041.pdf (1508.13 KB),AOC,Cheif General Manger,RTDC US Club Shimla,1.0,xtension of bid due date,Date,,"3,50,000",No,fixed,,General Manager RTDC,Shimla,Ropeway and Rapid Transport System Development Corporation,RTDC/SHIMLA SMART CITY/2019/1441-46 DT 29.2.2020,2020_RTDCH_38616_2,Yes,Open Tender,Lump-sum,Works,3.0,No,No,Offline,No,No,No,1.0,Fee,.pdf,TENDER FEE,"11,800",General Manager RTDC,Shimla,No,06-Jul-2020 05:00 PM,11-Aug-2020 03:00 PM,06-Jul-2020 05:00 PM,11-Aug-2020 12:00 PM,NA ,NA ,06-Jul-2020 05:00 PM,11-Aug-2020 12:00 PM,04-Sep-2020 03:40 PM,1.0,DD - Demand Draft,"Designing, Manufacturing / Procurement, Installation, Testing and Commissioning of 2 Nos. of rear side glass Lifts at Metropol parking building",Please Refer Tender Document,Please refer Tender documents. ,NA ,"1,75,00,000",Civil Works,NA ,Tender,120.0,120.0,Shimla,171001.0,NA ,NA ,NA ,Us Club Shimla,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,172184.0,D.S Ranta Electrical Contractor,11-Aug-2020 10:47 AM,Rejected-AOC,Rejected,23-Jan-2023 04:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY,,,,,,,,,,,,,,2.0,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,170714.0,Omega Elevators,30-Jul-2020 12:01 PM,Accepted-AOC,Lowest bidder and awarded bidder,23-Jan-2023 04:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST registration number, EPF registration, PAN No",,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,171190.0,SKY INTERNATIONAL,11-Aug-2020 09:13 AM,Rejected-AOC,Rejected,23-Jan-2023 04:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,Eligibility Criteria for Bidder Documents as per RFP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Letter of Acceptance of tender condition unconditional as per format enclosed in RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of Financial Turnover duly certified by CA as indicated above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,All pages of the entire Corrigendum (if any) duly signed by the authorized person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as asked in RFP document.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit as per Appendix-O of RFP document Acceptance letter and Affidavit forBlacklisting/ Debar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Should submit the list of tools, plant and machinery AND MANPOWER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
