Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage
21-Jan-2023,"INR 1,502,710",90.0,Ashish Rana,31-Jan-2023 12:29 PM,AOC.pdf (662.00 KB),Award to Contractor,Technical,Technical Summary,Ashish Rana,13-Sep-2022 02:22 PM,technical_96975.pdf,Finance,Financial Summary,Ashish Rana,13-Sep-2022 03:00 PM,finance_96975.pdf,BOQ Comparative Chart,1.0,300374.0,BHAW SINGH KAPOOR CONTRACTOR,12-Sep-2022 10:22 AM,Rejected-Finance,Reject,13-Sep-2022 06:32 PM,ER Ashish Rana EE,Internal,TA Supdt HDM Dao EE,Ashish Rana,13-Sep-2022 02:26 PM,13-Sep-2022 02:30 PM,techsummary_96975.pdf (318.02 KB),"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2022_HPIPH_64435_2,NHN-SMROO-722- 10157-237 dt 02-09-2022,Improvement of Circle and Divisional office Building in Tehsil Nahan Distt. Sirmour HP,1.0,300335.0,saurabh sharma,INR,"1,051,897",ER Ashish Rana EE,Internal,DM HDM EE,Ashish Rana,13-Sep-2022 06:32 PM,finsummary_96975.pdf (345.45 KB),AOC,Improvement of Circle and Divisional office Building in Tehsil Nahan Distt. Sirmour HP,Renovation of existing Division Building,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,120.0,90.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,Executive Engineer Jal Shakti Division Nahan,Executive Engineer Jal Shakti Division Nahan,"30,100",Yes,fixed,,Executive Engineer Jal Shakti Division Nahan,Nahan,03-Sep-2022 05:00 PM,12-Sep-2022 11:30 AM,03-Sep-2022 05:00 PM,12-Sep-2022 11:00 AM,NA ,NA ,03-Sep-2022 05:00 PM,12-Sep-2022 11:00 AM,13-Sep-2022 02:30 PM,400.0,Executive Engineer Jal Shakti Division Nahan,Nahan,No,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",NHN-SMROO-722- 10157-237 dt 02-09-2022,2022_HPIPH_64435_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,Fee/PreQual/Technical,.pdf,Earnest Money as mentioned in NIT,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,2.0,300331.0,M/S Sharma Enterpirses,11-Sep-2022 07:16 PM,Rejected-Finance,Reject,13-Sep-2022 06:32 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of TEnder Form as mentioned in NIT,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,3.0,300268.0,RAMNIK THAKUR,10-Sep-2022 07:37 PM,Rejected-Finance,Reject,13-Sep-2022 06:32 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration in HPJSV Vibhag as mentioned in NIT,,,AOC
,,,,,,,,,,,,,,,,,,4.0,300061.0,Sanjev Kumar,09-Sep-2022 02:19 PM,Rejected-Finance,Reject,13-Sep-2022 06:32 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF registration as mentioned in NIT,,,AOC
,,,,,,,,,,,,,,,,,,5.0,300335.0,saurabh sharma,11-Sep-2022 07:15 PM,Accepted-AOC,AOC,31-Jan-2023 12:29 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN and GST No. as mentioned in NIT,,,AOC
,,,,,,,,,,,,,,,,,,6.0,300432.0,SH KAKU RAM SHARMA,12-Sep-2022 10:40 AM,Rejected-Finance,Reject,13-Sep-2022 06:32 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking Joint venture is not allowed as mentioned in NIT,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking carefully study all terms and conditions as mentioned in NIT,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,affidavit specifying that the benefit availed under earnest money exemption has not been exhausted s,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,undertaking that the he will comply with the provision of contract Labour (Regulation of Abolition),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,AOC
