Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
10-Jun-2020 02:00 PM,16-Jun-2020 02:00 PM,10-Jun-2020 02:00 PM,15-Jun-2020 05:00 PM,NA ,NA ,10-Jun-2020 02:00 PM,15-Jun-2020 05:00 PM,20-Jun-2020 04:45 PM,1.0,Fee/PreQual/Technical,.pdf,Copy of valid registration,Construction of Retaining wall below Gyani House in Ward No.1,Construction of Retaining wall below Gyani House in Ward No.1,Please refer Tender documents. ,NA ,"5,41,638",Civil Works,NA ,Tender,90.0,90.0,MC Solan,173212.0,NA ,NA ,NA ,MC Solan,No ,No,Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Solan - UDDHP,"TEN(5)20/2019-2402-04,28/05/20",2020_UDDHP_37970_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Officer MC Solan,Executive Officer MC Solan,"13,540",No,fixed,,Executive Officer MC Solan,Solan,1.0,DD - Demand Draft,"1,000",Executive Officer MC Solan,Solan,No,AOC,ME and EO,Internal,ME and EO,Gopi Singh,06-Jul-2020 12:32 PM,finsummary_55924.pdf (33.32 KB),Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Solan - UDDHP,2020_UDDHP_37970_1,"TEN(5)20/2019-2402-04,28/05/20",Construction of Retaining wall below Gyani House in Ward No.1,1.0,162508.0,GURU DEV SINGH,INR,"540,444",1.0,Corrigendum,Corrigendum,20-Jun-2020 04:14 PM,Corrigendum.pdf ,6.99,Technical Opening,Technical,ok,Gopi Singh,20-Jun-2020 04:31 PM,technical_55924.pdf,Finance,ok,Gopi Singh,20-Jun-2020 04:53 PM,finance_55924.pdf,BOQ Comparative Chart,07-May-2021,"INR 540,444",90.0,Gopi Singh,07-May-2021 12:02 PM,37970.pdf (1497.00 KB),Award letter,1,162473,Anil Chauhan,15-Jun-2020 11:27 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,20-Jun-2020 04:31 PM,EO and ME,Internal,EO and ME,Gopi Singh,20-Jun-2020 04:41 PM,20-Jun-2020 04:45 PM,techsummary_55924.pdf (33.32 KB),AOC
,,,,,,,,,,,.pdf,Earnest Money,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,SS - Small Savings Instrument,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,162542,Ashok Thakur,15-Jun-2020 02:19 PM,Rejected-AOC,L6,07-May-2021 12:02 PM,,,,,,,,AOC
,,,,,,,,,,,.pdf,Cost of tender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,162414,Bhupender Jaswal Contractor,14-Jun-2020 08:19 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,20-Jun-2020 04:31 PM,,,,,,,,AOC
,,,,,,,,,,,.pdf,Copy of GST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,162508,GURU DEV SINGH,15-Jun-2020 01:13 PM,Accepted-AOC,L1,07-May-2021 12:02 PM,,,,,,,,AOC
,,,,,,,,,,,.pdf,Copy of PAN Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,162308,Hanish Mehta,15-Jun-2020 03:23 PM,Rejected-AOC,L3,07-May-2021 12:02 PM,,,,,,,,AOC
,,,,,,,,,,,.pdf,Work done certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,162535,HARSH VARDHAN,15-Jun-2020 03:01 PM,Rejected-AOC,L5,07-May-2021 12:02 PM,,,,,,,,AOC
,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,162603,Nitin Sharma,15-Jun-2020 04:22 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,20-Jun-2020 04:31 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,162619,Parminder Dhiman,15-Jun-2020 04:53 PM,Rejected-AOC,L9,07-May-2021 12:02 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,162591,Prashant Kashyap,15-Jun-2020 03:49 PM,Rejected-AOC,L7,07-May-2021 12:02 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,162286,Rahul Sharma,14-Jun-2020 08:49 PM,Rejected-AOC,L8,07-May-2021 12:02 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,162463,Rohit Chauhan,15-Jun-2020 10:38 AM,Rejected-AOC,L4,07-May-2021 12:02 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,162478,Vikrant Sharma,15-Jun-2020 11:35 AM,Rejected-AOC,L2,07-May-2021 12:02 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,162394,Vivek Dobhal,14-Jun-2020 07:23 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,20-Jun-2020 04:31 PM,,,,,,,,AOC
