Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Er Maan Singh,Internal,"Sh Prem Raj Meen DAO, Sh Ram Sawaroop Supdt., Sh Suresh Kumar Verma HDM.",Naveen Singh Kaundal,12-Feb-2021 04:02 PM,finsummary_63470.pdf (489.20 KB),03-May-2021,"INR 1,790,199",120.0,Naveen Singh Kaundal,03-May-2021 04:48 PM,NehraShaltu-AOC.pdf (1145.00 KB),AOC,PWD,2020_PWD_42829_1,PW-SRDD-CB-CTR-2020-21-13005 dated 16-11-2020,Construction of Nehra shaltu Road km 0/00 to 2/00,Er Maan Singh,Internal,"Sh Prem Raj Meen DAO, Sh Ram Sawaroop Supdt., Sh Suresh Kumar Verma HDM",Naveen Singh Kaundal,10-Feb-2021 01:42 PM,12-Feb-2021 12:00 PM,techsummary_63470.pdf (473.04 KB),1.0,192448.0,NOKH RAM SHARMA,INR,"2,217,785",Finance,Bid opening summary,Naveen Singh Kaundal,12-Feb-2021 03:57 PM,finance_63470.pdf,BOQ Comparative Chart,Technical,Bid opening summary,Naveen Singh Kaundal,05-Jan-2021 04:17 PM,technical_63470.pdf,1.0,192289.0,KAMAL DEEP GARG,19-Dec-2020 11:47 AM,Rejected-Technical,Non-responsive,10-Feb-2021 01:47 PM,AOC,"35,000",No,fixed,,Nil,Nil,500.0,Nil,Nil,No,1.0,ICICI BANK,EE Dhami,EE Shimla Rural Division HPPWD Dhami,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),07-Dec-2020 05:00 PM,22-Dec-2020 11:00 AM,07-Dec-2020 05:30 PM,21-Dec-2020 06:55 PM,NA ,NA ,07-Dec-2020 05:30 PM,21-Dec-2020 06:55 PM,12-Feb-2021 12:00 PM,PWD,PW-SRDD-CB-CTR-2020-21-13005 dated 16-11-2020,2020_PWD_42829_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Construction of Nehra shaltu Road km 0/00 to 2/00,SH- Providing and Laying Metalling and Tarring in km 0/00 to 2/00,as per tender document ,NA ,,Civil Works - Roads,NA ,Tender,120.0,120.0,Dhami,171103.0,NA ,NA ,NA ,Shimla Rural Division HPPWD Dhami,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,192424.0,Lalit Sharma,21-Dec-2020 12:03 PM,Rejected-Finance,L2 Bidder,12-Feb-2021 04:07 PM,AOC,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,192448.0,NOKH RAM SHARMA,21-Dec-2020 04:03 PM,Accepted-AOC,L1 Bidder,03-May-2021 04:48 PM,AOC,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Work In Hand As Per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
