Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Copy of valid registration,500.0,Executive Officer MC Solan,Solan,No,Executive Officer MC Solan,Executive Officer MC Solan,Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Solan - UDDHP,"TEN(5)20/2019-415-17,23/01/20",2020_UDDHP_34424_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,30-Jan-2020 09:00 AM,07-Feb-2020 02:00 PM,30-Jan-2020 09:00 AM,06-Feb-2020 05:00 PM,NA ,NA ,30-Jan-2020 09:00 AM,06-Feb-2020 05:00 PM,05-Mar-2020 12:00 PM,"Construction of Pucca Nallah from Sharma Bhawan to Bal Chand, MadanRawat and other in ward no.11 Solan Deposit work.","Construction of Pucca Nallah from Sharma Bhawan to Bal Chand, MadanRawat and other in ward no.11 Solan Deposit work.",Please refer Tender documents. ,NA ,"1,29,212",Civil Works,NA ,Tender,90.0,60.0,MC Solan,173212.0,NA ,NA ,NA ,MC Solan,No ,No,1.0,DD - Demand Draft,"3,250",No,fixed,,Executive Officer MC Solan,Solan,AOC,04-May-2021,"INR 145,233",60.0,Gopi Singh,04-May-2021 12:30 PM,34424.pdf (1554.00 KB),Awarded,Technical,ok,Vinod Pal,05-Mar-2020 10:52 AM,technical_50326.pdf,Finance,ok,Vinod Pal,06-Mar-2020 11:21 AM,finance_50326.pdf,BOQ Comparative Chart,1,148233,Anil Chauhan,04-Feb-2020 07:13 PM,Accepted-AOC,l1,04-May-2021 12:30 PM,AE and JE,Internal,AE and JE,Vinod Pal,05-Mar-2020 11:07 AM,05-Mar-2020 12:00 PM,techsummary_50326.pdf (33.11 KB),AE and JE,Internal,AE and JE,Vinod Pal,18-Mar-2020 11:32 AM,finsummary_50326.pdf (33.10 KB),1.0,148233.0,Anil Chauhan,INR,"145,233",Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Solan - UDDHP,2020_UDDHP_34424_1,"TEN(5)20/2019-415-17,23/01/20","Construction of Pucca Nallah from Sharma Bhawan to Bal Chand, MadanRawat and other in ward no.11 Solan Deposit work.",AOC
,,.pdf,Earnest Money,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,148520,AP Associates,06-Feb-2020 01:52 PM,Rejected-AOC,L5,04-May-2021 12:30 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Cost of tender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3,147990,Bhupender Jaswal Contractor,03-Feb-2020 06:01 PM,Rejected-AOC,L11,04-May-2021 12:30 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Copy of GST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4,148535,BHUPENDER SINGH THAKUR,06-Feb-2020 03:49 PM,Rejected-AOC,L2,04-May-2021 12:30 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Copy of PAN card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,5,147801,Brothers Traders,01-Feb-2020 08:28 PM,Rejected-AOC,L4,04-May-2021 12:30 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Work done certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,6,148548,Parminder Dhiman,06-Feb-2020 03:55 PM,Rejected-AOC,L7,04-May-2021 12:30 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,7,148549,Prashant Kashyap,06-Feb-2020 04:50 PM,Rejected-AOC,L9,04-May-2021 12:30 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,8,148327,RAMESH CHAND,06-Feb-2020 01:38 PM,Rejected-AOC,L6,04-May-2021 12:30 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,9,148558,Vikram Thakur,06-Feb-2020 04:20 PM,Rejected-AOC,L8,04-May-2021 12:30 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,10,148308,Vinay SHarma,05-Feb-2020 06:22 PM,Rejected-AOC,L10,04-May-2021 12:30 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
