Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form DD must be payable at Bhoranj,"5,000",EE Bhoranj,Bhoranj,Yes,PWD,Periodical renewal on Hamirpur Jahu road SH P.L 30,2021_PWD_46282_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"1,46,200",Yes,fixed,,EE Bhoranj,EE Bhoranj,"Executive Engineer, Bhoranj Division, HP.PWD., Bho","Executive Engineer Bhoranj Division, HP.PWD., Bhoranj",07-Apr-2021 05:00 PM,16-Apr-2021 11:30 AM,07-Apr-2021 05:00 PM,16-Apr-2021 10:30 AM,NA ,NA ,07-Apr-2021 05:00 PM,16-Apr-2021 10:30 AM,26-Apr-2021 11:30 AM,Periodical renewal on Hamirpur Jahu road,SH P.L 30 mm thick bitumen concrete at RD 15.0 to 23.0 for the year 2021-22MDR Road.,Please refer Tender documents. ,NA ,"1,13,64,723",Civil Works - Roads,NA ,Tender,75.0,90.0,Bhoranj,176045.0,NA ,NA ,NA ,Bhoranj Division,No ,No,1.0,DD - Demand Draft,AOC,PWD,2021_PWD_46282_1,Periodical renewal on Hamirpur Jahu road SH P.L 30,Periodical renewal on Hamirpur Jahu road,"Executive Engineer, Bhoranj Division, HP.PWD., Bhoranj",Internal,"Supdt. HDM, DAO, A.E.Bhoranj Sub Division",Virender Singh Guleria,23-Apr-2021 11:02 AM,26-Apr-2021 11:30 AM,techsummary_69627.pdf (319.61 KB),"Executive Engineer, Bhoranj Division, HP.PWD., Bhoranj",Internal,"Supdt. HDM, DAO, A.E.Bhoranj Sub Division",Virender Singh Guleria,06-May-2021 04:09 PM,finsummary_69627.pdf (671.63 KB),19-May-2021,"INR 11,584,500",90.0,Virender Singh Guleria,19-May-2021 04:59 PM,ALPRHMRJAHU.PDF (2319.00 KB),Award letter attached,1.0,207877.0,S.S.Chauhans Construction Private Limted,INR,"11,584,500",Finance,Summary Attached,Virender Singh Guleria,06-May-2021 04:06 PM,finance_69627.pdf,BOQ Comparative Chart,1.0,208476.0,MSC Roads and Bridges Private Limited,14-Apr-2021 12:44 PM,Rejected-AOC,Accept,19-May-2021 04:59 PM,Technical,Summary attached,Virender Singh Guleria,23-Apr-2021 11:00 AM,technical_69627.pdf,AOC
,,.pdf,"Earnest Money- (FDR duly pledged in favour of Executive Engineer, HPPWD., Bhoranj Division)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,208222.0,Piar Chand Chauhan,15-Apr-2021 04:38 PM,Rejected-AOC,Accept,19-May-2021 04:59 PM,,,,,,AOC
,,.pdf,Contractor Registration REFER GENERAL RULES NO 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,207877.0,S.S.Chauhans Construction Private Limted,15-Apr-2021 08:42 PM,Accepted-AOC,Accept,19-May-2021 04:59 PM,,,,,,AOC
,,.pdf,GST Registration - REFER HPPWD-6 16(3).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Labour License,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Permanent Account Number (PAN No.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Employees Provident Fund Number.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,"Detail and Proof of, Mandatory Machinery Tool and Plant as per bidding documents",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Similar nature Work Done Certificate not less than 40 percent of estimated cost on prescribed format,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Work in hand certificate on prescribed format given in Bidding Document as per General Rule 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
