Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Er. J.S. Guleria,Internal,SE(D and W) EE(D) EEMDI Deputy Controller (F and A),Jitender Kumar,22-May-2021 04:08 PM,finsummary_59110.pdf (125.16 KB),22-May-2021,"INR 146,420,099",1825.0,Jitender Kumar,22-May-2021 04:11 PM,AOC.PDF (133.00 KB),AOC,PWD,2020_PWD_40039_1,3rd call NIT No. 8976-9025 dated 22-08-2020 MKKB,Output and Performance Based Maintenance Contract of Mandi Kamand Kataula Bajoura road (MDR-0023) Km. 0/0 to 51/0 in Mandi District of Himachal Pradesh.,Er. Vijay Chaudhry S.E.,Internal,Sh. Nirman Mohan DAO Gr.I HPPWD Mandi Division No.I Er. Jitender Kumar Gupta EE HPPWD Mandi Division No.I Er. Jagesh Vaidya EED 1st Circle HPPWD Mandi,Dharminder Kumar Verma,21-Sep-2020 12:59 PM,25-Sep-2020 11:00 AM,techsummary_59110.pdf (5602.46 KB),Finance,Three bids opened.,Anil Parmar,15-Oct-2020 05:20 PM,finance_59110.pdf,BOQ Comparative Chart,1.0,176759.0,Ajmer Singh,INR,"140,606,172",Technical,Three bids received in 3rd call.,Dharminder Kumar Verma,08-Sep-2020 06:22 PM,technical_59110.pdf,1.0,176759.0,Ajmer Singh,07-Sep-2020 08:09 PM,Accepted-AOC,AOC,22-May-2021 04:11 PM,AOC,1.0,Corrigendum related work done certificates.,Other,,PWD,3rd call NIT No. 8976-9025 dated 22-08-2020 MKKB,2020_PWD_40039_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Superintending Engineer 1st Circle HPPWD Mandi,O/o Superintending Engineer 1st Circle HPPWD Mandi,26-Aug-2020 10:00 AM,08-Sep-2020 11:30 AM,26-Aug-2020 10:00 AM,08-Sep-2020 10:00 AM,26-Aug-2020 10:00 AM ,31-Aug-2020 05:00 PM ,26-Aug-2020 10:00 AM,08-Sep-2020 10:00 AM,25-Sep-2020 11:00 AM,1.0,DD - Demand Draft,"5,000",E.E. Mandi Division No.1 HPPWD,In Mandi Division No.1 HPPWD,No,1.0,Fee/PreQual/Technical,.pdf,1.Bid Security.,"14,97,000",No,fixed,,E.E. Mandi Division No.1 HPPWD,In Mandi Division No.1 HPPWD,Output and Performance Based Maintenance Contract of Mandi Kamand Kataula Bajoura road (MDR-0023) Km. 0/0 to 51/0 in Mandi District of Himachal Pradesh.,Output and Performance Based Maintenance Contract of Mandi Kamand Kataula Bajoura road (MDR-0023) Km. 0/0 to 51/0 in Mandi District of Himachal Pradesh.,As per tender document. ,NA ,"14,64,20,099",Civil Works - Roads,NA ,Tender,120.0,1825.0,In Mandi Division No.1 HPPWD,175001.0,NA ,NA ,NA ,O/o Superintending Engineer 1st Circle HPPWD Mandi,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,176808.0,Bhupinder Paul Mahajan,07-Sep-2020 10:02 PM,Rejected-Finance,L-2,22-May-2021 04:08 PM,AOC,2.0,"Corrigendum regarding last/previous five years, experience and quantity of proposed technical personnel.",Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,.pdf,2.Cost of tender form.,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,176795.0,Dinesh Kumar Sharma Const. (P) Ltd,08-Sep-2020 09:38 AM,Rejected-Finance,L-3,22-May-2021 04:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,3. PAN Card.,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,4. GST registration.,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,5.Copies of latest income tax return.,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,6.Evidence of access to or availability of credit facilities.,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,7.Authority For The Employer To Seek References From The Bidder s Bank.,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,8.Technical Proposal consisting of (as specified under Section IV).,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,a.Schedule I - Projected Cash Flow.,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,b.Schedule II - Site Organisations.,,,,,,,,,,,,,,,,,,,,,,,,,AOC
