Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Hp State Cooperative Milk Producers Fed Ltd,2019_MPFL_30436_1,412/PI-8/15-XXIII,Raw material of Panjiri,Managing Director,Internal,"Sr.Manager(Plants), Manager(Acctts/DDO), Asstt. Manager(Accttss), ACF(H.P.Milkfed)",Preeti Arya,16-Aug-2019 04:09 PM,finsummary_43847.pdf (274.36 KB),1.0,126901.0,Shree Mahaluxmi Traders,INR,"7,020,132",17-Aug-2019,"INR 25,000,000",120.0,Preeti Arya,20-May-2021 04:30 PM,2ndqtr201920.pdf (1187.00 KB),Raw material of Panjiri,1,127099,Ashutosh Trading Corporation,08-Aug-2019 08:28 AM,Rejected-Finance,Rejected due to Highest rate,16-Aug-2019 04:09 PM,Technical,Pre technical bid,lal mani negi,08-Aug-2019 02:58 PM,technical_43847.pdf,Managing Director,Internal,"ACF,H.P.Milkfed, Sr.Manager(Plants), Manager(Acctts/DDO), Asstt.manager(Acctts.)",Preeti Arya,08-Aug-2019 03:35 PM,08-Aug-2019 03:40 PM,techsummary_43847.pdf (601.37 KB),Finance,Pre financial bid of raw material of panjiri,lal mani negi,08-Aug-2019 04:07 PM,finance_43847.pdf,BOQ Comparative Chart,AOC,1.0,DD - Demand Draft,Hp State Cooperative Milk Producers Fed Ltd,412/PI-8/15-XXIII,2019_MPFL_30436_1,Yes,Open Tender,Item Wise,Goods,2.0,No,Yes,Offline,No,No,No,Managing Director,H.P.Milkfed Totu Shimla,Raw material of Panjiri,Tender document for the supply of raw material of Panjiri.(2nd qtr 2019-20),Please refer Tender documents. ,NA ,"2,50,00,000",Food Products,NA ,Tender,120.0,120.0,MPP Mandi,175021.0,NA ,NA ,NA ,Shimla,No ,No,"2,360",Managing Director,H.P.Milkfed Totu Shimla,No,25-Jul-2019 02:45 PM,08-Aug-2019 02:00 PM,25-Jul-2019 02:45 PM,08-Aug-2019 11:00 AM,NA ,NA ,25-Jul-2019 02:45 PM,08-Aug-2019 11:00 AM,08-Aug-2019 03:40 PM,1.0,Fee/PreQual/Technical,.pdf,Scan copy of DD of tender document fee,"6,25,000",No,percentage,2.5%,Managing Director,H.P.Milkfed Totu Shimla,AOC
,,,,,,,,,,2.0,126907.0,MANATH SUGAR TRADER,INR,"7,187,700",,,,,,,,2,126825,GANPATI SALES CORPORATIONS,08-Aug-2019 09:30 AM,Rejected-Finance,Rejected due to Highest rate,16-Aug-2019 04:09 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scan copy of DD of EMD,,,,,,,AOC
,,,,,,,,,,3.0,126965.0,S K FOOD PRODUCT,INR,"3,863,250",,,,,,,,3,127086,HIMACHAL TRADING COMPANY,08-Aug-2019 10:47 AM,Rejected-Finance,Rejected due to Highest rate,16-Aug-2019 04:09 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scan copy of last three year balance sheet and Profit and loss account,,,,,,,AOC
,,,,,,,,,,4.0,127092.0,The Haryana State Cooperative Supply and Marketing Federation,INR,"3,671,250",,,,,,,,4,126907,MANATH SUGAR TRADER,07-Aug-2019 08:56 PM,Accepted-AOC,Sugar,20-May-2021 04:30 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scan copy of PAN/GST/TAN no.s,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5,126996,Markfed Vanaspati & Allied Industries,07-Aug-2019 11:34 AM,Rejected-Finance,Rejected due to Highest rate,16-Aug-2019 04:09 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scan copy of duly signed tender document of H.P.Milkfed,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6,126895,Shiv Traders,08-Aug-2019 10:36 AM,Rejected-Technical,Technically Rejected,08-Aug-2019 03:35 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ of raw material of Panjiri (2nd qtr 2019-20),,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,7,126901,Shree Mahaluxmi Traders,08-Aug-2019 10:28 AM,Accepted-AOC,Soyabean and Ground Nut Seed,20-May-2021 04:30 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,8,126965,S K FOOD PRODUCT,07-Aug-2019 08:45 PM,Accepted-AOC,Black Gram,20-May-2021 04:30 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,9,127092,The Haryana State Cooperative Supply and Marketing Federation,07-Aug-2019 05:23 PM,Accepted-AOC,Cotton seed R.Oil,20-May-2021 04:30 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,10,127097,winfra sports pvt ltd,07-Aug-2019 06:06 PM,Rejected-Technical,Technically Rejected,08-Aug-2019 03:35 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
