Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP",2020_HPIPH_42099_1,SHL-SMR03-780 NIT No. 5148-98 Dated 24.10.2020,Providing LWSS to Tarat Bas and adj habitations of GP Thonta Jakhal in Tehsil Kamroo Distt Sirmour HP),1.0,185297.0,GULAB SINGH CONTRACTOR,INR,"895,574",Executive Engineer,Internal,"AE,Supdt,DAO,TA",Vipan Kumar,14-May-2021 01:21 PM,finsummary_62187.pdf (162.58 KB),Executive Engineer,Internal,,Vipan Kumar,18-Nov-2020 01:05 PM,18-Nov-2020 01:10 PM,techsummary_62187.pdf (162.58 KB),1,185560,AJAY CHAUHAN,06-Nov-2020 07:54 PM,Rejected-AOC,L2,25-May-2021 04:04 PM,25-May-2021,"INR 895,574",180.0,Vipan Kumar,25-May-2021 04:04 PM,Gulab.pdf (109.00 KB),Letter of Award,Finance,Technical Bid Opening,Vipan Kumar,22-Apr-2021 01:44 PM,finance_62187.pdf,BOQ Comparative Chart,Technical,bid summary,Vipan Kumar,18-Nov-2020 12:43 PM,technical_62187.pdf,AOC,Providing LWSS to Tarat Bas and adj habitations of GP Thonta Jakhal in Tehsil Kamroo Distt Sirmour HP),SH CO RCC Storage Tank 100000 ltr 90000 ltr and 30000 ltr Capacity,Please refer to tender documents ,NA ,"13,17,629",Civil Works,NA ,Tender,120.0,180.0,Shillai,173027.0,NA ,NA ,NA ,Jal Shakti Division Shillai,No ,No,1.0,ICICI BANK,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP",SHL-SMR03-780 NIT No. 5148-98 Dated 24.10.2020,2020_HPIPH_42099_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Bid Documents and Earnest Money etc shall be deposited through Online or Offline mode,02-Nov-2020 03:00 PM,07-Nov-2020 05:00 PM,02-Nov-2020 03:00 PM,07-Nov-2020 03:30 PM,02-Nov-2020 03:00 PM ,06-Nov-2020 05:00 PM ,02-Nov-2020 03:00 PM,07-Nov-2020 03:30 PM,18-Nov-2020 01:10 PM,400.0,EE Shillai,Shillai,Yes,Executive Engineer,Jal Shakti Division Shillai,"26,360",Yes,fixed,,EE Shillai,Shillai,AOC
,,,,,,,,,,,,,,,,,,,,,,2,185501,CHATTER SINGH,06-Nov-2020 04:37 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,18-Nov-2020 12:45 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.pdf,Certificate of Registration with Jal Shakti Vibhag in appropriate class and latest renewal thereof,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3,185432,CHATTER SINGH,06-Nov-2020 02:43 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,18-Nov-2020 12:45 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN and GST Registration Certificate,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4,185249,dharam singh chauhan,05-Nov-2020 03:17 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,18-Nov-2020 12:45 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration Copy of EPF,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5,184944,geeta ram,03-Nov-2020 03:03 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,18-Nov-2020 12:45 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of undertaking that contractor has studied all the terms and conditions as per NIT,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6,185297,GULAB SINGH CONTRACTOR,06-Nov-2020 02:28 PM,Accepted-AOC,L1,25-May-2021 04:04 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,7,185219,jiwlu ram,05-Nov-2020 01:58 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,18-Nov-2020 12:45 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,8,185489,rajender singh,06-Nov-2020 04:27 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,18-Nov-2020 12:45 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,9,185356,RAMESH CHAND SHARMA,07-Nov-2020 10:41 AM,Rejected-AOC,L3,25-May-2021 04:04 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,10,184920,rattan singh,03-Nov-2020 01:36 PM,Rejected-AOC,L5,25-May-2021 04:04 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,11,185504,SOHAN SINGH,06-Nov-2020 04:54 PM,Rejected-AOC,L4,25-May-2021 04:04 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
