Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Tender Stage
Er.S.P.Dhiman EE,Internal,Supdt. HDM AO,SHASHI PAL,06-Apr-2021 06:21 PM,finsummary_68483.pdf (388.08 KB),07-May-2021,"INR 7,783,710",60.0,SHASHI PAL,07-May-2021 11:04 AM,AOC.pdf (1173.00 KB),Work Awarded,PWD,2021_PWD_45523_1,No.BGN/2020-21-17302-30 dated 03.03.2021Job6,Periodical Maintenance of Una Barsar Bhambla Kalkhar Nerchowk road,Er.S.P.Dhiman EE,Internal,Supdt. HDM AO,SHASHI PAL,03-Apr-2021 10:35 AM,05-Apr-2021 10:30 AM,techsummary_68483.pdf (499.08 KB),1.0,206034.0,Davinder kumar,INR,"7,783,710",Finance,Fin bid opened,SHASHI PAL,06-Apr-2021 06:17 PM,finance_68483.pdf,BOQ Comparative Chart,Technical,Tech bid opened,SHASHI PAL,03-Apr-2021 10:34 AM,technical_68483.pdf,1.0,206034.0,Davinder kumar,25-Mar-2021 08:58 PM,Accepted-AOC,Lowest,07-May-2021 11:04 AM,AOC,"2,000",Executive Engineer HPPWD Division Bangana,Bangana,No,PWD,No.BGN/2020-21-17302-30 dated 03.03.2021Job6,2021_PWD_45523_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,18-Mar-2021 11:00 AM,27-Mar-2021 11:00 AM,18-Mar-2021 11:30 AM,26-Mar-2021 06:00 PM,NA ,NA ,18-Mar-2021 11:30 AM,26-Mar-2021 06:00 PM,05-Apr-2021 10:30 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form (Indicated in Schedule-F),Executive Engineer HPPWD Division Bangana,Executive Engineer HPPWD Division Bangana,"90,500",Yes,fixed,,Executive Engineer HPPWD Division Bangana,Bangana,Periodical Maintenance of Una Barsar Bhambla Kalkhar Nerchowk road,P/L 40mm thick bituminous Concrete in Km 26/000 to 28/000)Under MDR,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,120.0,60.0,Bangana Division,174307.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Bangana,No ,No,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,206190.0,R.D. DUVEDI,26-Mar-2021 03:58 PM,Rejected-AOC,Higher side,07-May-2021 11:04 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money (Indicated in Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,SS - Small Savings Instrument,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration(General Rule No. 23),,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration and latest assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature Work Done Certificate on prescribed format given in bidding document without liquidat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in bidding document as per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant with proof of ownership or legal tie-up and list of laboratory equi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him (General Rule No.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Reg. no pending litigation with the Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
