Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
500.0,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",Mandi,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule F),07-Nov-2020 04:00 PM,20-Nov-2020 11:30 AM,07-Nov-2020 04:00 PM,19-Nov-2020 05:00 PM,NA ,NA ,07-Nov-2020 04:00 PM,19-Nov-2020 05:00 PM,27-Nov-2020 11:00 AM,"20,200",No,fixed,,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",Mandi,PWD,PW-MDI-Tender-NIT- 13643-78 dated 29.10.2020,2020_PWD_42269_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,Improvement of Black spot on Kamand Neri road Km 0/0 to 6/0,Construction of Retaining wall at RD 3/725 to 3/765,As per bid documents ,NA ,"10,10,200",Civil Works - Roads,NA ,Tender,120.0,183.0,Neri,175005.0,NA ,NA ,NA ,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",No ,No,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi","Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",AOC,PWD,2020_PWD_42269_1,PW-MDI-Tender-NIT- 13643-78 dated 29.10.2020,Improvement of Black spot on Kamand Neri road Km 0/0 to 6/0,Er. J.K. Gupta,Internal,AE Kamand DAO Supdt. HDM,Jitender Kumar,24-Nov-2020 04:56 PM,27-Nov-2020 11:00 AM,techsummary_62446.pdf (154.73 KB),Er. J.K. Gupta,Internal,AE Kamand DAO Supdt. HDM,Jitender Kumar,22-May-2021 05:02 PM,finsummary_62446.pdf (118.07 KB),28-May-2021,"INR 1,010,200",183.0,Jitender Kumar,28-May-2021 11:59 AM,AOCrwallkamandneri.PDF (154.00 KB),AOC,Finance,fbosummary,Jitender Kumar,27-Nov-2020 05:16 PM,finance_62446.pdf,BOQ Comparative Chart,1.0,186600.0,Gulab Singh,INR,"1,188,415",1.0,186522.0,BAS RAM,13-Nov-2020 12:34 PM,Rejected-Finance,L-3,22-May-2021 05:02 PM,Technical,summary,Jitender Kumar,24-Nov-2020 11:29 AM,technical_62446.pdf,AOC
,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Earnest money (Indicated in Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,186600.0,Gulab Singh,13-Nov-2020 04:35 PM,Accepted-AOC,AOC,28-May-2021 11:59 AM,,,,,,AOC
,,,,,,,,.pdf,Contractors Registration (General Rule No.23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,188162.0,KHEM CHAND,19-Nov-2020 03:11 PM,Rejected-Finance,L-2,22-May-2021 05:02 PM,,,,,,AOC
,,,,,,,,.pdf,GST Registration (General Rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,186051.0,LABH SINGH CONTRACTOR,11-Nov-2020 03:36 PM,Rejected-Finance,L-4,22-May-2021 05:02 PM,,,,,,AOC
,,,,,,,,.pdf,Work done and work in hand certificate(Gen.Rule No.19)Mini amount of work done as per Schedule-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,188304.0,lED rAM,19-Nov-2020 01:37 PM,Rejected-Finance,L-5,22-May-2021 05:02 PM,,,,,,AOC
,,,,,,,,.pdf,Affidavit of machineries Indicated in Sch.F contractor must upload the proofof ownershipof machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,187854.0,Mr. Sohan Lal,19-Nov-2020 02:43 PM,Rejected-Technical,Non-Responsive,24-Nov-2020 04:59 PM,,,,,,AOC
,,,,,,,,.pdf,Form No.7 and 8 duly signed (General Rule No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,188125.0,Sanjeev Kumar Thakur,18-Nov-2020 01:37 PM,Rejected-Finance,L-6,22-May-2021 05:02 PM,,,,,,AOC
,,,,,,,,.pdf,Affidavit of both Gazetted and non gazetted Officer HPPWD employees related to him (Gen.Rule No.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Affidavit regarding information furnished is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
