EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
"1,44,500",No,fixed,,EE Sundernagar,Sundernagar,1.0,DD - Demand Draft,"5,000",EE Sundernagar,Sundernagar,No,PWD,PW-SNR-CB-E-Tender /20-12566-77 dt19.10.2020,2020_PWD_42655_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,20-Nov-2020 05:45 PM,03-Dec-2020 11:00 AM,20-Nov-2020 05:50 PM,02-Dec-2020 06:00 PM,NA ,NA ,20-Nov-2020 06:00 PM,02-Dec-2020 06:00 PM,09-Dec-2020 03:00 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,E.E. Sunder Nagar Division HPPWD,Executive Engineer HPPWD Division Sundernagar,Construction of Forest Rest house at Nihri Distt. Mandi HP,"SH C/o site development Building portion including WS and SI, septic tank, Rain Water harvesting tank and approach road etc.",As per bid document ,NA ,"1,11,81,116",Civil Works,Building ,Tender,120.0,540.0,Sundernagar,175018.0,NA ,NA ,NA ,In HPPWD Division Sunder Nagar,No ,No,AOC,1.0,190124.0,JEET KUMAR GUPTA,INR,"19,006,662",Finance,FBOS,Chaman Singh,09-Dec-2020 04:48 PM,finance_63196.pdf,BOQ Comparative Chart,1.0,190124.0,JEET KUMAR GUPTA,02-Dec-2020 04:48 PM,Accepted-AOC,Being lowest,06-May-2021 04:54 PM,Technical,BOS,Chaman Singh,03-Dec-2020 04:43 PM,technical_63196.pdf,Er D.R. Chauhan Execuitve Engineer,Internal,Er. N.R. Chandel AE Suket Sh. Sushil Kumar DAO Gr-I Sh. Rattan Singh Supdt Sh. Amar Singh HDM,Chaman Singh,08-Dec-2020 11:55 AM,09-Dec-2020 03:00 PM,techsummary_63196.pdf (6456.94 KB),PWD,2020_PWD_42655_1,PW-SNR-CB-E-Tender /20-12566-77 dt19.10.2020,Construction of Forest Rest house at Nihri Distt. Mandi HP,06-May-2021,"INR 19,006,662",540.0,Chaman Singh,06-May-2021 04:54 PM,AOCForestRestHouse.pdf (1219.00 KB),AOC issued after negotiation.,Chief Engineer(MZ) HPPWD Mandi,Internal,"S.E (D) Building, MZ, SE 1st Circle Mandi, Executive Engineer (D) MZ, Executive Engineer Sundernagar Divn., Planning Officer(Bldg)MZ, Dy. Contr. (F and A) MZ,",Chaman Singh,06-May-2021 04:51 PM,finsummary_63196.pdf (1219.45 KB),AOC
,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,190144.0,RAKESH GOEL,02-Dec-2020 05:24 PM,Rejected-AOC,Not found lowest,06-May-2021 04:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,190165.0,YOG RAJ SHARMA,02-Dec-2020 03:10 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,03-Dec-2020 04:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant refer schedule F with reference to clause 18",,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other important documents as specified by the State in proforma of Schedule,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
