Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"1,500",Executive Engineer Jal Shakti Division Nahan,Nahan,No,1.0,ICICI BANK,19-Aug-2020 05:00 PM,27-Aug-2020 11:30 AM,19-Aug-2020 05:00 PM,27-Aug-2020 11:00 AM,NA ,NA ,19-Aug-2020 05:00 PM,27-Aug-2020 11:00 AM,16-Sep-2020 12:20 PM,"Providing Sewerage with primary treatment unit for Kala Amb, Moginand area in Tehsil Nahan Distt. Sirmour","Supply and errection of Pumping machinery, Distribution system, Automation, RCC OHSR, R/main and Pump House for drinking water supply scheme",Please refer Tender documents. ,NA ,"1,46,67,901",Pumps/Motors,NA ,Tender,120.0,270.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,1.0,Fee/PreQual/Technical,.pdf,Earnest Money as mentioned in NIT,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",NHN-SMR00-722-5070-5130 dt 19-8-2020,2020_HPIPH_39963_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"1,79,500",Yes,fixed,,Executive Engineer Jal Shakti Division Nahan,Nahan,Executive Engineer Jal Shakti Division Nahan,Executive Engineer Jal Shakti Division Nahan,AOC,Chef Engineer SZ Shimla,Internal,AED EED TC EENahan SEnahan CE,Mandeep Gupta,04-May-2021 03:22 PM,finsummary_59000.pdf (1589.46 KB),"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2020_HPIPH_39963_1,NHN-SMR00-722-5070-5130 dt 19-8-2020,"Providing Sewerage with primary treatment unit for Kala Amb, Moginand area in Tehsil Nahan Distt. Sirmour",1.0,175005.0,Sohal Pal Singh,INR,"18,607,610",1.0,175233.0,M/S Sharma Enterpirses,27-Aug-2020 10:29 AM,Rejected-Finance,Reject,04-May-2021 03:22 PM,Er JS Chauhan SE,Internal,CHD AED EED SE,Mandeep Gupta,16-Sep-2020 12:16 PM,16-Sep-2020 12:20 PM,techsummary_59000.pdf (139.51 KB),18-May-2021,"INR 19,684,320",270.0,Mandeep Gupta,04-May-2021 03:26 PM,AOC.pdf (1589.00 KB),Award to Contractor,Technical,Technical Bid Opening Summary,Mandeep Gupta,16-Sep-2020 11:29 AM,technical_59000.pdf,Finance,Financial Bid Opening Summary,Mandeep Gupta,16-Sep-2020 03:30 PM,finance_59000.pdf,BOQ Comparative Chart,AOC
,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender Form as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,2.0,175243.0,shiv iron general engineers,27-Aug-2020 09:26 AM,Rejected-Finance,Reject,04-May-2021 03:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,3.0,175005.0,Sohal Pal Singh,25-Aug-2020 04:09 PM,Accepted-AOC,AOC,04-May-2021 03:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,4.0,175188.0,Vijay Kumar,26-Aug-2020 03:25 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-Sep-2020 11:30 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN Card and GST No.,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking joint Venture is not allowed,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Experience of same kind of work including C/o OHSR.,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Dealership/subdealership of offered PM as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,UNdertaking of curve chart alongwith selction of PM as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,UNdertaking carefully study all terms and condition as as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,affidavit specifying that the benefit availed under earnest money exemption has not been exhausted s,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,undertaking that the he will comply with the provision of contract Labour (Regulation of Abolition),,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
