S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,192267.0,Vinod Kumar Shah,INR,"3,231,932",Finance,BOS,Rajesh Thakur,29-Apr-2021 04:31 PM,finance_63835.pdf,BOQ Comparative Chart,Technical,BOS,Gopesh Behl,24-Dec-2020 10:36 AM,technical_63835.pdf,1,192110,Gaurav Parihar,17-Dec-2020 12:44 PM,Rejected-Finance,The rates are on higher side hence rejected,03-May-2021 04:28 PM,03-May-2021,"INR 3,423,476.1",60.0,Rajesh Thakur,03-May-2021 04:29 PM,2020_MC_43068_15.pdf (570.00 KB),AOC,EE,Internal,AO AE,Rajesh Thakur,03-May-2021 04:28 PM,finsummary_63835.pdf (294.95 KB),EE,Internal,AO AE,Gopesh Behl,24-Dec-2020 10:59 AM,24-Dec-2020 11:10 AM,techsummary_63835.pdf (951.23 KB),Municipal Corporation Shimla,2020_MC_43068_15,3177Dated25112020,Construction of Parking along Road Side at various location in sangti under AMRUT Part 2 (i) Development of Car Parking along Road Side and widening of road Near Baba Balak Nath Temple Sangti in ward No 24 (ii) Development of path at various locatio,AOC,1.0,DD - Demand Draft,500.0,Executive Engineer RB MC Shimla,Shimla,No,Construction of Parking along Road Side at various location in sangti under AMRUT Part 2 (i) Development of Car Parking along Road Side and widening of road Near Baba Balak Nath Temple Sangti in ward No 24 (ii) Development of path at various locatio,Construction of Parking along Road Side at various location in sangti under AMRUT Part 2 (i) Development of Car Parking along Road Side and widening of road Near Baba Balak Nath Temple Sangti in ward No 24 (ii) Development of path at various locatio,Please refer Tender Documents ,NA ,"27,92,169",Civil Works,NA ,Tender,120.0,90.0,Shimla,171001.0,NA ,NA ,NA ,MC Shimla,No ,No,09-Dec-2020 01:00 PM,21-Dec-2020 11:00 AM,09-Dec-2020 01:00 PM,21-Dec-2020 10:30 AM,NA ,NA ,09-Dec-2020 01:00 PM,21-Dec-2020 10:30 AM,24-Dec-2020 11:10 AM,"55,900",No,fixed,,Executive Engineer RB MC Shimla,Shimla,1.0,Fee/PreQual/Technical,.pdf,Cost of form in shape of DD as per E procurement notice,Executive Engineer RB MC Shimla,Executive Engineer RB MC Shimla,Municipal Corporation Shimla,3177Dated25112020,2020_MC_43068_15,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,2,192456,Kuldeep Sharma,19-Dec-2020 04:04 PM,Rejected-Finance,The rates are on higher side hence rejected,03-May-2021 04:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money in shape of FDR and exemption shall not be allowed,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,192261,MANOHAR LAL VERMA,20-Dec-2020 09:46 PM,Rejected-Finance,The rates are on higher side hence rejected,03-May-2021 04:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of registration with HPPWD in appropriate class and latest renewal thereof,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,192496,Mudit Saini,19-Dec-2020 06:31 PM,Rejected-Finance,The rates are on higher side hence rejected,03-May-2021 04:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax GST and EPF registration PAN Permanent Account No and GST No,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,192462,SANDEEP KANT SHARMA,19-Dec-2020 04:20 PM,Rejected-Finance,The rates are on higher side hence rejected,03-May-2021 04:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of tender documents i.e. Tender Notice and Form MW-7 duly signed should be uploaded,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,192494,Saurav Thakur,21-Dec-2020 10:11 AM,Rejected-Finance,The rates are on higher side hence rejected,03-May-2021 04:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Schedule of Quantity (BOQ),,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,192492,SUNIL KUMAR,19-Dec-2020 07:36 PM,Rejected-Finance,The rates are on higher side hence rejected,03-May-2021 04:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,192502,SURINDER SINGH,19-Dec-2020 08:13 PM,Rejected-Finance,The rates are on higher side hence rejected,03-May-2021 04:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,192267,Vinod Kumar Shah,18-Dec-2020 03:02 PM,Accepted-AOC,Accepted due to lowest rates,03-May-2021 04:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,192503,YSHPAL CHAUHAN,19-Dec-2020 08:28 PM,Rejected-Finance,The rates are on higher side hence rejected,03-May-2021 04:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
