Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
XEN Rahul Sood,Internal,HDM DAO Supdt-Gr-II,Rakesh Chander Negi,17-Dec-2020 12:19 PM,finsummary_58773.pdf (937.28 KB),06-May-2021,"INR 79,664,623",180.0,Rahul Sood,06-May-2021 04:55 PM,268-75.pdf (236.00 KB),PWD,2020_PWD_39780_1,BHNR -EA-Tender/2020-21- 1690-95 dated 03.08.2020,C.O Chhitkul Dumti road Km. 0.0 to 20.750. alongwith Indo China Border Additional Balance work SH Providing and laying Dense Bitumen Macadam and Bituminous concrete Km. 0.0 to 20.750,XEN Rahul Sood,Internal,HDM DAO Supdt. Gr-II,Rahul Sood,17-Dec-2020 11:58 AM,17-Dec-2020 12:05 PM,techsummary_58773.pdf (937.23 KB),Finance,summary,Rakesh Chander Negi,17-Dec-2020 12:13 PM,finance_58773.pdf,BOQ Comparative Chart,1.0,176535.0,SUNIL KUMAR VIJ CONTRCATOR,INR,"74,802,257",Technical,opening summary,Rahul Sood,17-Dec-2020 11:53 AM,technical_58773.pdf,1.0,176622.0,GARG SONS ESTATE PROMOTERS PVT LTD,05-Sep-2020 03:48 PM,Rejected-AOC,due to L2,06-May-2021 04:55 PM,AOC,24-Aug-2020 10:00 AM,07-Sep-2020 11:00 AM,24-Aug-2020 10:30 AM,05-Sep-2020 06:55 PM,NA ,NA ,24-Aug-2020 06:55 PM,05-Sep-2020 06:55 PM,17-Dec-2020 12:05 PM,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,"5,00,000",No,fixed,,EE Bhabanagar,Sungra/Bhabanagar,PWD,BHNR -EA-Tender/2020-21- 1690-95 dated 03.08.2020,2020_PWD_39780_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,C.O Chhitkul Dumti road Km. 0.0 to 20.750. alongwith Indo China Border Additional Balance work SH Providing and laying Dense Bitumen Macadam and Bituminous concrete Km. 0.0 to 20.750,C.O Chhitkul Dumti road Km. 0.0 to 20.750. alongwith Indo China Border Additional Balance work SH Providing and laying Dense Bitumen Macadam and Bituminous concrete Km. 0.0 to 20.750,Please refer Tender documents. ,NA ,"7,96,64,623",Civil Works - Roads,NA ,Tender,120.0,180.0,Chhitkul,172115.0,NA ,NA ,NA ,Bhabanagar,No ,No,"5,000",EE Bhabanagar,Sungra/Bhabanagar,No,Executive Engineer,Karchham Division HP PWD Bhabanagar,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,176065.0,M/s Amit Singla,05-Sep-2020 03:38 PM,Rejected-AOC,due to L3,06-May-2021 04:55 PM,AOC,,,,,,,,,,2.0,BC - Bankers Cheque,,,.pdf,Earnest Money Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,176284.0,Sachin Sood,05-Sep-2020 05:28 PM,Rejected-Technical,Non Responsive,17-Dec-2020 12:02 PM,AOC,,,,,,,,,,3.0,FDR - Fixed Deposit,,,.pdf,Contractors Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,176535.0,SUNIL KUMAR VIJ CONTRCATOR,05-Sep-2020 09:23 AM,Accepted-AOC,awarded due to L1,06-May-2021 04:55 PM,AOC,,,,,,,,,,,,,,.pdf,GST Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Work Done Certificate of similar nature and Detail of work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant , Technical Staff",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Financial reports for the last five years Turn over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,EPF Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Hot mix plant should be established within a radius of 30 KM from Rani Kanda Post. An undertaking re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
