Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Instrument Type,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
Ordinary repair on NH22 New NH05 kalka Shimla Wangtoo Road from Km.131/00 to 145/100 and 0/0 to 13/0,Construction of PCC retaining wall in gabion structure at RD 144/583 to 144/601 near old barrier Shimla against NHAI deposit,As per tender document ,NA ,,Civil Works,NA ,Tender,120.0,180.0,Shimla,171001.0,NA ,NA ,NA ,solan,No ,No,"5,000","Executive Engineer, NH Division, HPPWD Solan",Solan,No,18-Mar-2021 05:00 PM,26-Mar-2021 11:00 AM,18-Mar-2021 05:00 PM,26-Mar-2021 10:30 AM,NA ,NA ,18-Mar-2021 05:00 PM,26-Mar-2021 10:30 AM,09-Apr-2021 12:15 PM,"Executive Engineer, NH Division, HPPWD Solan","Executive Engineer, NH Division, HPPWD Solan","60,320",No,fixed,,"Executive Engineer, NH Division, HPPWD Solan",Solan,1.0,Fee/PreQual/Technical,.pdf,Cost of tender and earnest money deposit,1.0,DD - Demand Draft,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,PWD,7366-95,2021_PWD_45733_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,205965.0,Devi Prakash Sharma,25-Mar-2021 05:20 PM,Rejected-Finance,Being L2,09-Apr-2021,Technical,technical opening summary,Kulbir Singh Thakur,09-Apr-2021 11:39 AM,technical_68825.pdf,Finance,Financial Summary,Kulbir Singh Thakur,09-Apr-2021 05:17 PM,finance_68825.pdf,BOQ Comparative Chart,1.0,205052.0,Rajinder Sharma,INR,"2,479,345",Er Kulbir Singh Thakur EE,Internal,Miss Akriti Aggrawal AO Sh Ghanshyam Mehta HDM Sh Rajinder Singh Supdtt Gr II Smt Samriti Verma TA,Kulbir Singh Thakur,09-Apr-2021 11:46 AM,09-Apr-2021 12:15 PM,techsummary_68825.pdf (600.54 KB),PWD,2021_PWD_45733_1,7366-95,Ordinary repair on NH22 New NH05 kalka Shimla Wangtoo Road from Km.131/00 to 145/100 and 0/0 to 13/0,03-May-2021,"INR 2,479,345",180.0,Kulbir Singh Thakur,07-Aug-2023 03:39 PM,LOAoldbarrier.pdf (486.00 KB),LOA,Er Kulbir Singh Thakur EE,Internal,Miss Akriti aggrawal AO Sh Ghanshyam Mehta HDM Sh Rajinder Singh Supdtt Gr II Smt Samriti Verma TA,Kulbir Singh Thakur,09-Apr-2021 05:27 PM,finsummary_68825.pdf (246.34 KB)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration,2.0,FDR - Fixed Deposit,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,2.0,205052.0,Rajinder Sharma,24-Mar-2021 04:16 PM,Accepted-AOC,being L1,07-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Sales Tax / GST,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,3.0,206070.0,Sunil Khachi,26-Mar-2021 09:48 AM,Rejected-Technical,non responsive,09-Apr-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of correctness of all the documents,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,4.0,206058.0,Suresh Vekta,26-Mar-2021 08:40 AM,Rejected-Technical,Non Reponsive,09-Apr-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavitregarding both gazetted and non-gazetted employees in HPPWD related to him,,,5.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form of bid,,,6.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Report of CA showing total annual volume in last five years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
