Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (indicated in schedule F),Executive Engineer NH Division HPPWD Chamba,Executive Engineer NH Division HPPWD Chamba,"13,000",No,fixed,,Executive Engineer NH Division HPPWD Chamba,Executive Engineer NH Division HPPWD Chamba,1.0,DD - Demand Draft,22-Dec-2020 11:30 AM,07-Jan-2021 11:30 AM,22-Dec-2020 11:30 AM,07-Jan-2021 11:00 AM,NA ,NA ,22-Dec-2020 11:30 AM,07-Jan-2021 11:00 AM,14-Jan-2021 11:40 AM,350.0,Executive Engineer NH Division HPPWD Chamba,Executive Engineer NH Division HPPWD Chamba,No,PWD,No.-NHC- 3600-3699 dated 11.12.20,2020_PWD_43381_9,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,A/R and M/O on Chakki- Banikhet Chamba- Bharmour road NH-154-A Km 39/0 to 106/0 Providing and laying of interlocking paver block in Km 49/300 to 49/350,A/R and M/O on Chakki- Banikhet Chamba- Bharmour road NH-154-A Km 39/0 to 106/0 Providing and laying of interlocking paver block in Km 49/300 to 49/350,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,90.0,Chamba,176310.0,NA ,NA ,NA ,Executive Engineer NH Division HPPWD Chamba,No ,No,AOC,PWD,2020_PWD_43381_9,No.-NHC- 3600-3699 dated 11.12.20,A/R and M/O on Chakki- Banikhet Chamba- Bharmour road NH-154-A Km 39/0 to 106/0 Providing and laying of interlocking paver block in Km 49/300 to 49/350,Executive Engineer,Internal,Assistant Engineer Superintendent HDM Senior assistant and dealing assistant,Rajeev Kumar,13-Jan-2021 01:25 PM,14-Jan-2021 11:40 AM,techsummary_64396.pdf (494.60 KB),Executive Engineer,Internal,"Dealing assistant, DHD ,Sr Assistant, Superintend Gr-ii AE",Rajeev Kumar,15-May-2021 02:53 PM,finsummary_64396.pdf (424.31 KB),15-May-2021,"INR 544,778.25",90.0,Rajeev Kumar,15-May-2021 02:56 PM,AOC.pdf (825.00 KB),A/R and M/O on Chakki- Banikhet Chamba- Bharmour road NH-154-A Km 39/0 to 106/0 Providing and laying of interlocking paver block in Km 49/300 to 49/350,1.0,195031.0,Inder Mahajan,INR,"544,778.25",Finance,A/R and M/O on Chakki- Banikhet Chamba- Bharmour road NH-154-A Km 39/0 to 106/0 Providing and laying of interlocking paver block in Km 49/300 to 49/350,Rajeev Kumar,15-May-2021 02:51 PM,finance_64396.pdf,BOQ Comparative Chart,1.0,194483.0,Abhishek Thakur,06-Jan-2021 07:52 PM,Rejected-Technical,Non Responsive,13-Jan-2021 01:29 PM,Technical,BOS,Rajeev Kumar,13-Jan-2021 01:19 PM,technical_64396.pdf,AOC
,,.pdf,Earnest Money (indicated in schedule F),,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,195031.0,Inder Mahajan,06-Jan-2021 01:26 PM,Accepted-AOC,Accepted,15-May-2021 02:56 PM,,,,,,AOC
,,.pdf,Contractors Registration (Refer General Rule No 23 and as per invitation of bid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,194855.0,JAKUB DIN,04-Jan-2021 07:33 PM,Rejected-AOC,Accepted,15-May-2021 02:56 PM,,,,,,AOC
,,.pdf,Copy of GST Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,An affidavit/undertaking that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Copy of Pan Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit regarding not having two works in hand at time of bid.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Form No. 8 duly signed by the contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Detail of work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
