Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
Executive Engineer,Jal Shakti Division Shillai,"11,500",Yes,fixed,,EE Shillai,Shillai,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP",SHL-SMR03-780 NIT No. 5148-98 Dated 24.10.2020,2020_HPIPH_42111_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,250.0,EE Shillai,Shillai,Yes,1.0,Fee/PreQual/Technical,.pdf,Cost of Bid Documents and Earnest Money etc shall be deposited through Online or Offline mode,02-Nov-2020 04:15 PM,07-Nov-2020 05:00 PM,02-Nov-2020 04:15 PM,07-Nov-2020 04:30 PM,02-Nov-2020 04:15 PM ,06-Nov-2020 05:00 PM ,02-Nov-2020 04:15 PM,07-Nov-2020 04:30 PM,18-Nov-2020 01:10 PM,1.0,ICICI BANK,AR and MO of Various Water Supply Schemes under Jal Shakti Division Shillai Distt Sirmour HP,SH Supply of GI Fitting,Please refer to tender documents ,NA ,"5,75,000",Civil Works,NA ,Tender,30.0,NA ,Shillai,173027.0,NA ,NA ,NA ,Jal Shakti Division Shillai,No ,No,AOC,1,185632,AJAY CHAUHAN,07-Nov-2020 03:56 PM,Rejected-AOC,L5,25-May-2021 04:17 PM,Executive Engineer,Internal,,Vipan Kumar,18-Nov-2020 01:03 PM,18-Nov-2020 01:10 PM,techsummary_62204.pdf (129.56 KB),25-May-2021,"INR 434,543",90.0,Vipan Kumar,25-May-2021 04:17 PM,hindcons.pdf (112.00 KB),Letter of Award,Technical,bid summary,Vipan Kumar,18-Nov-2020 01:01 PM,technical_62204.pdf,Finance,Bid summary,Vipan Kumar,06-Feb-2021 01:51 PM,finance_62204.pdf,BOQ Comparative Chart,Executive Engineer,Internal,"DAO,AE,SUPDT,TA",Vipan Kumar,22-Apr-2021 12:09 PM,finsummary_62204.pdf (129.56 KB),1.0,185493.0,M/S hind construction,INR,"434,543","HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP",2020_HPIPH_42111_1,SHL-SMR03-780 NIT No. 5148-98 Dated 24.10.2020,AR and MO of Various Water Supply Schemes under Jal Shakti Division Shillai Distt Sirmour HP,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of Registration with Jal Shakti Vibhag in appropriate class and latest renewal thereof,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,AOC,2,185382,BHARAT BUSHAN MOHIL,06-Nov-2020 03:39 PM,Rejected-AOC,L4,25-May-2021 04:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN and GST Registration Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,185342,Chatter Singh,06-Nov-2020 07:12 AM,Rejected-AOC,L7,25-May-2021 04:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration Copy of EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,185476,CHATTER SINGH,06-Nov-2020 04:13 PM,Rejected-AOC,L11,25-May-2021 04:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of undertaking that contractor has studied all the terms and conditions as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,185425,Dhanvir Singh,06-Nov-2020 02:16 PM,Rejected-AOC,L2,25-May-2021 04:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,185261,dharam singh chauhan,05-Nov-2020 03:47 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,18-Nov-2020 01:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,184957,geeta ram,03-Nov-2020 03:31 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,18-Nov-2020 01:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,185612,HIMACHAL AUTOMOBILE,07-Nov-2020 01:51 PM,Rejected-AOC,L10,25-May-2021 04:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,185275,INDER SINGH,05-Nov-2020 04:03 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,18-Nov-2020 01:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,185232,jiwlu ram,05-Nov-2020 02:32 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,18-Nov-2020 01:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
