Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,S.No,Instrument Type,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
13-May-2021,"INR 2,756,885",90.0,Ajay Kumar Soni,24-May-2021 02:44 PM,44117-1.pdf (428.00 KB),AOC,ER.A.K.SONI,Internal,Sh. Padam Sharma. Sh.R.S.Thakur. Sh.Naresh Kumar,Ajay Kumar Soni,13-May-2021 12:23 PM,finsummary_66134.pdf (104.06 KB),ErAjayKumarSoni,Internal,ShNareshkumarSrAssistantShPadasharmaHDMRSThakursupdt,Sudhir Kumar Gupta,18-Feb-2021 12:55 PM,18-Feb-2021 03:00 PM,techsummary_66134.pdf (130.67 KB),PWD,2021_PWD_44117_1,SD-III-CB-TENDER/20-21-27506 dated 27-01-21,C/O foot bridge near Kennedy Chowk Connection to Vidhan Sabha Shimla (Under Shimla Smart City Project).,Technical,Bid opening summary,Ajay Kumar Soni,15-Feb-2021 04:56 PM,technical_66134.pdf,1.0,198463.0,ASHWANI VIJ,12-Feb-2021 05:12 PM,Accepted-AOC,L1,24-May-2021 02:44 PM,Finance,Bid opening summary,Ajay Kumar Soni,19-Feb-2021 10:28 AM,finance_66134.pdf,BOQ Comparative Chart,1.0,198463.0,ASHWANI VIJ,INR,"3,288,296",AOC,1.0,DD - Demand Draft,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",PWD,SD-III-CB-TENDER/20-21-27506 dated 27-01-21,2021_PWD_44117_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender document as per schedule F (6.3) and Earnest Money as per schedule F (6.5),"1,500","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",Shimla,No,C/O foot bridge near Kennedy Chowk Connection to Vidhan Sabha Shimla (Under Shimla Smart City Project).,C/O foot bridge near Kennedy Chowk Connection to Vidhan Sabha Shimla (Under Shimla Smart City Project).,As per bidding Documents ,NA ,,Civil Works,NA ,Tender,120.0,90.0,"Vidhan Sabha, Shimla",171004.0,NA ,NA ,NA ,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",No ,No,"55,150",No,fixed,,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",Shimla,08-Feb-2021 05:00 PM,15-Feb-2021 11:00 AM,08-Feb-2021 05:00 PM,13-Feb-2021 05:00 PM,NA ,NA ,08-Feb-2021 05:00 PM,13-Feb-2021 05:00 PM,18-Feb-2021 03:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,198395.0,HARMANJOT SINGH,12-Feb-2021 03:48 PM,Rejected-AOC,L3,24-May-2021 02:44 PM,,,,,,,,,,,,AOC,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration as per general Rule 23 and as per invitation of bid.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,198454.0,NARESH KUMAR VRMA,12-Feb-2021 03:57 PM,Rejected-AOC,L4,24-May-2021 02:44 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration as per General Rule No 21. Copy of GST No./ Copy of Tin No. and Copy of PAN Card.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,198455.0,shandelandsons,12-Feb-2021 04:11 PM,Rejected-Technical,No,18-Feb-2021 01:00 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under Employees Provident Funds and Miscellaneous Provision Act. 1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,198524.0,Sukh Dev,13-Feb-2021 04:08 PM,Rejected-AOC,L2,24-May-2021 02:44 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,HP.PWD Form No-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Gazetted and non-Gazetted HPPWD employees related to him (General Rule No 16).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit of no relative working in PWD, Information furnished in the bid is correct in all respect.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Machinery Tools plant and ownership as per sr. No. 6.19 of schedule F Clause 18.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum Turnover for last Five years as given by CA.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per schedule F (6.9) and Work in hand certificate as per schedule F (6.10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
