Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
24-May-2021,"INR 8,850,943",365.0,Chaman Singh,24-May-2021 04:12 PM,AOCRestHouseDehar.pdf (1281.00 KB),AOC issued after negotiation.,Superintending Engineer 1st Circle HPPWD Mandi,Internal,Executive Engineer (D) 1st Circle Mandi Executive Engineer HPPWD Sundernagar Circle Head D/Man Mandi Superintendent (B) 1st Circle,Chaman Singh,24-May-2021 04:10 PM,finsummary_67040.pdf (1281.42 KB),Er. D.R. Chauhan Executive Engineer,Internal,Assistant Engineer Dehar DAO Gr-I SNR Divn. Superintendent Gr-II (Accounts) HDM,Chaman Singh,12-Mar-2021 06:38 PM,15-Mar-2021 11:00 AM,techsummary_67040.pdf (782.30 KB),PWD,2021_PWD_44639_1,PW-SNR-CB-E-Tender/20- 19480-85 dt. 17.02.2021,Construction of Additional Accommodation to Inspection hut / Rest house at Dehar in Tehsil Sundernagar,1.0,201959.0,VINEET KUMAR,INR,"8,850,973",Finance,FBOS,Chaman Singh,17-Mar-2021 04:03 PM,finance_67040.pdf,BOQ Comparative Chart,Technical,BOS,Chaman Singh,12-Mar-2021 10:32 AM,technical_67040.pdf,1.0,202230.0,Rajesh Kumar,08-Mar-2021 12:36 PM,Rejected-AOC,Not found lowest.,24-May-2021 04:12 PM,AOC,PWD,PW-SNR-CB-E-Tender/20- 19480-85 dt. 17.02.2021,2021_PWD_44639_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer,O/O Executive Engineer Sunder Nagar Division HPPWD,"2,000",EE Sundernagar,Sundernagar,No,1.0,DD - Demand Draft,"1,02,100",No,fixed,,EE Sundernagar,Sundernagar,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,22-Feb-2021 09:00 AM,09-Mar-2021 11:00 AM,22-Feb-2021 09:00 AM,08-Mar-2021 06:00 PM,NA ,NA ,22-Feb-2021 09:00 AM,08-Mar-2021 06:00 PM,15-Mar-2021 11:00 AM,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,Construction of Additional Accommodation to Inspection hut / Rest house at Dehar in Tehsil Sundernagar,SH C/O Building portion and W.S and S.I. Rain water harvesting tank system and septic tank 300 users.,As per bid document ,NA ,"69,54,253",Civil Works - Buildings,NA ,Tender,120.0,365.0,In Sundernagar Division,175018.0,NA ,NA ,NA ,O/O Executive Engineer Sunder Nagar Division HPPWD,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,202286.0,SHANKAR SINGH,08-Mar-2021 03:29 PM,Rejected-Technical,Being non- responsive,12-Mar-2021 06:38 PM,AOC,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,2.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,201959.0,VINEET KUMAR,05-Mar-2021 07:52 PM,Accepted-AOC,Being lowest,24-May-2021 04:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant refer schedule F with reference to clause 18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other important documents as specified by the State in proforma of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
